Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,31.38756,[104  60] ; [ 6 35],[88. 76.] ; [22. 19.],1
r2,1,0.0,25.405681,[137  24] ; [18 20],[125.40201005  35.59798995] ; [29.59798995  8.40201005],1
p2,1,2e-06,22.621113,[123  40] ; [15 26],[110.26470588  52.73529412] ; [27.73529412 13.26470588],1
r3,1,3e-06,22.040767,[141  23] ; [21 19],[130.23529412  33.76470588] ; [31.76470588  8.23529412],1
n6,1,0.001618,9.939394,[128  36] ; [22 19],[120.  44.] ; [30. 11.],0
p11,1,0.001657,9.895703,[115  49] ; [18 23],[106.4  57.6] ; [26.6 14.4],0
p9,1,0.002894,8.873183,[124  36] ; [21 18],[116.58291457  43.41708543] ; [28.41708543 10.58291457],0
p8,1,0.003274,8.648036,[64 97] ; [ 6 34],[ 56.06965174 104.93034826] ; [13.93034826 26.06965174],0
p7,1,0.003309,8.628731,[84 76] ; [11 30],[75.62189055 84.37810945] ; [19.37810945 21.62189055],0
p10,1,0.004703,7.990183,[111  50] ; [18 22],[103.32835821  57.67164179] ; [25.67164179 14.32835821],0
s6,1,0.007068,7.255552,[82 78] ; [11 29],[74.4 85.6] ; [18.6 21.4],0
u3,1,0.007671,7.108762,[29 37] ; [ 2 17],[24.07058824 41.92941176] ; [ 6.92941176 12.07058824],0
u2,1,0.010721,6.51105,[32 34] ; [ 3 16],[27.17647059 38.82352941] ; [ 7.82352941 11.17647059],0
p4,1,0.028852,4.776446,[74 88] ; [11 30],[67.83251232 94.16748768] ; [17.16748768 23.83251232],0
s2,1,0.037445,4.330043,[69 95] ; [10 31],[ 63.2 100.8] ; [15.8 25.2],0
s8,1,0.041583,4.152085,[ 50 114] ; [ 6 35],[ 44.8 119.2] ; [11.2 29.8],0
n2,1,0.050917,3.811006,[45 14] ; [7 7],[42.02739726 16.97260274] ; [9.97260274 4.02739726],0
p6,1,0.059827,3.542166,[ 52 107] ; [ 7 33],[ 47.14070352 111.85929648] ; [11.85929648 28.14070352],0
d5,1,0.064177,3.426017,[116  47] ; [23 18],[111.06372549  51.93627451] ; [27.93627451 13.06372549],0
a7,1,0.071666,3.244438,[97 66] ; [18 23],[91.8872549 71.1127451] ; [23.1127451 17.8872549],0
s5,1,0.076152,3.145161,[ 36 120] ; [ 4 35],[ 32. 124.] ; [ 8. 31.],0
p1,1,0.077501,3.116554,[ 13 151] ; [ 7 34],[ 16. 148.] ; [ 4. 37.],0
a8,1,0.099172,2.718805,[ 13 143] ; [ 7 34],[ 15.83756345 140.16243655] ; [ 4.16243655 36.83756345],0
s7,1,0.15419,2.030299,[ 55 102] ; [ 9 30],[ 51.26530612 105.73469388] ; [12.73469388 26.26530612],0
d4,1,0.180208,1.795912,[114  50] ; [24 17],[110.4  53.6] ; [27.6 13.4],0
b4,1,0.204104,1.612762,[90 74] ; [27 14],[93.6 70.4] ; [23.4 17.6],0
v1,1,0.210509,1.567925,[61 99] ; [11 29],[ 57.6 102.4] ; [14.4 25.6],0
s3,1,0.222528,1.487993,[74 88] ; [14 26],[70.57425743 91.42574257] ; [17.42574257 22.57425743],0
b1,1,0.230375,1.438544,[67 97] ; [21 20],[70.4 93.6] ; [17.6 23.4],0
n1,1,0.246127,1.345157,[19 38] ; [7 7],[20.87323944 36.12676056] ; [5.12676056 8.87323944],0
p3,1,0.254222,1.299953,[63 99] ; [12 29],[ 59.85221675 102.14778325] ; [15.14778325 25.85221675],0
b5,1,0.348536,0.878779,[105  59] ; [23 18],[102.4  61.6] ; [25.6 15.4],0
s4,1,0.398845,0.711806,[ 38 126] ; [ 7 34],[ 36. 128.] ; [ 9. 32.],0
a1,1,0.406172,0.689978,[ 10 154] ; [ 4 37],[ 11.2 152.8] ; [ 2.8 38.2],0
v2,1,0.407232,0.686869,[63 96] ; [13 27],[60.72361809 98.27638191] ; [15.27638191 24.72361809],0
p12,1,0.411546,0.67433,[  4 159] ; [ 2 39],[  4.79411765 158.20588235] ; [ 1.20588235 39.79411765],0
n3,1,0.450127,0.570331,[40 19] ; [8 6],[38.79452055 20.20547945] ; [9.20547945 4.79452055],0
d2,1,0.462427,0.540013,[ 63 100] ; [18 22],[65.03940887 97.96059113] ; [15.96059113 24.03940887],0
b2,1,0.491419,0.473418,[31 65] ; [11 17],[32.51612903 63.48387097] ; [ 9.48387097 18.51612903],0
b3,1,0.491419,0.473418,[31 65] ; [11 17],[32.51612903 63.48387097] ; [ 9.48387097 18.51612903],0
a3,1,0.496986,0.461367,[97 66] ; [22 19],[95.08333333 67.91666667] ; [23.91666667 17.08333333],0
a4,1,0.508956,0.436213,[ 54 110] ; [11 29],[ 52.25490196 111.74509804] ; [12.74509804 27.25490196],0
d3,1,0.525334,0.403409,[88 74] ; [20 21],[86.18719212 75.81280788] ; [21.81280788 19.18719212],0
n4,1,0.565005,0.331112,[100  64] ; [27 14],[101.6  62.4] ; [25.4 15.6],0
s1,1,0.56916,0.32409,[  5 158] ; [ 2 39],[  5.59313725 157.40686275] ; [ 1.40686275 39.59313725],0
a5,1,0.575786,0.313097,[88 76] ; [20 21],[86.4 77.6] ; [21.6 19.4],0
n5,1,0.590821,0.289065,[104  59] ; [28 13],[105.47058824  57.52941176] ; [26.52941176 14.47058824],0
u1,1,0.655401,0.199158,[  9 155] ; [ 3 38],[  9.6 154.4] ; [ 2.4 38.6],0
