Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,7.8e-05,15.607626,[10 10] ; [10 76],[ 3.77358491 16.22641509] ; [16.22641509 69.77358491],1
s2,1,0.001541,10.028826,[12  8] ; [21 67],[ 6.11111111 13.88888889] ; [26.88888889 61.11111111],0
s5,1,0.00175,9.795238,[ 6 12] ; [ 6 78],[ 2.11764706 15.88235294] ; [ 9.88235294 74.11764706],0
s6,1,0.002251,9.333069,[14  6] ; [29 59],[ 7.96296296 12.03703704] ; [35.03703704 52.96296296],0
s7,1,0.006187,7.495081,[ 9 10] ; [14 65],[ 4.45918367 14.54081633] ; [18.54081633 60.45918367],0
p2,1,0.006562,7.38903,[17  3] ; [45 42],[11.58878505  8.41121495] ; [50.41121495 36.58878505],0
s3,1,0.008796,6.863812,[15  5] ; [37 50],[ 9.71962617 10.28037383] ; [42.28037383 44.71962617],0
a5,1,0.024765,5.040252,[ 7 13] ; [55 33],[11.48148148  8.51851852] ; [50.51851852 37.48148148],0
r1,1,0.043439,4.078251,[ 9 11] ; [60 27],[12.89719626  7.10280374] ; [56.10280374 30.89719626],0
s8,1,0.051503,3.79185,[ 7 13] ; [14 74],[ 3.88888889 16.11111111] ; [17.11111111 70.88888889],0
p3,1,0.074305,3.185253,[ 9 11] ; [22 66],[ 5.74074074 14.25925926] ; [25.25925926 62.74074074],0
a6,1,0.158939,1.984292,[11  9] ; [62 25],[13.64485981  6.35514019] ; [59.35514019 27.64485981],0
a2,1,0.171064,1.873592,[ 1 19] ; [15 73],[ 2.96296296 17.03703704] ; [13.03703704 74.96296296],0
n5,1,0.225798,1.467134,[ 6 14] ; [39 48],[ 8.41121495 11.58878505] ; [36.58878505 50.41121495],0
a7,1,0.262169,1.257265,[11  9] ; [60 28],[13.14814815  6.85185185] ; [57.85185185 30.14814815],0
n2,1,0.268621,1.223776,[7 2] ; [19 14],[5.57142857 3.42857143] ; [20.42857143 12.57142857],0
r4,1,0.308563,1.036815,[11  9] ; [59 29],[12.96296296  7.03703704] ; [57.03703704 30.96296296],0
d3,1,0.32867,0.954132,[14  6] ; [50 36],[12.0754717  7.9245283] ; [51.9245283 34.0754717],0
u3,1,0.331802,0.941851,[6 3] ; [18 19],[4.69565217 4.30434783] ; [19.30434783 17.69565217],0
p1,1,0.343685,0.896639,[ 2 18] ; [ 4 83],[ 1.12149533 18.87850467] ; [ 4.87850467 82.12149533],0
n1,1,0.361282,0.833432,[2 7] ; [12 19],[3.15 5.85] ; [10.85 20.15],0
n4,1,0.368506,0.808695,[ 8 12] ; [45 43],[ 9.81481481 10.18518519] ; [43.18518519 44.81481481],0
p7,1,0.39301,0.72961,[11  8] ; [40 45],[9.31730769 9.68269231] ; [41.68269231 43.31730769],0
v2,1,0.43208,0.617226,[ 5 14] ; [29 52],[ 6.46 12.54] ; [27.54 53.46],0
d5,1,0.440931,0.593859,[12  8] ; [60 27],[13.45794393  6.54205607] ; [58.54205607 28.45794393],0
b2,1,0.533455,0.387806,[4 9] ; [11 38],[3.14516129 9.85483871] ; [11.85483871 37.14516129],0
b3,1,0.533455,0.387806,[4 9] ; [11 38],[3.14516129 9.85483871] ; [11.85483871 37.14516129],0
b5,1,0.579639,0.306818,[10 10] ; [50 38],[11.11111111  8.88888889] ; [48.88888889 39.11111111],0
p9,1,0.598226,0.27768,[12  8] ; [46 40],[10.94339623  9.05660377] ; [47.05660377 38.94339623],0
v3,1,0.610183,0.259909,[ 3 16] ; [17 64],[ 3.8 15.2] ; [16.2 64.8],0
v4,1,0.619093,0.247145,[16  4] ; [65 22],[15.14018692  4.85981308] ; [65.85981308 21.14018692],0
p10,1,0.619542,0.246512,[11  9] ; [42 44],[10. 10.] ; [43. 43.],0
b1,1,0.620294,0.245455,[ 9 11] ; [45 43],[10. 10.] ; [44. 44.],0
n3,1,0.642835,0.215054,[6 3] ; [18 13],[5.4 3.6] ; [18.6 12.4],0
d4,1,0.643105,0.214704,[15  5] ; [60 26],[14.1509434  5.8490566] ; [60.8490566 25.1509434],0
u1,1,0.648806,0.207409,[ 1 19] ; [ 7 81],[ 1.48148148 18.51851852] ; [ 6.51851852 81.48148148],0
b4,1,0.657672,0.196364,[12  8] ; [48 40],[11.11111111  8.88888889] ; [48.88888889 39.11111111],0
d2,1,0.695849,0.152826,[ 9 11] ; [35 52],[ 8.22429907 11.77570093] ; [35.77570093 51.22429907],0
u2,1,0.733301,0.116102,[6 3] ; [23 15],[5.55319149 3.44680851] ; [23.44680851 14.55319149],0
r2,1,0.770976,0.084738,[15  4] ; [72 16],[15.44859813  3.55140187] ; [71.55140187 16.44859813],0
d1,1,0.809397,0.058179,[ 9 11] ; [37 51],[ 8.51851852 11.48148148] ; [37.48148148 50.51851852],0
a3,1,0.840465,0.040521,[11  9] ; [50 37],[11.40186916  8.59813084] ; [49.59813084 37.40186916],0
p8,1,0.857743,0.03213,[ 6 13] ; [29 57],[ 6.33333333 12.66666667] ; [28.66666667 57.33333333],0
r3,1,0.875347,0.024608,[16  4] ; [69 19],[15.74074074  4.25925926] ; [69.25925926 18.74074074],0
a4,1,0.908757,0.013135,[ 7 13] ; [32 56],[ 7.22222222 12.77777778] ; [31.77777778 56.22222222],0
p11,1,0.926887,0.00842,[10 10] ; [43 45],[ 9.81481481 10.18518519] ; [43.18518519 44.81481481],0
p4,1,0.939469,0.005766,[ 8 12] ; [34 53],[ 7.85046729 12.14953271] ; [34.14953271 52.85046729],0
