Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1.1e-05,19.325819,[ 24 104] ; [11  5],[31.11111111 96.88888889] ; [ 3.88888889 12.11111111],1
p1,1,3.3e-05,17.222933,[ 13 119] ; [8 9],[ 18.60402685 113.39597315] ; [ 2.39597315 14.60402685],1
p6,1,0.000798,11.246589,[33 98] ; [11  6],[38.94594595 92.05405405] ; [ 5.05405405 11.94594595],1
p12,1,0.003237,8.668976,[  6 126] ; [ 4 13],[  8.8590604 123.1409396] ; [ 1.1409396 15.8590604],0
p3,1,0.012424,6.249291,[58 73] ; [13  4],[62.84459459 68.15540541] ; [8.15540541 8.84459459],0
s1,1,0.019731,5.435518,[  5 123] ; [ 3 14],[  7.06206897 120.93793103] ; [ 0.93793103 16.06206897],0
s6,1,0.028058,4.824514,[74 55] ; [13  2],[77.9375 51.0625] ; [9.0625 5.9375],0
p4,1,0.034373,4.476029,[65 67] ; [13  4],[69.10067114 62.89932886] ; [8.89932886 8.10067114],0
s7,1,0.041786,4.143852,[49 76] ; [10  5],[52.67857143 72.32142857] ; [6.32142857 8.67857143],0
n5,1,0.047068,3.942974,[94 37] ; [16  1],[97.36486486 33.63513514] ; [12.63513514  4.36486486],0
p8,1,0.059511,3.550958,[57 73] ; [11  5],[60.54794521 69.45205479] ; [7.45205479 8.54794521],0
a1,1,0.083944,2.986839,[  1 131] ; [ 1 16],[  1.77181208 130.22818792] ; [ 0.22818792 16.77181208],0
r2,1,0.084667,2.972955,[128   4] ; [15  2],[126.68456376   5.31543624] ; [16.31543624  0.68456376],0
r3,1,0.084667,2.972955,[128   4] ; [15  2],[126.68456376   5.31543624] ; [16.31543624  0.68456376],0
d5,1,0.091657,2.845025,[67 64] ; [ 5 12],[63.72972973 67.27027027] ; [8.27027027 8.72972973],0
b5,1,0.097453,2.746742,[82 50] ; [ 7 10],[78.84563758 53.15436242] ; [10.15436242  6.84563758],0
v3,1,0.112527,2.518372,[43 86] ; [9 8],[45.94520548 83.05479452] ; [ 6.05479452 10.94520548],0
n4,1,0.118584,2.435918,[92 39] ; [15  2],[94.70945946 36.29054054] ; [12.29054054  4.70945946],0
r1,1,0.23733,1.396382,[98 32] ; [15  2],[99.93197279 30.06802721] ; [13.06802721  3.93197279],0
u3,1,0.26614,1.236533,[34 30] ; [3 6],[32.43835616 31.56164384] ; [4.56164384 4.43835616],0
b3,1,0.275447,1.189416,[17 62] ; [4 7],[18.43333333 60.56666667] ; [2.56666667 8.43333333],0
b2,1,0.275447,1.189416,[17 62] ; [4 7],[18.43333333 60.56666667] ; [2.56666667 8.43333333],0
n2,1,0.294859,1.097304,[30  4] ; [2 1],[29.40540541  4.59459459] ; [2.59459459 0.40540541],0
p7,1,0.337435,0.920153,[76 54] ; [12  5],[77.82312925 52.17687075] ; [10.17687075  6.82312925],0
n1,1,0.358951,0.841558,[13 20] ; [2 1],[13.75 19.25] ; [1.25 1.75],0
a8,1,0.420965,0.647619,[ 14 106] ; [ 3 13],[ 15. 105.] ; [ 2. 14.],0
a5,1,0.427318,0.630102,[72 60] ; [11  6],[73.53020134 58.46979866] ; [9.46979866 7.53020134],0
b4,1,0.457083,0.553028,[65 67] ; [10  7],[66.44295302 65.55704698] ; [8.55704698 8.44295302],0
s4,1,0.46224,0.540465,[ 25 106] ; [ 2 15],[ 23.89864865 107.10135135] ; [ 3.10135135 13.89864865],0
p11,1,0.505018,0.444376,[99 33] ; [14  3],[100.10738255  31.89261745] ; [12.89261745  4.10738255],0
a4,1,0.525842,0.402421,[32 98] ; [ 3 14],[30.95238095 99.04761905] ; [ 4.04761905 12.95238095],0
a2,1,0.597831,0.27828,[ 13 119] ; [ 1 16],[ 12.40268456 119.59731544] ; [ 1.59731544 15.40268456],0
s8,1,0.605627,0.266593,[49 83] ; [7 9],[49.94594595 82.05405405] ; [6.05405405 9.94594595],0
a7,1,0.623807,0.240552,[85 46] ; [10  7],[84.08783784 46.91216216] ; [10.91216216  6.08783784],0
p2,1,0.642409,0.215605,[100  32] ; [12  5],[99.22147651 32.77852349] ; [12.77852349  4.22147651],0
d3,1,0.682779,0.167014,[37 94] ; [ 4 13],[36.29054054 94.70945946] ; [ 4.70945946 12.29054054],0
a3,1,0.706638,0.141659,[68 63] ; [8 9],[67.27027027 63.72972973] ; [8.72972973 8.27027027],0
p9,1,0.707184,0.141106,[101  30] ; [13  3],[101.59183673  29.40816327] ; [12.40816327  3.59183673],0
b1,1,0.745235,0.105578,[49 83] ; [ 7 10],[49.61073826 82.38926174] ; [ 6.38926174 10.61073826],0
v2,1,0.783052,0.075814,[55 68] ; [ 7 10],[54.47142857 68.52857143] ; [7.52857143 9.47142857],0
s3,1,0.789166,0.0715,[68 61] ; [9 7],[68.50344828 60.49655172] ; [8.49655172 7.50344828],0
s2,1,0.799176,0.064726,[49 80] ; [ 7 10],[49.47945205 79.52054795] ; [ 6.52054795 10.47945205],0
p10,1,0.802808,0.062358,[95 34] ; [13  4],[95.42465753 33.57534247] ; [12.57534247  4.42465753],0
d1,1,0.806306,0.06012,[  6 126] ; [ 1 16],[  6.20134228 125.79865772] ; [ 0.79865772 16.20134228],0
a6,1,0.839782,0.040874,[81 51] ; [10  7],[80.61744966 51.38255034] ; [10.38255034  6.61744966],0
u2,1,0.897944,0.01645,[27 37] ; [4 5],[27.17808219 36.82191781] ; [3.82191781 5.17808219],0
d2,1,0.948459,0.004179,[ 32 100] ; [ 4 13],[ 31.89261745 100.10738255] ; [ 4.10738255 12.89261745],0
v1,1,0.963038,0.002147,[61 67] ; [8 9],[60.91034483 67.08965517] ; [8.08965517 8.91034483],0
