Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,23.910126,[106  64] ; [25 59],[87.67716535 82.32283465] ; [43.32283465 40.67716535],1
d3,1,0.000128,14.673759,[113  56] ; [35 49],[98.86166008 70.13833992] ; [49.13833992 34.86166008],1
d5,1,0.0003,13.067802,[124  46] ; [42 42],[111.1023622  58.8976378] ; [54.8976378 29.1023622],1
d4,1,0.001226,10.450155,[130  40] ; [47 36],[118.93280632  51.06719368] ; [58.06719368 24.93280632],0
b1,1,0.005866,7.590979,[ 51 119] ; [40 44],[ 60.90551181 109.09448819] ; [30.09448819 53.90551181],0
p2,1,0.011919,6.32284,[138  31] ; [56 27],[130.1031746  38.8968254] ; [63.8968254 19.1031746],0
d1,1,0.016288,5.771527,[ 64 106] ; [19 65],[ 55.5511811 114.4488189] ; [27.4488189 56.5511811],0
r2,1,0.032609,4.56621,[157  12] ; [70 13],[152.23412698  16.76587302] ; [74.76587302  8.23412698],0
n3,1,0.04306,4.093035,[30  7] ; [15 11],[26.42857143 10.57142857] ; [18.57142857  7.42857143],0
d2,1,0.049309,3.864795,[ 32 138] ; [25 59],[ 38.1496063 131.8503937] ; [18.8503937 65.1496063],0
p10,1,0.05776,3.600552,[122  43] ; [51 31],[115.56680162  49.43319838] ; [57.43319838 24.56680162],0
p3,1,0.058109,3.590548,[ 70 100] ; [24 59],[ 63.16205534 106.83794466] ; [30.83794466 52.16205534],0
a4,1,0.080765,3.049432,[ 27 143] ; [21 63],[ 32.12598425 137.87401575] ; [15.87401575 68.12598425],0
v3,1,0.107991,2.583374,[ 58 104] ; [21 61],[ 52.45081967 109.54918033] ; [26.54918033 55.45081967],0
s5,1,0.110406,2.548405,[ 35 129] ; [24 54],[ 39.98347107 124.01652893] ; [19.01652893 58.98347107],0
n6,1,0.168631,1.895072,[137  32] ; [61 22],[132.78571429  36.21428571] ; [65.21428571 17.78571429],0
r1,1,0.176811,1.824227,[117  52] ; [51 33],[112.22134387  56.77865613] ; [55.77865613 28.22134387],0
v1,1,0.201024,1.634918,[67 97] ; [41 42],[71.70850202 92.29149798] ; [36.29149798 46.70850202],0
b3,1,0.249239,1.327562,[25 63] ; [10 41],[22.15827338 65.84172662] ; [12.84172662 38.15827338],0
b2,1,0.249239,1.327562,[25 63] ; [10 41],[22.15827338 65.84172662] ; [12.84172662 38.15827338],0
r4,1,0.251093,1.31721,[147  23] ; [68 16],[143.8976378  26.1023622] ; [71.1023622 12.8976378],0
n1,1,0.269538,1.219095,[12 25] ; [12 14],[14.0952381 22.9047619] ; [ 9.9047619 16.0952381],0
n4,1,0.328903,0.953213,[102  67] ; [56 28],[105.54150198  63.45849802] ; [52.45849802 31.54150198],0
s3,1,0.361519,0.83261,[91 77] ; [50 33],[94.37450199 73.62549801] ; [46.62549801 36.37450199],0
s4,1,0.367659,0.811562,[ 28 139] ; [18 66],[ 30.60557769 136.39442231] ; [15.39442231 68.60557769],0
a1,1,0.372386,0.795687,[  3 167] ; [ 3 81],[  4.01574803 165.98425197] ; [ 1.98425197 82.01574803],0
b4,1,0.375008,0.787003,[103  67] ; [46 38],[99.72440945 70.27559055] ; [49.27559055 34.72440945],0
p11,1,0.383863,0.758293,[130  40] ; [60 24],[127.16535433  42.83464567] ; [62.83464567 21.16535433],0
p4,1,0.399864,0.708736,[77 92] ; [42 40],[80.12350598 88.87649402] ; [38.87649402 43.12350598],0
a3,1,0.438819,0.599368,[80 89] ; [35 48],[77.12301587 91.87698413] ; [37.87698413 45.12301587],0
u2,1,0.467724,0.527349,[50 37] ; [25 24],[47.97794118 39.02205882] ; [27.02205882 21.97794118],0
b5,1,0.47655,0.506748,[109  61] ; [50 34],[106.41732283  63.58267717] ; [52.58267717 31.41732283],0
p6,1,0.480231,0.498339,[ 50 116] ; [28 53],[ 52.42105263 113.57894737] ; [25.57894737 55.42105263],0
u1,1,0.481203,0.496135,[  7 163] ; [ 2 82],[  6.02362205 163.97637795] ; [ 2.97637795 81.02362205],0
v2,1,0.502071,0.450557,[76 86] ; [33 45],[73.575 88.425] ; [35.425 42.575],0
n2,1,0.51481,0.424278,[25 11] ; [20  6],[26.12903226  9.87096774] ; [18.87096774  7.12903226],0
v4,1,0.559251,0.341002,[158  11] ; [75  7],[156.88047809  12.11952191] ; [76.11952191  5.88047809],0
n5,1,0.559257,0.340992,[107  62] ; [55 27],[109.07569721  59.92430279] ; [52.92430279 29.07569721],0
p8,1,0.580108,0.30606,[75 93] ; [34 49],[72.9561753 95.0438247] ; [36.0438247 46.9561753],0
u4,1,0.609421,0.261019,[  1 169] ; [ 1 83],[  1.33858268 168.66141732] ; [ 0.66141732 83.33858268],0
p7,1,0.635123,0.225178,[94 70] ; [49 32],[95.72244898 68.27755102] ; [47.27755102 33.72244898],0
p9,1,0.65881,0.194972,[125  40] ; [60 22],[123.58299595  41.41700405] ; [61.41700405 20.58299595],0
a8,1,0.678571,0.171739,[ 21 137] ; [ 9 70],[ 20. 138.] ; [10. 69.],0
p5,1,0.71942,0.129049,[ 16 152] ; [ 9 73],[ 16.8 151.2] ; [ 8.2 73.8],0
s6,1,0.762062,0.091672,[100  68] ; [46 34],[98.90322581 69.09677419] ; [47.09677419 32.90322581],0
p12,1,0.78934,0.071379,[  7 162] ; [ 4 78],[  7.4063745 161.5936255] ; [ 3.5936255 78.4063745],0
s2,1,0.810509,0.057489,[76 93] ; [36 47],[75.11111111 93.88888889] ; [36.88888889 46.11111111],0
u3,1,0.821865,0.050691,[49 40] ; [26 23],[48.36956522 40.63043478] ; [26.63043478 22.36956522],0
p1,1,0.866028,0.028462,[ 13 155] ; [ 6 78],[ 12.66666667 155.33333333] ; [ 6.33333333 77.66666667],0
s7,1,0.938049,0.006041,[ 59 104] ; [29 50],[ 59.27272727 103.72727273] ; [28.72727273 50.27272727],0
s1,1,0.967828,0.001627,[  8 160] ; [ 4 78],[  8.064 159.936] ; [ 3.936 78.064],0
s8,1,0.973124,0.001135,[ 55 115] ; [27 57],[ 54.88188976 115.11811024] ; [27.11811024 56.88188976],0
