Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,61.037983,[193  99] ; [ 38 106],[154.70642202 137.29357798] ; [76.29357798 67.70642202],1
p6,1,0.0,43.772504,[159 133] ; [ 30 113],[126.86896552 165.13103448] ; [62.13103448 80.86896552],1
p2,1,3.7e-05,17.03663,[260  32] ; [106  38],[245.11926606  46.88073394] ; [120.88073394  23.11926606],1
p4,1,5.6e-05,16.22565,[212  79] ; [77 67],[193.33103448  97.66896552] ; [95.66896552 48.33103448],1
p3,1,9.1e-05,15.315244,[176 115] ; [58 85],[156.89861751 134.10138249] ; [77.10138249 65.89861751],1
p11,1,0.0002,13.835286,[241  51] ; [96 48],[225.69724771  66.30275229] ; [111.30275229  32.69724771],1
n5,1,0.001712,9.835344,[238  52] ; [99 45],[225.1843318  64.8156682] ; [111.8156682  32.1843318],0
p10,1,0.001823,9.719343,[260  31] ; [111  31],[249.33256351  41.66743649] ; [121.66743649  20.33256351],0
b5,1,0.003024,8.79274,[166 126] ; [103  41],[180.1559633 111.8440367] ; [88.8440367 55.1559633],0
n6,1,0.013258,6.134412,[257  31] ; [116  28],[248.66666667  39.33333333] ; [124.33333333  19.66666667],0
s7,1,0.024543,5.055841,[208  75] ; [86 51],[198.1  84.9] ; [95.9 41.1],0
p5,1,0.025403,4.996197,[ 45 245] ; [ 11 130],[ 37.67981439 252.32018561] ; [ 18.32018561 122.67981439],0
a1,1,0.029272,4.751547,[ 24 268] ; [  4 140],[ 18.75229358 273.24770642] ; [  9.24770642 134.75229358],0
d2,1,0.033739,4.5079,[143 147] ; [86 57],[153.37182448 136.62817552] ; [75.62817552 67.37182448],0
u3,1,0.035558,4.418178,[38 25] ; [35  9],[42.98130841 20.01869159] ; [30.01869159 13.98130841],0
d3,1,0.039676,4.231674,[216  73] ; [94 50],[206.90531178  82.09468822] ; [103.09468822  40.90531178],0
r1,1,0.041407,4.159299,[247  44] ; [110  33],[239.37096774  51.62903226] ; [117.62903226  25.37096774],0
s5,1,0.042553,4.11306,[146 137] ; [54 78],[136.38554217 146.61445783] ; [63.61445783 68.38554217],0
a8,1,0.049774,3.849045,[ 51 224] ; [ 14 115],[ 44.2450495 230.7549505] ; [ 20.7549505 108.2450495],0
a3,1,0.051741,3.784139,[227  64] ; [100  44],[218.75172414  72.24827586] ; [108.24827586  35.75172414],0
r3,1,0.052027,3.774903,[285   6] ; [136   8],[281.63448276   9.36551724] ; [139.36551724   4.63448276],0
a6,1,0.095747,2.774989,[196  93] ; [86 58],[188.21709007 100.78290993] ; [93.78290993 50.21709007],0
n4,1,0.106318,2.608122,[235  55] ; [107  37],[228.52534562  61.47465438] ; [113.47465438  30.52534562],0
