Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,88.527494,[ 3 81] ; [123  66],[38.76923077 45.23076923] ; [ 87.23076923 101.76923077],1
d4,1,0.0,43.010158,[39 45] ; [160  29],[61.23076923 22.76923077] ; [137.76923077  51.23076923],1
d3,1,0.0,28.74377,[31 53] ; [134  54],[50.95588235 33.04411765] ; [114.04411765  73.95588235],1
a3,1,4e-06,21.060349,[32 51] ; [129  60],[49.12867647 33.87132353] ; [111.87132353  77.12867647],1
d2,1,1.4e-05,18.891348,[19 65] ; [95 92],[35.33579336 48.66420664] ; [ 78.66420664 108.33579336],1
a4,1,4.5e-05,16.668455,[17 67] ; [ 87 101],[32.11764706 51.88235294] ; [ 71.88235294 116.11764706],1
a5,1,7.4e-05,15.708574,[35 49] ; [127  62],[49.84615385 34.15384615] ; [112.15384615  76.84615385],1
r1,1,0.000448,12.320516,[40 44] ; [132  57],[52.92307692 31.07692308] ; [119.07692308  69.92307692],1
r4,1,0.000707,11.469792,[53 31] ; [155  34],[64. 20.] ; [144.  45.],1
r2,1,0.001048,10.740197,[63 21] ; [166  18],[71.7761194 12.2238806] ; [157.2238806  26.7761194],0
a7,1,0.001641,9.913289,[41 43] ; [130  59],[52.61538462 31.38461538] ; [118.38461538  70.61538462],0
a2,1,0.003048,8.778724,[ 5 79] ; [ 38 151],[13.23076923 70.76923077] ; [ 29.76923077 159.23076923],0
u1,1,0.003216,8.680752,[ 2 82] ; [ 27 162],[ 8.92307692 75.07692308] ; [ 20.07692308 168.92307692],0
r3,1,0.003542,8.504718,[63 21] ; [167  21],[71.02941176 12.97058824] ; [158.97058824  29.02941176],0
v4,1,0.007689,7.104425,[66 18] ; [170  18],[72.88235294 11.11764706] ; [163.11764706  24.88235294],0
u3,1,0.020962,5.329971,[19 32] ; [35 24],[25.03636364 25.96363636] ; [28.96363636 30.03636364],0
n6,1,0.03304,4.543702,[57 27] ; [150  38],[63.92647059 20.07352941] ; [143.07352941  44.92647059],0
u2,1,0.047999,3.91001,[21 30] ; [36 24],[26.18918919 24.81081081] ; [30.81081081 29.18918919],0
p12,1,0.049443,3.860244,[ 5 79] ; [  3 185],[ 2.47058824 81.52941176] ; [  5.52941176 182.47058824],0
p2,1,0.058582,3.577091,[56 28] ; [145  42],[62.30258303 21.69741697] ; [138.69741697  48.30258303],0
a6,1,0.071255,3.253869,[45 39] ; [123  66],[51.69230769 32.30769231] ; [116.30769231  72.69230769],0
s6,1,0.072723,3.220469,[37 45] ; [106  80],[43.75373134 38.24626866] ; [99.24626866 86.75373134],0
s7,1,0.07916,3.082069,[24 56] ; [ 75 106],[30.34482759 49.65517241] ; [ 68.65517241 112.34482759],0
p10,1,0.095148,2.785053,[47 36] ; [125  61],[53.07063197 29.92936803] ; [118.92936803  67.07063197],0
n4,1,0.116205,2.467732,[51 33] ; [133  56],[56.61538462 27.38461538] ; [127.38461538  61.61538462],0
p3,1,0.158518,1.988308,[26 58] ; [ 75 113],[31.19117647 52.80882353] ; [ 69.80882353 118.19117647],0
s8,1,0.20232,1.62555,[20 63] ; [ 60 129],[24.41176471 58.58823529] ; [ 55.58823529 133.41176471],0
b5,1,0.213225,1.549395,[53 31] ; [104  85],[48.30769231 35.69230769] ; [108.69230769  80.30769231],0
v3,1,0.263714,1.249153,[13 70] ; [ 20 165],[10.22014925 72.77985075] ; [ 22.77985075 162.22014925],0
p11,1,0.265838,1.238095,[52 32] ; [130  59],[56. 28.] ; [126.  63.],0
p7,1,0.273499,1.199113,[37 44] ; [98 87],[41.10902256 39.89097744] ; [93.89097744 91.10902256],0
p4,1,0.274063,1.196296,[34 48] ; [92 97],[38.12546125 43.87453875] ; [ 87.87453875 101.12546125],0
p1,1,0.31354,1.015706,[10 74] ; [ 15 171],[ 7.77777778 76.22222222] ; [ 17.22222222 168.77777778],0
p9,1,0.360255,0.837004,[53 29] ; [130  55],[56.20224719 25.79775281] ; [126.79775281  58.20224719],0
s2,1,0.399811,0.708893,[29 55] ; [ 75 113],[32.11764706 51.88235294] ; [ 71.88235294 116.11764706],0
s4,1,0.417741,0.656663,[19 65] ; [ 34 151],[16.55018587 67.44981413] ; [ 36.44981413 148.55018587],0
n5,1,0.432095,0.617185,[52 31] ; [127  61],[54.82287823 28.17712177] ; [124.17712177  63.82287823],0
b1,1,0.498571,0.457977,[37 47] ; [ 75 114],[34.46153846 49.53846154] ; [ 77.53846154 111.46153846],0
a1,1,0.53805,0.379167,[ 5 79] ; [  8 181],[ 4. 80.] ; [  9. 180.],0
n2,1,0.565112,0.33093,[22 12] ; [37 26],[20.68041237 13.31958763] ; [38.31958763 24.68041237],0
n3,1,0.574051,0.315951,[21 11] ; [37 25],[19.74468085 12.25531915] ; [38.25531915 23.74468085],0
b2,1,0.662357,0.190673,[15 31] ; [32 78],[13.85897436 32.14102564] ; [33.14102564 76.85897436],0
b3,1,0.662357,0.190673,[15 31] ; [32 78],[13.85897436 32.14102564] ; [33.14102564 76.85897436],0
p6,1,0.664354,0.188278,[23 60] ; [ 57 131],[24.50184502 58.49815498] ; [ 55.49815498 132.50184502],0
a8,1,0.793656,0.068417,[ 9 71] ; [ 18 159],[ 8.40466926 71.59533074] ; [ 18.59533074 158.40466926],0
p8,1,0.811251,0.057031,[33 49] ; [ 79 110],[33.88929889 48.11070111] ; [ 78.11070111 110.88929889],0
s5,1,0.856386,0.032753,[19 63] ; [ 45 141],[19.58208955 62.41791045] ; [ 44.41791045 141.58208955],0
s1,1,0.892182,0.018372,[ 5 79] ; [ 12 176],[ 5.25 78.75] ; [ 11.75 176.25],0
p5,1,0.8994,0.015982,[ 7 76] ; [ 15 173],[ 6.73800738 76.26199262] ; [ 15.26199262 172.73800738],0
b4,1,0.903109,0.014819,[46 38] ; [105  84],[46.46153846 37.53846154] ; [104.53846154  84.46153846],0
s3,1,0.910144,0.012737,[40 43] ; [92 96],[40.42804428 42.57195572] ; [91.57195572 96.42804428],0
n1,1,0.932128,0.007254,[12 21] ; [22 40],[11.81052632 21.18947368] ; [22.18947368 39.81052632],0
