Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,31.100796,[106  20] ; [88 78],[83.71232877 42.28767123] ; [110.28767123  55.71232877],1
p7,1,0.0,30.528786,[110  14] ; [97 67],[89.125 34.875] ; [117.875  46.125],1
p8,1,2e-06,22.937371,[98 28] ; [83 82],[78.37113402 47.62886598] ; [102.62886598  62.37113402],1
p3,1,3.1e-05,17.327578,[93 33] ; [82 83],[75.77319588 50.22680412] ; [99.22680412 65.77319588],1
p5,1,4e-05,16.882573,[37 90] ; [ 17 148],[ 23.48630137 103.51369863] ; [ 30.51369863 134.48630137],1
s7,1,0.000155,14.30631,[88 33] ; [79 78],[72.68705036 48.31294964] ; [94.31294964 62.68705036],1
n4,1,0.000593,11.798556,[118   9] ; [130  36],[107.49488055  19.50511945] ; [140.50511945  25.49488055],1
p12,1,0.003215,8.68119,[28 99] ; [ 16 150],[ 19.07167235 107.92832765] ; [ 24.92832765 141.07167235],0
n6,1,0.010194,6.600673,[119   6] ; [142  23],[112.5  12.5] ; [148.5  16.5],0
n5,1,0.025578,4.984356,[115  12] ; [134  31],[108.29794521  18.70205479] ; [140.70205479  24.29794521],0
s8,1,0.029804,4.720551,[80 45] ; [84 80],[70.93425606 54.06574394] ; [93.06574394 70.93425606],0
v1,1,0.03103,4.651291,[96 30] ; [105  58],[87.63321799 38.36678201] ; [113.36678201  49.63321799],0
s5,1,0.047073,3.942777,[56 64] ; [ 57 106],[47.91519435 72.08480565] ; [65.08480565 97.91519435],0
u1,1,0.054791,3.688439,[34 93] ; [ 29 137],[27.30716724 99.69283276] ; [ 35.69283276 130.30716724],0
a1,1,0.078898,3.087455,[ 15 112] ; [ 10 156],[ 10.83617747 116.16382253] ; [ 14.16382253 151.83617747],0
b4,1,0.092681,2.827171,[82 45] ; [91 75],[74.98634812 52.01365188] ; [98.01365188 67.98634812],0
p1,1,0.106013,2.612675,[ 21 105] ; [ 17 149],[ 16.39726027 109.60273973] ; [ 21.60273973 144.39726027],0
s1,1,0.138029,2.199792,[  5 122] ; [  2 160],[  3.07612457 123.92387543] ; [  3.92387543 158.07612457],0
b2,1,0.142799,2.147535,[40 40] ; [42 65],[35.0802139 44.9197861] ; [46.9197861 60.0802139],0
b3,1,0.142799,2.147535,[40 40] ; [42 65],[35.0802139 44.9197861] ; [46.9197861 60.0802139],0
n1,1,0.146978,2.103339,[ 8 10] ; [ 9 27],[ 5.66666667 12.33333333] ; [11.33333333 24.66666667],0
s6,1,0.152707,2.045,[93 29] ; [111  51],[87.63380282 34.36619718] ; [116.36619718  45.63380282],0
n3,1,0.177283,1.820258,[11  7] ; [29  8],[13.09090909  4.90909091] ; [26.90909091 10.09090909],0
n2,1,0.177283,1.820258,[11  7] ; [29  8],[13.09090909  4.90909091] ; [26.90909091 10.09090909],0
p2,1,0.215869,1.531625,[114  13] ; [140  25],[110.47260274  16.52739726] ; [143.52739726  21.47260274],0
b1,1,0.236017,1.404228,[49 78] ; [ 53 113],[44.2116041 82.7883959] ; [ 57.7883959 108.2116041],0
u3,1,0.255922,1.290686,[17 10] ; [18 19],[14.765625 12.234375] ; [20.234375 16.765625],0
r1,1,0.262374,1.256186,[104  23] ; [143  22],[107.42808219  19.57191781] ; [139.57191781  25.42808219],0
