Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,25.093247,[41 27] ; [ 1 26],[30.06315789 37.93684211] ; [11.93684211 15.06315789],1
d5,1,4e-06,21.11185,[59  9] ; [11 16],[50.10526316 17.89473684] ; [19.89473684  7.10526316],1
d3,1,1e-05,19.573604,[51 17] ; [ 7 20],[41.51578947 26.48421053] ; [16.48421053 10.51578947],1
r3,1,0.00145,10.141612,[60  8] ; [16 11],[54.4 13.6] ; [21.6  5.4],0
s2,1,0.006018,7.544942,[27 40] ; [ 3 24],[21.38297872 45.61702128] ; [ 8.61702128 18.38297872],0
p1,1,0.009442,6.737281,[ 2 65] ; [ 5 22],[ 4.9893617 62.0106383] ; [ 2.0106383 24.9893617],0
a7,1,0.010519,6.544804,[47 21] ; [11 16],[41.51578947 26.48421053] ; [16.48421053 10.51578947],0
a3,1,0.020917,5.333671,[53 15] ; [14 12],[48.46808511 19.53191489] ; [18.53191489  7.46808511],0
u3,1,0.024305,5.072768,[11  4] ; [4 9],[8.03571429 6.96428571] ; [6.96428571 6.03571429],0
s3,1,0.024329,5.071001,[36 29] ; [ 8 19],[31.08695652 33.91304348] ; [12.91304348 14.08695652],0
a1,1,0.025538,4.987021,[ 3 65] ; [ 5 22],[ 5.72631579 62.27368421] ; [ 2.27368421 24.72631579],0
r4,1,0.028578,4.792854,[51 17] ; [14 13],[46.52631579 21.47368421] ; [18.47368421  8.52631579],0
u2,1,0.062308,3.474872,[12  3] ; [6 7],[9.64285714 5.35714286] ; [8.35714286 4.64285714],0
a5,1,0.063426,3.445446,[51 17] ; [15 12],[47.24210526 20.75789474] ; [18.75789474  8.24210526],0
p3,1,0.073999,3.19202,[28 39] ; [ 6 21],[24.23404255 42.76595745] ; [ 9.76595745 17.23404255],0
p2,1,0.077428,3.118069,[49 17] ; [15 12],[45.41935484 20.58064516] ; [18.58064516  8.41935484],0
v2,1,0.078593,3.09375,[33 33] ; [ 7 17],[29.33333333 36.66666667] ; [10.66666667 13.33333333],0
