Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,6e-06,20.365399,[92 72] ; [63 10],[107.25738397  56.74261603] ; [47.74261603 25.25738397],1
s2,1,1.3e-05,18.996149,[ 61 104] ; [51 25],[76.68049793 88.31950207] ; [35.31950207 40.68049793],1
s7,1,6.7e-05,15.881209,[61 95] ; [48 23],[74.90748899 81.09251101] ; [34.09251101 36.90748899],1
p5,1,0.000157,14.284813,[ 12 151] ; [19 57],[ 21.14225941 141.85774059] ; [ 9.85774059 66.14225941],1
s8,1,0.003326,8.619592,[ 53 112] ; [39 36],[ 63.25 101.75] ; [28.75 46.25],0
p6,1,0.004864,7.929407,[ 60 104] ; [42 33],[69.9916318 94.0083682] ; [32.0083682 42.9916318],0
p12,1,0.005802,7.610719,[  6 159] ; [10 66],[ 10.95435685 154.04564315] ; [ 5.04564315 70.95435685],0
p9,1,0.010073,6.621943,[123  42] ; [66  8],[130.48117155  34.51882845] ; [58.51882845 15.48117155],0
b5,1,0.012678,6.213534,[100  65] ; [33 43],[91.05809129 73.94190871] ; [41.94190871 34.05809129],0
r1,1,0.012755,6.202785,[110  54] ; [62 13],[118.0251046  45.9748954] ; [53.9748954 21.0251046],0
p8,1,0.032386,4.57797,[92 72] ; [53 22],[99.49790795 64.50209205] ; [45.50209205 29.49790795],0
p1,1,0.036136,4.390656,[  9 156] ; [10 65],[ 13.0625 151.9375] ; [ 5.9375 69.0625],0
r4,1,0.036452,4.375816,[132  33] ; [69  7],[137.61410788  27.38589212] ; [63.38589212 12.61410788],0
a8,1,0.05202,3.775138,[ 17 138] ; [15 58],[ 21.75438596 133.24561404] ; [10.24561404 62.75438596],0
n4,1,0.053095,3.740915,[107  58] ; [58 17],[113.4375  51.5625] ; [51.5625 23.4375],0
v4,1,0.05679,3.628722,[148  16] ; [72  2],[151.59663866  12.40336134] ; [68.40336134  5.59663866],0
s3,1,0.062069,3.481225,[86 78] ; [49 26],[92.63598326 71.36401674] ; [42.36401674 32.63598326],0
u1,1,0.092717,2.826563,[  5 160] ; [ 6 70],[  7.53112033 157.46887967] ; [ 3.46887967 72.53112033],0
a1,1,0.092717,2.826563,[  5 160] ; [ 6 70],[  7.53112033 157.46887967] ; [ 3.46887967 72.53112033],0
n6,1,0.095815,2.773866,[127  37] ; [65 10],[131.74895397  32.25104603] ; [60.25104603 14.74895397],0
