Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,4.2e-05,16.759882,[29 22] ; [334  75],[40.24565217 10.75434783] ; [322.75434783  86.24565217],1
r2,1,0.001311,10.3275,[47  4] ; [403   5],[50.  1.] ; [400.   8.],0
v4,1,0.002824,8.917676,[46  5] ; [401   9],[49.45119306  1.54880694] ; [397.54880694  12.45119306],0
a6,1,0.007363,7.182242,[28 23] ; [297 110],[36.18995633 14.81004367] ; [288.81004367 118.18995633],0
u1,1,0.01303,6.165064,[ 4 47] ; [ 94 316],[10.84164859 40.15835141] ; [ 87.15835141 322.84164859],0
a2,1,0.013821,6.060904,[ 6 45] ; [114 296],[13.27548807 37.72451193] ; [106.72451193 303.27548807],0
a7,1,0.044402,4.041209,[33 18] ; [316  92],[38.77777778 12.22222222] ; [310.22222222  97.77777778],0
a3,1,0.049353,3.863321,[33 18] ; [315  93],[38.66666667 12.33333333] ; [309.33333333  98.66666667],0
d2,1,0.0513,3.798448,[20 31] ; [219 189],[26.55555556 24.44444444] ; [212.44444444 195.55555556],0
b4,1,0.097742,2.741998,[36 15] ; [240 170],[30.53362256 20.46637744] ; [245.46637744 164.53362256],0
a4,1,0.097911,2.739239,[18 33] ; [194 214],[23.55555556 27.44444444] ; [188.44444444 219.55555556],0
p6,1,0.127309,2.325018,[24 24] ; [154 245],[19.11409396 28.88590604] ; [158.88590604 240.11409396],0
n6,1,0.283514,1.150167,[47  4] ; [351  53],[44.61098901  6.38901099] ; [353.38901099  50.61098901],0
a8,1,0.336082,0.925318,[ 5 42] ; [ 58 304],[ 7.2396088 39.7603912] ; [ 55.7603912 306.2396088],0
v3,1,0.340026,0.910332,[32 18] ; [226 171],[28.8590604 21.1409396] ; [229.1409396 167.8590604],0
s2,1,0.361362,0.833153,[24 27] ; [218 187],[27.06578947 23.93421053] ; [214.93421053 190.06578947],0
p5,1,0.367288,0.812821,[ 8 43] ; [ 46 359],[ 6.03947368 44.96052632] ; [ 47.96052632 357.03947368],0
s6,1,0.372036,0.796852,[29 17] ; [280 123],[31.65701559 14.34298441] ; [277.34298441 125.65701559],0
s8,1,0.391305,0.734884,[22 29] ; [200 204],[24.88351648 26.11648352] ; [197.11648352 206.88351648],0
s7,1,0.398336,0.713344,[23 25] ; [212 178],[25.75342466 22.24657534] ; [209.24657534 180.75342466],0
d1,1,0.414936,0.664614,[30 21] ; [265 145],[32.63557484 18.36442516] ; [262.36442516 147.63557484],0
d5,1,0.417769,0.656583,[45  6] ; [343  66],[43.0173913  7.9826087] ; [344.9826087  64.0173913],0
n3,1,0.426845,0.631393,[10  4] ; [55 13],[11.09756098  2.90243902] ; [53.90243902 14.09756098],0
u3,1,0.429964,0.622921,[9 9] ; [57 38],[10.51327434  7.48672566] ; [55.48672566 39.51327434],0
n2,1,0.549211,0.358733,[10  4] ; [52 14],[10.85  3.15] ; [51.15 14.85],0
p8,1,0.550293,0.356792,[26 23] ; [229 169],[27.95302013 21.04697987] ; [227.04697987 170.95302013],0
