Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,6e-06,20.543581,[ 93 172] ; [38 18],[108.14641745 156.85358255] ; [22.85358255 33.14641745],1
b5,1,0.000359,12.735549,[166  99] ; [22 37],[153.7654321 111.2345679] ; [34.2345679 24.7654321],1
d2,1,0.001166,10.543118,[ 96 168] ; [35 24],[107.07120743 156.92879257] ; [23.92879257 35.07120743],0
p5,1,0.00256,9.097298,[ 12 252] ; [ 9 50],[ 17.16408669 246.83591331] ; [ 3.83591331 55.16408669],0
r1,1,0.004327,8.141203,[173  90] ; [50  9],[182.13975155  80.86024845] ; [40.86024845 18.13975155],0
d4,1,0.009012,6.820422,[184  80] ; [51  8],[192.07430341  71.92569659] ; [42.92569659 16.07430341],0
d1,1,0.012828,6.192649,[110 155] ; [35 24],[118.59567901 146.40432099] ; [26.40432099 32.59567901],0
a7,1,0.013011,6.167639,[184  81] ; [31 28],[175.84876543  89.15123457] ; [39.15123457 19.84876543],0
a6,1,0.015333,5.877826,[179  86] ; [30 29],[170.94135802  94.05864198] ; [38.05864198 20.94135802],0
a8,1,0.025341,5.000438,[ 19 224] ; [10 47],[ 23.49 219.51] ; [ 5.51 51.49],0
p10,1,0.035088,4.44087,[166  95] ; [46 13],[172.9125  88.0875] ; [39.0875 19.9125],0
p12,1,0.036977,4.351451,[  5 258] ; [ 4 54],[  7.37383178 255.62616822] ; [ 1.62616822 56.37383178],0
n6,1,0.0373,4.336639,[189  75] ; [50  9],[195.34365325  68.65634675] ; [43.65634675 15.34365325],0
p7,1,0.0454,4.003719,[130 130] ; [38 21],[136.92789969 123.07210031] ; [31.07210031 27.92789969],0
r4,1,0.07098,3.260204,[195  70] ; [50  9],[200.38580247  64.61419753] ; [44.61419753 14.38580247],0
n1,1,0.081601,3.032732,[33 58] ; [9 6],[36.05660377 54.94339623] ; [5.94339623 9.05660377],0
s8,1,0.098355,2.732011,[ 44 221] ; [15 43],[ 48.40557276 216.59442724] ; [10.59442724 47.40557276],0
p3,1,0.103392,2.652421,[ 91 173] ; [27 32],[ 96.44582043 167.55417957] ; [21.55417957 37.44582043],0
d5,1,0.115732,2.474147,[189  76] ; [48 11],[193.84259259  71.15740741] ; [43.15740741 15.84259259],0
u2,1,0.138028,2.199804,[54 54] ; [ 6 13],[51.02362205 56.97637795] ; [ 8.97637795 10.02362205],0
s7,1,0.149025,2.0822,[ 49 203] ; [16 41],[ 53.00970874 198.99029126] ; [11.99029126 45.00970874],0
a5,1,0.1668,1.911475,[168  97] ; [43 16],[172.57716049  92.42283951] ; [38.42283951 20.57716049],0
a4,1,0.234253,1.414851,[ 98 164] ; [27 32],[102.02492212 159.97507788] ; [22.97507788 36.02492212],0
b3,1,0.246838,1.341113,[49 97] ; [15 19],[51.91111111 94.08888889] ; [12.08888889 21.91111111],0
b2,1,0.246838,1.341113,[49 97] ; [15 19],[51.91111111 94.08888889] ; [12.08888889 21.91111111],0
p2,1,0.250464,1.320715,[196  68] ; [48 11],[199.43034056  64.56965944] ; [44.56965944 14.43034056],0
u1,1,0.262842,1.253726,[ 27 238] ; [ 9 50],[ 29.44444444 235.55555556] ; [ 6.55555556 52.44444444],0
a3,1,0.286096,1.137905,[157 106] ; [39 19],[160.58566978 102.41433022] ; [35.41433022 22.58566978],0
r3,1,0.322195,0.980014,[224  40] ; [53  6],[226.40247678  37.59752322] ; [50.59752322  8.40247678],0
p11,1,0.322751,0.977764,[185  80] ; [45 14],[188.11728395  76.88271605] ; [41.88271605 17.11728395],0
r2,1,0.328705,0.953991,[221  40] ; [52  6],[223.36363636  37.63636364] ; [49.63636364  8.36363636],0
n4,1,0.337181,0.92112,[176  89] ; [43 16],[179.12037037  85.87962963] ; [39.87962963 19.12037037],0
n5,1,0.384655,0.755772,[171  91] ; [42 17],[173.85046729  88.14953271] ; [39.14953271 19.85046729],0
p6,1,0.389662,0.739998,[ 58 202] ; [16 42],[ 60.50314465 199.49685535] ; [13.49685535 44.50314465],0
s4,1,0.401089,0.705059,[ 26 238] ; [ 8 51],[ 27.78947368 236.21052632] ; [ 6.21052632 52.78947368],0
s3,1,0.406359,0.689427,[ 63 199] ; [11 47],[ 60.5875 201.4125] ; [13.4125 44.5875],0
p1,1,0.421001,0.647519,[ 15 249] ; [ 5 54],[ 16.34674923 247.65325077] ; [ 3.65325077 55.34674923],0
a1,1,0.428114,0.627936,[  8 257] ; [ 3 56],[  8.99691358 256.00308642] ; [ 2.00308642 56.99691358],0
b4,1,0.437173,0.603692,[147 118] ; [36 23],[149.67592593 115.32407407] ; [33.32407407 25.67592593],0
u3,1,0.479586,0.499804,[52 55] ; [ 8 12],[50.5511811 56.4488189] ; [ 9.4488189 10.5511811],0
p4,1,0.499971,0.454999,[117 147] ; [29 30],[119.33126935 144.66873065] ; [26.66873065 32.33126935],0
p8,1,0.508716,0.436706,[114 148] ; [28 30],[116.2625 145.7375] ; [25.7375 32.2625],0
s1,1,0.570542,0.321776,[  8 255] ; [ 1 58],[  7.35093168 255.64906832] ; [ 1.64906832 57.35093168],0
d3,1,0.580111,0.306055,[158 106] ; [33 26],[156.11145511 107.88854489] ; [34.88854489 24.11145511],0
v2,1,0.594715,0.283041,[ 90 165] ; [23 36],[ 91.76751592 163.23248408] ; [21.23248408 37.76751592],0
p9,1,0.596267,0.280663,[183  76] ; [43 15],[184.64984227  74.35015773] ; [41.35015773 16.64984227],0
n2,1,0.740171,0.109976,[58 32] ; [9 6],[57.42857143 32.57142857] ; [9.57142857 5.42857143],0
v1,1,0.780701,0.07751,[ 98 162] ; [23 35],[ 98.93081761 161.06918239] ; [22.06918239 35.93081761],0
n3,1,0.793691,0.068393,[59 31] ; [9 4],[59.41747573 30.58252427] ; [8.58252427 4.41747573],0
b1,1,0.819251,0.052216,[108 157] ; [25 34],[108.7808642 156.2191358] ; [24.2191358 34.7808642],0
v4,1,0.897375,0.016635,[225  38] ; [50  8],[225.31152648  37.68847352] ; [49.68847352  8.31152648],0
a2,1,0.948669,0.004145,[ 44 221] ; [10 49],[ 44.16666667 220.83333333] ; [ 9.83333333 49.16666667],0
