Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.002419,9.200816,[24  1] ; [8 6],[20.51282051  4.48717949] ; [11.48717949  2.51282051],0
p10,1,0.002999,8.807878,[23  1] ; [8 6],[19.57894737  4.42105263] ; [11.42105263  2.57894737],0
a5,1,0.006611,7.375847,[19  7] ; [ 4 10],[14.95 11.05] ; [8.05 5.95],0
b4,1,0.014851,5.934066,[12 14] ; [12  2],[15.6 10.4] ; [8.4 5.6],0
a6,1,0.072003,3.236763,[17  9] ; [5 9],[14.3 11.7] ; [7.7 6.3],0
n6,1,0.077064,3.125763,[25  1] ; [11  3],[23.4  2.6] ; [12.6  1.4],0
s1,1,0.085263,2.961612,[ 1 24] ; [ 3 11],[ 2.56410256 22.43589744] ; [ 1.43589744 12.56410256],0
d2,1,0.110448,2.547797,[ 5 21] ; [6 8],[ 7.15 18.85] ; [ 3.85 10.15],0
a3,1,0.118763,2.433556,[16 10] ; [5 9],[13.65 12.35] ; [7.35 6.65],0
n4,1,0.121773,2.394366,[18  7] ; [13  1],[19.87179487  5.12820513] ; [11.12820513  2.87179487],0
s4,1,0.192884,1.695447,[ 6 20] ; [6 8],[ 7.8 18.2] ; [4.2 9.8],0
b3,1,0.210096,1.570767,[5 5] ; [2 7],[3.68421053 6.31578947] ; [3.31578947 5.68421053],0
b2,1,0.210096,1.570767,[5 5] ; [2 7],[3.68421053 6.31578947] ; [3.31578947 5.68421053],0
r4,1,0.210228,1.569859,[24  2] ; [11  3],[22.75  3.25] ; [12.25  1.75],0
u1,1,0.231836,1.429561,[ 1 25] ; [ 2 12],[ 1.95 24.05] ; [ 1.05 12.95],0
n1,1,0.248213,1.333333,[4 2] ; [2 4],[3. 3.] ; [3. 3.],0
a4,1,0.250829,1.318681,[ 5 21] ; [5 9],[ 6.5 19.5] ; [ 3.5 10.5],0
v2,1,0.257362,1.282895,[15 11] ; [5 8],[13.33333333 12.66666667] ; [6.66666667 6.33333333],0
u2,1,0.259942,1.269066,[3 7] ; [5 4],[4.21052632 5.78947368] ; [3.78947368 5.21052632],0
p7,1,0.280986,1.162315,[20  5] ; [9 5],[18.58974359  6.41025641] ; [10.41025641  3.58974359],0
n5,1,0.307153,1.042879,[21  5] ; [13  1],[22.1  3.9] ; [11.9  2.1],0
r1,1,0.350994,0.869862,[21  4] ; [10  4],[19.87179487  5.12820513] ; [11.12820513  2.87179487],0
p3,1,0.386362,0.750361,[13 13] ; [5 9],[11.7 14.3] ; [6.3 7.7],0
s8,1,0.430869,0.620481,[14 11] ; [6 8],[12.82051282 12.17948718] ; [7.17948718 6.82051282],0
a8,1,0.445885,0.58109,[ 4 20] ; [ 1 12],[ 3.24324324 20.75675676] ; [ 1.75675676 11.24324324],0
v3,1,0.457956,0.550886,[12 13] ; [5 9],[10.8974359 14.1025641] ; [6.1025641 7.8974359],0
p1,1,0.471097,0.519401,[ 6 19] ; [ 2 12],[ 5.12820513 19.87179487] ; [ 2.87179487 11.12820513],0
p4,1,0.481365,0.49577,[16 10] ; [7 7],[14.95 11.05] ; [8.05 5.95],0
b1,1,0.481365,0.49577,[10 16] ; [7 7],[11.05 14.95] ; [5.95 8.05],0
p5,1,0.481582,0.495278,[ 8 17] ; [ 3 11],[ 7.05128205 17.94871795] ; [ 3.94871795 10.05128205],0
u3,1,0.497739,0.459753,[6 4] ; [4 5],[5.26315789 4.73684211] ; [4.73684211 4.26315789],0
p8,1,0.497754,0.459722,[17  8] ; [8 6],[16.02564103  8.97435897] ; [8.97435897 5.02564103],0
r3,1,0.507335,0.43956,[24  2] ; [12  2],[23.4  2.6] ; [12.6  1.4],0
b5,1,0.524091,0.405835,[12 14] ; [5 9],[11.05 14.95] ; [5.95 8.05],0
s2,1,0.607565,0.263736,[17  9] ; [8 6],[16.25  9.75] ; [8.75 5.25],0
p12,1,0.658492,0.19536,[ 3 23] ; [ 1 13],[ 2.6 23.4] ; [ 1.4 12.6],0
d3,1,0.701883,0.14652,[ 6 20] ; [ 4 10],[ 6.5 19.5] ; [ 3.5 10.5],0
s7,1,0.752172,0.099715,[16  5] ; [10  4],[15.6  5.4] ; [10.4  3.6],0
p6,1,0.841559,0.03996,[12 14] ; [6 8],[11.7 14.3] ; [6.3 7.7],0
d5,1,0.841559,0.03996,[12 14] ; [6 8],[11.7 14.3] ; [6.3 7.7],0
s3,1,0.861858,0.03028,[15 10] ; [8 6],[14.74358974 10.25641026] ; [8.25641026 5.74358974],0
p11,1,0.905214,0.014179,[20  6] ; [11  3],[20.15  5.85] ; [10.85  3.15],0
p2,1,0.915595,0.011233,[20  5] ; [11  3],[19.87179487  5.12820513] ; [11.12820513  2.87179487],0
v1,1,0.944591,0.00483,[ 9 17] ; [5 9],[ 9.1 16.9] ; [4.9 9.1],0
s6,1,0.960637,0.002436,[21  4] ; [11  2],[21.05263158  3.94736842] ; [10.94736842  2.05263158],0
