Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1.3e-05,19.015263,[30 40] ; [ 9 70],[18.32214765 51.67785235] ; [20.67785235 58.32214765],1
v1,1,0.000212,13.721407,[40 31] ; [21 58],[28.87333333 42.12666667] ; [32.12666667 46.87333333],1
r1,1,0.000221,13.646553,[59 13] ; [43 37],[48.31578947 23.68421053] ; [53.68421053 26.31578947],1
a7,1,0.012321,6.26415,[58 14] ; [49 30],[51.01986755 20.98013245] ; [55.98013245 23.01986755],0
a2,1,0.014051,6.031746,[14 58] ; [ 5 75],[ 9. 63.] ; [10. 70.],0
u1,1,0.014128,6.02213,[11 61] ; [ 3 77],[ 6.63157895 65.36842105] ; [ 7.36842105 72.63157895],0
s3,1,0.022666,5.193953,[37 34] ; [27 53],[30.09271523 40.90728477] ; [33.90728477 46.09271523],0
v4,1,0.02478,5.039204,[70  1] ; [71  8],[66.74  4.26] ; [74.26  4.74],0
r2,1,0.027155,4.880915,[68  3] ; [68 12],[63.94701987  7.05298013] ; [72.05298013  7.94701987],0
a3,1,0.027764,4.84268,[50 22] ; [41 38],[43.39072848 28.60927152] ; [47.60927152 31.39072848],0
r3,1,0.044124,4.051809,[70  2] ; [71  9],[66.78947368  5.21052632] ; [74.21052632  5.78947368],0
s6,1,0.053811,3.718558,[47 24] ; [40 39],[41.18 29.82] ; [45.82 33.18],0
a5,1,0.057305,3.613715,[47 25] ; [40 40],[41.21052632 30.78947368] ; [45.78947368 34.21052632],0
d1,1,0.06008,3.535181,[37 35] ; [29 51],[31.26315789 40.73684211] ; [34.73684211 45.26315789],0
p10,1,0.066082,3.377754,[56 16] ; [50 28],[50.88 21.12] ; [55.12 22.88],0
a8,1,0.070729,3.266009,[ 1 67] ; [ 6 69],[ 3.32867133 64.67132867] ; [ 3.67132867 71.32867133],0
p12,1,0.071821,3.240893,[ 5 67] ; [ 1 79],[ 2.84210526 69.15789474] ; [ 3.15789474 76.84210526],0
d4,1,0.086646,2.93561,[59 13] ; [56 24],[54.47368421 17.52631579] ; [60.52631579 19.47368421],0
b1,1,0.090342,2.868271,[17 55] ; [29 51],[21.78947368 50.21052632] ; [24.21052632 55.78947368],0
a6,1,0.110333,2.549448,[47 25] ; [42 38],[42.15789474 29.84210526] ; [46.84210526 33.15789474],0
u2,1,0.118371,2.438741,[ 7 15] ; [20 18],[ 9.9 12.1] ; [17.1 20.9],0
p7,1,0.141743,2.158929,[44 27] ; [39 39],[39.55033557 31.44966443] ; [43.44966443 34.55033557],0
p8,1,0.166809,1.911386,[35 37] ; [30 50],[30.78947368 41.21052632] ; [34.21052632 45.78947368],0
p11,1,0.168756,1.893958,[55 17] ; [53 27],[51.15789474 20.84210526] ; [56.84210526 23.15789474],0
r4,1,0.171493,1.869841,[62 10] ; [62 18],[58.73684211 13.26315789] ; [65.26315789 14.73684211],0
p9,1,0.180336,1.79485,[59 13] ; [56 21],[55.5704698 16.4295302] ; [59.4295302 17.5704698],0
d3,1,0.19319,1.693121,[51 21] ; [48 31],[47.20529801 24.79470199] ; [51.79470199 27.20529801],0
p6,1,0.201058,1.634675,[20 52] ; [15 64],[16.68874172 55.31125828] ; [18.31125828 60.68874172],0
