Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.003565,8.493031,[ 4 10] ; [62 28],[8.88461538 5.11538462] ; [57.11538462 32.88461538],0
s1,1,0.006906,7.297182,[ 3 11] ; [ 3 87],[ 0.80769231 13.19230769] ; [ 5.19230769 84.80769231],0
r2,1,0.008143,7.001751,[7 7] ; [72 16],[10.84313725  3.15686275] ; [68.15686275 19.84313725],0
r3,1,0.014787,5.941621,[9 5] ; [80 10],[11.98076923  2.01923077] ; [77.01923077 12.98076923],0
p11,1,0.020222,5.392593,[7 7] ; [71 19],[10.5  3.5] ; [67.5 22.5],0
p2,1,0.033048,4.543312,[8 5] ; [77 13],[10.72815534  2.27184466] ; [74.27184466 15.72815534],0
s7,1,0.08287,3.007691,[ 3 10] ; [41 43],[5.89690722 7.10309278] ; [38.10309278 45.89690722],0
d2,1,0.102689,2.66328,[8 6] ; [31 59],[5.25 8.75] ; [33.75 56.25],0
u2,1,0.107244,2.594378,[1 4] ; [21 15],[2.68292683 2.31707317] ; [19.31707317 16.68292683],0
v1,1,0.116496,2.463809,[ 4 10] ; [45 43],[6.7254902 7.2745098] ; [42.2745098 45.7254902],0
p9,1,0.119894,2.418702,[9 5] ; [74 16],[11.17307692  2.82692308] ; [71.82692308 18.17307692],0
d4,1,0.121135,2.402584,[8 6] ; [69 21],[10.36538462  3.63461538] ; [66.63461538 23.36538462],0
p10,1,0.127687,2.320408,[8 6] ; [68 21],[10.33009709  3.66990291] ; [65.66990291 23.33009709],0
b2,1,0.135801,2.224906,[1 8] ; [21 37],[2.95522388 6.04477612] ; [19.04477612 38.95522388],0
b3,1,0.135801,2.224906,[1 8] ; [21 37],[2.95522388 6.04477612] ; [19.04477612 38.95522388],0
u3,1,0.151494,2.057143,[1 4] ; [19 16],[2.5 2.5] ; [17.5 17.5],0
a7,1,0.196978,1.664639,[6 8] ; [55 35],[8.21153846 5.78846154] ; [52.78846154 37.21153846],0
n6,1,0.220408,1.501711,[9 4] ; [75 15],[10.60194175  2.39805825] ; [73.39805825 16.60194175],0
s6,1,0.226852,1.460492,[6 7] ; [56 32],[7.98019802 5.01980198] ; [54.01980198 33.98019802],0
s5,1,0.228203,1.452024,[ 2 11] ; [27 58],[3.84693878 9.15306122] ; [25.15306122 59.84693878],0
a8,1,0.241738,1.370432,[ 3 11] ; [ 9 77],[ 1.68 12.32] ; [10.32 75.68],0
p8,1,0.280753,1.163442,[5 8] ; [49 41],[6.81553398 6.18446602] ; [47.18446602 42.81553398],0
b1,1,0.283703,1.149265,[9 5] ; [44 46],[7.13461538 6.86538462] ; [45.86538462 44.13461538],0
a6,1,0.296769,1.088655,[10  4] ; [51 39],[8.21153846 5.78846154] ; [52.78846154 37.21153846],0
n2,1,0.322203,0.979985,[2 2] ; [20  7],[2.83870968 1.16129032] ; [19.16129032  7.83870968],0
d3,1,0.332862,0.937732,[10  4] ; [52 38],[8.34615385 5.65384615] ; [53.65384615 36.34615385],0
n1,1,0.350807,0.870536,[3 1] ; [13 13],[2.13333333 1.86666667] ; [13.86666667 12.13333333],0
s8,1,0.371775,0.797724,[ 4 10] ; [37 53],[5.51923077 8.48076923] ; [35.48076923 54.51923077],0
b5,1,0.371775,0.797724,[10  4] ; [53 37],[8.48076923 5.51923077] ; [54.51923077 35.48076923],0
