Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,27.082372,[10 16] ; [82 12],[19.93333333  6.06666667] ; [72.06666667 21.93333333],1
r1,1,0.0,26.570696,[ 6 20] ; [72 21],[17.04201681  8.95798319] ; [60.95798319 32.04201681],1
p11,1,2e-06,22.331935,[ 3 23] ; [60 34],[13.65 12.35] ; [49.35 44.65],1
p2,1,0.000218,13.667284,[ 8 18] ; [65 27],[16.08474576  9.91525424] ; [56.91525424 35.08474576],1
s6,1,0.000283,13.182758,[ 2 24] ; [44 50],[ 9.96666667 16.03333333] ; [36.03333333 57.96666667],1
v2,1,0.000324,12.923402,[ 2 23] ; [42 46],[ 9.73451327 15.26548673] ; [34.26548673 53.73451327],1
a1,1,0.000392,12.568411,[ 7 19] ; [ 4 90],[ 2.38333333 23.61666667] ; [ 8.61666667 85.38333333],1
p4,1,0.000409,12.491314,[ 2 24] ; [42 50],[ 9.69491525 16.30508475] ; [34.30508475 57.69491525],1
d4,1,0.000499,12.120645,[11 15] ; [73 21],[18.2  7.8] ; [65.8 28.2],1
b5,1,0.000587,11.816694,[ 8 18] ; [64 30],[15.6 10.4] ; [56.4 37.6],1
p8,1,0.001852,9.690916,[ 2 23] ; [38 54],[ 8.54700855 16.45299145] ; [31.45299145 60.54700855],0
r2,1,0.003881,8.338465,[16  9] ; [83 11],[20.79831933  4.20168067] ; [78.20168067 15.79831933],0
s2,1,0.004542,8.053457,[ 1 25] ; [29 64],[ 6.55462185 19.44537815] ; [23.44537815 69.55462185],0
d5,1,0.008648,6.894121,[12 14] ; [69 25],[17.55  8.45] ; [63.45 30.55],0
b3,1,0.009087,6.805556,[9 7] ; [12 42],[ 4.8 11.2] ; [16.2 37.8],0
b2,1,0.009087,6.805556,[9 7] ; [12 42],[ 4.8 11.2] ; [16.2 37.8],0
p9,1,0.010207,6.598435,[ 9 16] ; [60 33],[14.61864407 10.38135593] ; [54.38135593 38.61864407],0
d3,1,0.010403,6.564631,[ 8 18] ; [55 38],[13.76470588 12.23529412] ; [49.23529412 43.76470588],0
p10,1,0.01498,5.918842,[ 7 18] ; [51 41],[12.39316239 12.60683761] ; [45.60683761 46.39316239],0
a6,1,0.016264,5.774141,[11 15] ; [64 30],[16.25  9.75] ; [58.75 35.25],0
p7,1,0.017062,5.689981,[ 6 20] ; [44 45],[11.30434783 14.69565217] ; [38.69565217 50.30434783],0
n5,1,0.020458,5.372357,[17  9] ; [37 56],[11.79831933 14.20168067] ; [42.20168067 50.79831933],0
p6,1,0.02768,4.84791,[ 1 25] ; [20 67],[ 4.83185841 21.16814159] ; [16.16814159 70.83185841],0
n3,1,0.029803,4.720608,[5 8] ; [22  8],[8.1627907 4.8372093] ; [18.8372093 11.1627907],0
a7,1,0.030449,4.683748,[12 14] ; [65 29],[16.68333333  9.31666667] ; [60.31666667 33.68333333],0
d1,1,0.037412,4.331568,[ 6 20] ; [43 51],[10.61666667 15.38333333] ; [38.38333333 55.61666667],0
a5,1,0.061105,3.507131,[11 15] ; [59 35],[15.16666667 10.83333333] ; [54.83333333 39.16666667],0
s3,1,0.06857,3.316932,[ 6 19] ; [41 52],[ 9.95762712 15.04237288] ; [37.04237288 55.95762712],0
p3,1,0.071085,3.257789,[ 4 22] ; [31 61],[ 7.71186441 18.28813559] ; [27.28813559 64.71186441],0
u3,1,0.071296,3.252923,[3 8] ; [21 15],[5.61702128 5.38297872] ; [18.38297872 17.61702128],0
b1,1,0.093564,2.811965,[17  9] ; [44 50],[13.21666667 12.78333333] ; [47.78333333 46.21666667],0
n2,1,0.118497,2.437079,[6 7] ; [22  9],[8.27272727 4.72727273] ; [19.72727273 11.27272727],0
u2,1,0.129942,2.293202,[4 7] ; [23 14],[6.1875 4.8125] ; [20.8125 16.1875],0
p1,1,0.141608,2.160393,[ 4 22] ; [ 6 88],[ 2.16666667 23.83333333] ; [ 7.83333333 86.16666667],0
v3,1,0.206056,1.598921,[ 4 22] ; [24 63],[ 6.44247788 19.55752212] ; [21.55752212 65.44247788],0
v1,1,0.279401,1.17,[ 7 19] ; [35 56],[ 9.33333333 16.66666667] ; [32.66666667 58.33333333],0
n1,1,0.307375,1.041923,[6 7] ; [ 9 21],[4.53488372 8.46511628] ; [10.46511628 19.53488372],0
n4,1,0.325856,0.965298,[15 11] ; [44 50],[12.78333333 13.21666667] ; [46.21666667 47.78333333],0
a4,1,0.436641,0.605095,[11 15] ; [32 62],[ 9.31666667 16.68333333] ; [33.68333333 60.31666667],0
a2,1,0.576499,0.311928,[ 3 23] ; [15 79],[ 3.9 22.1] ; [14.1 79.9],0
b4,1,0.600024,0.274959,[14 12] ; [56 38],[15.16666667 10.83333333] ; [54.83333333 39.16666667],0
s4,1,0.635824,0.224246,[ 3 23] ; [ 8 86],[ 2.38333333 23.61666667] ; [ 8.61666667 85.38333333],0
a8,1,0.700515,0.147936,[ 2 24] ; [ 9 79],[ 2.50877193 23.49122807] ; [ 8.49122807 79.50877193],0
s1,1,0.844771,0.038336,[ 2 24] ; [ 6 85],[ 1.77777778 24.22222222] ; [ 6.22222222 84.77777778],0
p5,1,0.849389,0.036061,[ 1 24] ; [ 3 90],[ 0.84745763 24.15254237] ; [ 3.15254237 89.84745763],0
d2,1,0.8628,0.029864,[11 15] ; [38 56],[10.61666667 15.38333333] ; [38.38333333 55.61666667],0
s5,1,0.910315,0.012688,[ 3 23] ; [11 78],[ 3.16521739 22.83478261] ; [10.83478261 78.16521739],0
a3,1,0.953729,0.003367,[15 10] ; [57 37],[15.12605042  9.87394958] ; [56.87394958 37.12605042],0
