Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,38.085613,[48  5] ; [ 6 21],[35.775 17.225] ; [18.225  8.775],1
s7,1,0.000612,11.73781,[31 18] ; [ 6 21],[23.85526316 25.14473684] ; [13.14473684 13.85526316],1
s6,1,0.000771,11.309305,[45  7] ; [14 13],[38.83544304 13.16455696] ; [20.16455696  6.83544304],1
s8,1,0.00171,9.837249,[27 26] ; [ 4 23],[20.5375 32.4625] ; [10.4625 16.5375],0
s5,1,0.002855,8.897735,[29 20] ; [ 6 20],[22.86666667 26.13333333] ; [12.13333333 13.86666667],0
p9,1,0.007058,7.258097,[44  7] ; [16 11],[39.23076923 11.76923077] ; [20.76923077  6.23076923],0
u1,1,0.013856,6.056371,[14 39] ; [ 1 26],[ 9.9375 43.0625] ; [ 5.0625 21.9375],0
a4,1,0.01438,5.990866,[29 24] ; [ 7 20],[23.85 29.15] ; [12.15 14.85],0
r2,1,0.022129,5.235616,[51  1] ; [22  4],[48.66666667  3.33333333] ; [24.33333333  1.66666667],0
v4,1,0.023104,5.160675,[51  2] ; [21  5],[48.30379747  4.69620253] ; [23.69620253  2.30379747],0
r4,1,0.041556,4.153182,[47  6] ; [19  8],[43.725  9.275] ; [22.275  4.725],0
a2,1,0.044457,4.039133,[14 39] ; [ 2 25],[10.6 42.4] ; [ 5.4 21.6],0
r3,1,0.060559,3.522013,[49  4] ; [21  6],[46.375  6.625] ; [23.625  3.375],0
r1,1,0.069176,3.302459,[40 13] ; [15 12],[36.4375 16.5625] ; [18.5625  8.4375],0
d5,1,0.084284,2.980286,[42 10] ; [17 10],[38.83544304 13.16455696] ; [20.16455696  6.83544304],0
a6,1,0.086006,2.947579,[36 17] ; [13 14],[32.4625 20.5375] ; [16.5375 10.4625],0
p4,1,0.092869,2.823918,[24 29] ; [ 7 20],[20.5375 32.4625] ; [10.4625 16.5375],0
a3,1,0.117557,2.449576,[42 11] ; [17 10],[39.0875 13.9125] ; [19.9125  7.0875],0
v1,1,0.126953,2.329373,[23 30] ; [ 7 20],[19.875 33.125] ; [10.125 16.875],0
a5,1,0.13458,2.238861,[40 13] ; [16 11],[37.1 15.9] ; [18.9  8.1],0
a7,1,0.14905,2.081951,[39 13] ; [16 11],[36.20253165 15.79746835] ; [18.79746835  8.20253165],0
b5,1,0.191159,1.708659,[39 14] ; [16 11],[36.4375 16.5625] ; [18.5625  8.4375],0
p10,1,0.210401,1.568663,[38 14] ; [16 11],[35.5443038 16.4556962] ; [18.4556962  8.5443038],0
d1,1,0.237122,1.397624,[29 24] ; [11 16],[26.5 26.5] ; [13.5 13.5],0
d2,1,0.306864,1.044124,[26 27] ; [10 17],[23.85 29.15] ; [12.15 14.85],0
n3,1,0.35322,0.861857,[16  5] ; [6 4],[14.90322581  6.09677419] ; [7.09677419 2.90322581],0
p3,1,0.370229,0.802897,[19 34] ; [ 7 20],[17.225 35.775] ; [ 8.775 18.225],0
n6,1,0.377756,0.777991,[42 11] ; [19  8],[40.4125 12.5875] ; [20.5875  6.4125],0
p6,1,0.407926,0.684836,[12 41] ; [ 4 23],[10.6 42.4] ; [ 5.4 21.6],0
b2,1,0.439734,0.596977,[ 5 21] ; [ 5 12],[ 6.04651163 19.95348837] ; [ 3.95348837 13.04651163],0
b3,1,0.439734,0.596977,[ 5 21] ; [ 5 12],[ 6.04651163 19.95348837] ; [ 3.95348837 13.04651163],0
p2,1,0.455551,0.556805,[34 19] ; [15 12],[32.4625 20.5375] ; [16.5375 10.4625],0
n5,1,0.48056,0.497593,[27 26] ; [16 11],[28.4875 24.5125] ; [14.5125 12.4875],0
n2,1,0.524571,0.404898,[15  6] ; [6 4],[14.22580645  6.77419355] ; [6.77419355 3.22580645],0
u2,1,0.528265,0.397727,[4 7] ; [5 5],[4.71428571 6.28571429] ; [4.28571429 5.71428571],0
u3,1,0.536632,0.381818,[8 3] ; [6 4],[7.33333333 3.66666667] ; [6.66666667 3.33333333],0
v3,1,0.675657,0.175056,[12 41] ; [ 7 19],[12.74683544 40.25316456] ; [ 6.25316456 19.74683544],0
n4,1,0.698567,0.149967,[29 24] ; [16 11],[29.8125 23.1875] ; [15.1875 11.8125],0
n1,1,0.71271,0.135585,[ 5 16] ; [3 7],[ 5.41935484 15.58064516] ; [2.58064516 7.41935484],0
p1,1,0.76164,0.092008,[ 5 48] ; [ 2 25],[ 4.6375 48.3625] ; [ 2.3625 24.6375],0
p7,1,0.772567,0.083532,[21 31] ; [10 17],[20.40506329 31.59493671] ; [10.59493671 16.40506329],0
d3,1,0.799074,0.064793,[38 14] ; [19  8],[37.51898734 14.48101266] ; [19.48101266  7.51898734],0
v2,1,0.825601,0.048553,[24 27] ; [12 15],[23.53846154 27.46153846] ; [12.46153846 14.53846154],0
p11,1,0.943167,0.005082,[29 24] ; [15 12],[29.15 23.85] ; [14.85 12.15],0
b4,1,0.947345,0.004361,[31 22] ; [16 11],[31.1375 21.8625] ; [15.8625 11.1375],0
b1,1,0.95514,0.003164,[18 35] ; [ 9 18],[17.8875 35.1125] ; [ 9.1125 17.8875],0
d4,1,0.966127,0.001803,[41 12] ; [21  6],[41.075 11.925] ; [20.925  6.075],0
a1,1,0.987588,0.000242,[ 2 51] ; [ 1 26],[ 1.9875 51.0125] ; [ 1.0125 25.9875],0
