Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.323579,[40 25] ; [74  5],[51.45833333 13.54166667] ; [62.54166667 16.45833333],1
v4,1,0.000209,13.748204,[42 23] ; [72  8],[51.10344828 13.89655172] ; [62.89655172 17.10344828],1
p7,1,0.000948,10.926261,[18 47] ; [44 36],[27.79310345 37.20689655] ; [34.20689655 45.79310345],1
r4,1,0.000993,10.840546,[35 31] ; [63 17],[44.30136986 21.69863014] ; [53.69863014 26.30136986],1
p11,1,0.004013,8.278011,[23 43] ; [47 33],[31.64383562 34.35616438] ; [38.35616438 41.64383562],0
p8,1,0.004164,8.211006,[10 55] ; [29 50],[17.60416667 47.39583333] ; [21.39583333 57.60416667],0
n3,1,0.009397,6.745696,[13 14] ; [25  6],[17.68965517  9.31034483] ; [20.31034483 10.68965517],0
p9,1,0.011835,6.335495,[12 54] ; [29 49],[18.79166667 47.20833333] ; [22.20833333 55.79166667],0
d3,1,0.01319,6.143453,[26 40] ; [48 32],[33.45205479 32.54794521] ; [40.54794521 39.45205479],0
s1,1,0.013968,6.042191,[ 7 58] ; [ 1 77],[ 3.63636364 61.36363636] ; [ 4.36363636 73.63636364],0
a7,1,0.030126,4.702077,[32 33] ; [53 26],[38.36805556 26.63194444] ; [46.63194444 32.36805556],0
n2,1,0.048506,3.892382,[14 15] ; [22  8],[17.69491525 11.30508475] ; [18.30508475 11.69491525],0
n1,1,0.050182,3.835358,[13 16] ; [ 6 23],[ 9.5 19.5] ; [ 9.5 19.5],0
v2,1,0.054142,3.70833,[18 45] ; [35 44],[23.51408451 39.48591549] ; [29.48591549 49.51408451],0
p4,1,0.054667,3.692211,[16 50] ; [31 48],[21.39310345 44.60689655] ; [25.60689655 53.39310345],0
a1,1,0.056482,3.637785,[ 8 58] ; [ 3 77],[ 4.97260274 61.02739726] ; [ 6.02739726 73.97260274],0
a6,1,0.063815,3.435345,[32 34] ; [51 29],[37.52054795 28.47945205] ; [45.47945205 34.52054795],0
p3,1,0.065429,3.394122,[13 52] ; [27 53],[17.93103448 47.06896552] ; [22.06896552 57.93103448],0
