Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,51.954241,[28 74] ; [53  9],[50.37804878 51.62195122] ; [30.62195122 31.37804878],1
s7,1,0.0,36.070856,[21 76] ; [42 18],[38.92356688 58.07643312] ; [24.07643312 35.92356688],1
s8,1,0.0,26.42032,[19 84] ; [36 27],[34.12650602 68.87349398] ; [20.87349398 42.12650602],1
s6,1,1e-06,24.861614,[41 61] ; [49 12],[56.3190184 45.6809816] ; [33.6809816 27.3190184],1
s5,1,0.000121,14.778599,[14 87] ; [25 37],[24.16564417 76.83435583] ; [14.83435583 47.16564417],1
s4,1,0.000252,13.396718,[ 9 95] ; [19 43],[17.54216867 86.45783133] ; [10.45783133 51.54216867],1
p10,1,0.011933,6.320777,[66 35] ; [51 10],[72.94444444 28.05555556] ; [44.05555556 16.94444444],0
n6,1,0.021995,5.246186,[75 29] ; [55  8],[80.95808383 23.04191617] ; [49.04191617 13.95808383],0
d5,1,0.022227,5.227928,[43 61] ; [37 25],[50.12048193 53.87951807] ; [29.87951807 32.12048193],0
n2,1,0.035268,4.432142,[22 10] ; [17  1],[24.96  7.04] ; [14.04  3.96],0
r3,1,0.065044,3.403867,[85 19] ; [58  5],[89.05389222 14.94610778] ; [53.94610778  9.05389222],0
d1,1,0.138424,2.195389,[  3 101] ; [ 5 58],[ 4.98203593 99.01796407] ; [ 3.01796407 59.98203593],0
b2,1,0.145729,2.116402,[20 40] ; [ 8 32],[16.8 43.2] ; [11.2 28.8],0
b3,1,0.145729,2.116402,[20 40] ; [ 8 32],[16.8 43.2] ; [11.2 28.8],0
p9,1,0.153869,2.033473,[71 29] ; [51 12],[74.84662577 25.15337423] ; [47.15337423 15.84662577],0
u2,1,0.170293,1.880358,[23 29] ; [ 8 20],[20.15 31.85] ; [10.85 17.15],0
p6,1,0.172881,1.857782,[27 75] ; [23 40],[30.90909091 71.09090909] ; [19.09090909 43.90909091],0
p3,1,0.178102,1.813388,[48 56] ; [22 40],[43.85542169 60.14457831] ; [26.14457831 35.85542169],0
a5,1,0.194825,1.680749,[52 52] ; [38 25],[56.04790419 47.95209581] ; [33.95209581 29.04790419],0
p7,1,0.210545,1.567678,[55 47] ; [39 22],[58.82208589 43.17791411] ; [35.17791411 25.82208589],0
r4,1,0.216216,1.529311,[85 19] ; [56  7],[87.80838323 16.19161677] ; [53.19161677  9.80838323],0
a8,1,0.230985,1.434783,[ 8 90] ; [ 8 48],[10.18181818 87.81818182] ; [ 5.81818182 50.18181818],0
s1,1,0.258628,1.276087,[ 4 98] ; [ 5 57],[ 5.59756098 96.40243902] ; [ 3.40243902 58.59756098],0
b5,1,0.265292,1.240931,[62 42] ; [32 31],[58.53892216 45.46107784] ; [35.46107784 27.53892216],0
a1,1,0.278436,1.174709,[ 5 99] ; [ 1 62],[  3.73652695 100.26347305] ; [ 2.26347305 60.73652695],0
n3,1,0.293579,1.103134,[23  7] ; [16  2],[24.375  5.625] ; [14.625  3.375],0
r1,1,0.31561,1.007051,[67 36] ; [45 17],[69.91515152 33.08484848] ; [42.08484848 19.91515152],0
p12,1,0.317353,0.999825,[ 7 96] ; [ 2 61],[ 5.58433735 97.41566265] ; [ 3.41566265 59.58433735],0
v4,1,0.350255,0.872531,[94  9] ; [59  3],[95.50909091  7.49090909] ; [57.49090909  4.50909091],0
a7,1,0.384844,0.75517,[60 44] ; [40 22],[62.65060241 41.34939759] ; [37.34939759 24.65060241],0
v2,1,0.454975,0.558228,[38 59] ; [28 34],[40.26415094 56.73584906] ; [25.73584906 36.26415094],0
n4,1,0.463317,0.537869,[76 28] ; [42 20],[73.92771084 30.07228916] ; [44.07228916 17.92771084],0
p8,1,0.473752,0.513211,[47 53] ; [26 37],[44.78527607 55.21472393] ; [28.21472393 34.78527607],0
a3,1,0.525606,0.40288,[52 51] ; [35 28],[53.98192771 49.01807229] ; [33.01807229 29.98192771],0
d2,1,0.569603,0.323346,[24 80] ; [17 46],[25.53293413 78.46706587] ; [15.46706587 47.53293413],0
p5,1,0.591534,0.287955,[ 9 94] ; [ 7 55],[ 9.98787879 93.01212121] ; [ 6.01212121 55.98787879],0
v3,1,0.616723,0.2505,[32 69] ; [22 40],[33.4601227 67.5398773] ; [20.5398773 41.4601227],0
d3,1,0.633353,0.227541,[28 75] ; [19 43],[29.33939394 73.66060606] ; [17.66060606 44.33939394],0
a4,1,0.675716,0.174989,[23 79] ; [16 47],[24.10909091 77.89090909] ; [14.89090909 48.10909091],0
