Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,120.270715,[104  49] ; [ 32 203],[53.62886598 99.37113402] ; [ 82.37113402 152.62886598],1
s2,1,0.0,70.05667,[111  43] ; [ 67 166],[70.83204134 83.16795866] ; [107.16795866 125.83204134],1
s3,1,0.0,55.473377,[114  37] ; [ 84 146],[78.47244094 72.52755906] ; [119.52755906 110.47244094],1
s6,1,0.0,46.336535,[125  27] ; [110 121],[93.26370757 58.73629243] ; [141.73629243  89.26370757],1
s5,1,2.9e-05,17.502925,[60 88] ; [ 47 181],[ 42.11702128 105.88297872] ; [ 64.88297872 163.11702128],1
u1,1,4.1e-05,16.845165,[ 37 117] ; [ 21 215],[ 22.9025641 131.0974359] ; [ 35.0974359 200.9025641],1
n4,1,0.000211,13.728808,[123  31] ; [146  89],[106.49357326  47.50642674] ; [162.50642674  72.49357326],1
a3,1,0.000326,12.912735,[125  29] ; [151  84],[109.26478149  44.73521851] ; [166.73521851  68.26478149],1
a2,1,0.002871,8.887638,[ 45 109] ; [ 39 197],[ 33.16923077 120.83076923] ; [ 50.83076923 185.16923077],0
p6,1,0.002991,8.812831,[ 49 103] ; [ 44 188],[ 36.8125 115.1875] ; [ 56.1875 175.8125],0
u3,1,0.003638,8.456077,[23  6] ; [40 43],[16.3125 12.6875] ; [46.6875 36.3125],0
r1,1,0.006567,7.387667,[131  22] ; [174  61],[120.27061856  32.72938144] ; [184.72938144  50.27061856],0
n5,1,0.007098,7.24795,[114  38] ; [144  89],[101.85974026  50.14025974] ; [156.14025974  76.85974026],0
d2,1,0.01009,6.619015,[89 65] ; [104 130],[76.60309278 77.39690722] ; [116.39690722 117.60309278],0
a4,1,0.01632,5.768054,[80 74] ; [ 93 142],[68.48843188 85.51156812] ; [104.51156812 130.48843188],0
a5,1,0.019766,5.432465,[117  37] ; [153  83],[106.61538462  47.38461538] ; [163.38461538  72.61538462],0
a8,1,0.020534,5.365874,[ 26 109] ; [ 24 203],[ 18.64640884 116.35359116] ; [ 31.35359116 195.64640884],0
p9,1,0.029053,4.764441,[126  24] ; [173  59],[117.40837696  32.59162304] ; [181.59162304  50.40837696],0
v1,1,0.035598,4.416277,[77 72] ; [ 94 137],[67.05 81.95] ; [103.95 127.05],0
p4,1,0.038235,4.294553,[67 86] ; [ 77 154],[57.375 95.625] ; [ 86.625 144.375],0
s4,1,0.03991,4.221725,[ 31 122] ; [ 29 203],[ 23.84415584 129.15584416] ; [ 36.15584416 195.84415584],0
v2,1,0.044203,4.048783,[88 61] ; [108 115],[78.50537634 70.49462366] ; [117.49462366 105.50537634],0
d1,1,0.05458,3.694881,[108  46] ; [143  93],[99.11282051 54.88717949] ; [151.88717949  84.11282051],0
v3,1,0.063913,3.432809,[58 92] ; [ 66 158],[ 49.73262032 100.26737968] ; [ 74.26737968 149.73262032],0
b3,1,0.075068,3.168568,[46 60] ; [39 83],[39.51754386 66.48245614] ; [45.48245614 76.51754386],0
b2,1,0.075068,3.168568,[46 60] ; [39 83],[39.51754386 66.48245614] ; [45.48245614 76.51754386],0
u2,1,0.088104,2.908684,[20  8] ; [44 39],[16.14414414 11.85585586] ; [47.85585586 35.14414414],0
n6,1,0.105267,2.623878,[126  25] ; [180  55],[119.70466321  31.29533679] ; [186.29533679  48.70466321],0
b5,1,0.123943,2.366771,[92 62] ; [159  77],[99.11282051 54.88717949] ; [151.88717949  84.11282051],0
p10,1,0.135499,2.22834,[119  34] ; [166  68],[112.6744186  40.3255814] ; [172.3255814  61.6744186],0
n1,1,0.136553,2.216376,[19 25] ; [21 50],[15.30434783 28.69565217] ; [24.69565217 46.30434783],0
r2,1,0.137873,2.20154,[142   8] ; [209  22],[138.18897638  11.81102362] ; [212.81102362  18.18897638],0
d5,1,0.140351,2.174105,[134  20] ; [192  44],[128.72820513  25.27179487] ; [197.27179487  38.72820513],0
p7,1,0.149581,2.07652,[75 68] ; [103 127],[68.24128686 74.75871314] ; [109.75871314 120.24128686],0
v4,1,0.177444,1.818899,[143   9] ; [212  23],[139.43152455  12.56847545] ; [215.56847545  19.43152455],0
s1,1,0.182388,1.778062,[  7 145] ; [  5 225],[  4.77486911 147.22513089] ; [  7.22513089 222.77486911],0
d3,1,0.203831,1.614707,[121  33] ; [172  64],[115.6974359  38.3025641] ; [177.3025641  58.6974359],0
p5,1,0.217897,1.518167,[ 10 142] ; [  9 227],[  7.44329897 144.55670103] ; [ 11.55670103 224.44329897],0
