Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.001442,10.151363,[16 24] ; [15 84],[ 8.92086331 31.07913669] ; [22.07913669 76.92086331],0
d5,1,0.010573,6.535728,[33  8] ; [59 43],[26.37762238 14.62237762] ; [65.62237762 36.37762238],0
n5,1,0.01681,5.716062,[22 19] ; [75 26],[28.00704225 12.99295775] ; [68.99295775 32.00704225],0
n3,1,0.019252,5.478456,[11  2] ; [18 20],[7.39215686 5.60784314] ; [21.60784314 16.39215686],0
a3,1,0.020111,5.402191,[30 11] ; [53 49],[23.7972028 17.2027972] ; [59.2027972 42.7972028],0
p7,1,0.024625,5.050078,[27 13] ; [47 54],[20.9929078 19.0070922] ; [53.0070922 47.9929078],0
r1,1,0.040125,4.212575,[29 12] ; [53 49],[23.51048951 17.48951049] ; [58.48951049 43.51048951],0
p1,1,0.060737,3.517133,[ 1 40] ; [13 89],[ 4.01398601 36.98601399] ; [ 9.98601399 92.01398601],0
a5,1,0.069871,3.286059,[30 11] ; [58 44],[25.23076923 15.76923077] ; [62.76923077 39.23076923],0
d4,1,0.074355,3.184175,[31 10] ; [61 41],[26.37762238 14.62237762] ; [65.62237762 36.37762238],0
r4,1,0.080889,3.046947,[33  8] ; [67 35],[28.67132867 12.32867133] ; [71.32867133 30.67132867],0
p5,1,0.103588,2.649417,[ 1 40] ; [11 91],[ 3.44055944 37.55944056] ; [ 8.55944056 93.44055944],0
r2,1,0.103894,2.644725,[36  4] ; [79 22],[32.62411348  7.37588652] ; [82.37588652 18.62411348],0
p4,1,0.114415,2.49215,[22 17] ; [42 59],[17.82857143 21.17142857] ; [46.17142857 54.82857143],0
r3,1,0.127405,2.323838,[36  5] ; [78 24],[32.68531469  8.31468531] ; [81.31468531 20.68531469],0
n2,1,0.159969,1.974517,[11  3] ; [23 17],[8.81481481 5.18518519] ; [25.18518519 14.81481481],0
p8,1,0.164578,1.931646,[20 20] ; [38 64],[16.33802817 23.66197183] ; [41.66197183 60.33802817],0
