Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.014368,5.992415,[ 5 33] ; [11 17],[ 9.21212121 28.78787879] ; [ 6.78787879 21.21212121],0
a5,1,0.037719,4.317643,[17 22] ; [20  9],[21.22058824 17.77941176] ; [15.77941176 13.22058824],0
n3,1,0.041794,4.143521,[11  5] ; [4 9],[8.27586207 7.72413793] ; [6.72413793 6.27586207],0
r3,1,0.044933,4.021136,[29 10] ; [27  2],[32.11764706  6.88235294] ; [23.88235294  5.11764706],0
s6,1,0.054792,3.688417,[14 24] ; [17 11],[17.84848485 20.15151515] ; [13.15151515 14.84848485],0
p8,1,0.074253,3.186409,[ 7 31] ; [11 18],[10.20895522 27.79104478] ; [ 7.79104478 21.20895522],0
b5,1,0.098145,2.735429,[29 10] ; [16 13],[25.80882353 13.19117647] ; [19.19117647  9.80882353],0
s7,1,0.10222,2.670556,[ 5 29] ; [ 9 19],[ 7.67741935 26.32258065] ; [ 6.32258065 21.67741935],0
p4,1,0.113833,2.50019,[10 28] ; [13 16],[13.04477612 24.95522388] ; [ 9.95522388 19.04477612],0
s5,1,0.127074,2.327887,[ 7 30] ; [10 18],[ 9.67692308 27.32307692] ; [ 7.32307692 20.67692308],0
p10,1,0.155174,2.020637,[15 23] ; [16 12],[17.84848485 20.15151515] ; [13.15151515 14.84848485],0
v1,1,0.156026,2.012325,[11 28] ; [13 16],[13.76470588 25.23529412] ; [10.23529412 18.76470588],0
r1,1,0.16764,1.90392,[19 20] ; [19 10],[21.79411765 17.20588235] ; [16.20588235 12.79411765],0
b1,1,0.16764,1.90392,[20 19] ; [10 19],[17.20588235 21.79411765] ; [12.79411765 16.20588235],0
p3,1,0.190384,1.714641,[ 6 33] ; [ 8 20],[ 8.14925373 30.85074627] ; [ 5.85074627 22.14925373],0
s4,1,0.208347,1.582874,[ 7 32] ; [ 9 20],[ 9.17647059 29.82352941] ; [ 6.82352941 22.17647059],0
s3,1,0.212956,1.551215,[13 26] ; [14 15],[15.48529412 23.51470588] ; [11.51470588 17.48529412],0
b3,1,0.249047,1.328644,[ 5 19] ; [5 8],[ 6.48648649 17.51351351] ; [3.51351351 9.48648649],0
b2,1,0.249047,1.328644,[ 5 19] ; [5 8],[ 6.48648649 17.51351351] ; [3.51351351 9.48648649],0
s1,1,0.282635,1.154377,[ 6 33] ; [ 2 27],[ 4.58823529 34.41176471] ; [ 3.41176471 25.58823529],0
a2,1,0.282635,1.154377,[ 6 33] ; [ 2 27],[ 4.58823529 34.41176471] ; [ 3.41176471 25.58823529],0
d5,1,0.299249,1.077538,[25 14] ; [22  7],[26.95588235 12.04411765] ; [20.04411765  8.95588235],0
a7,1,0.309008,1.03491,[18 21] ; [17 12],[20.07352941 18.92647059] ; [14.92647059 14.07352941],0
p6,1,0.326283,0.963593,[ 6 33] ; [ 7 21],[ 7.56716418 31.43283582] ; [ 5.43283582 22.56716418],0
r2,1,0.335622,0.927084,[30  9] ; [25  4],[31.54411765  7.45588235] ; [23.45588235  5.54411765],0
d3,1,0.344579,0.89332,[17 22] ; [16 13],[18.92647059 20.07352941] ; [14.07352941 14.92647059],0
b4,1,0.375621,0.784985,[20 19] ; [18 11],[21.79411765 17.20588235] ; [16.20588235 12.79411765],0
s8,1,0.391897,0.733047,[ 6 32] ; [ 7 22],[ 7.37313433 30.62686567] ; [ 5.62686567 23.37313433],0
u2,1,0.420113,0.65,[9 7] ; [4 6],[8. 8.] ; [5. 5.],0
p11,1,0.456671,0.55404,[14 25] ; [13 16],[15.48529412 23.51470588] ; [11.51470588 17.48529412],0
d1,1,0.456671,0.55404,[14 25] ; [13 16],[15.48529412 23.51470588] ; [11.51470588 17.48529412],0
a1,1,0.461971,0.541114,[ 3 36] ; [ 1 28],[ 2.29411765 36.70588235] ; [ 1.70588235 27.29411765],0
d4,1,0.479047,0.501032,[28 11] ; [23  6],[29.25  9.75] ; [21.75  7.25],0
n2,1,0.490644,0.475113,[10  6] ; [7 7],[9.06666667 6.93333333] ; [7.93333333 6.06666667],0
a6,1,0.506282,0.441743,[17 22] ; [15 14],[18.35294118 20.64705882] ; [13.64705882 15.35294118],0
