Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,5e-06,20.77538,[44 19] ; [20 47],[31.01538462 31.98461538] ; [32.98461538 34.01538462],1
d5,1,0.000379,12.634983,[49 15] ; [31 36],[39.08396947 24.91603053] ; [40.91603053 26.08396947],1
a6,1,0.004027,8.27177,[39 25] ; [24 43],[30.77862595 33.22137405] ; [32.22137405 34.77862595],0
d4,1,0.005534,7.696044,[50 14] ; [37 30],[42.50381679 21.49618321] ; [44.49618321 22.50381679],0
a2,1,0.006572,7.38628,[11 53] ; [ 2 65],[ 6.35114504 57.64885496] ; [ 6.64885496 60.35114504],0
n5,1,0.015512,5.857416,[30 31] ; [47 20],[36.6953125 24.3046875] ; [40.3046875 26.6953125],0
d1,1,0.017504,5.645102,[30 34] ; [18 49],[23.45038168 40.54961832] ; [24.54961832 42.45038168],0
u1,1,0.024029,5.092505,[ 7 57] ; [ 1 66],[ 3.90839695 60.09160305] ; [ 4.09160305 62.90839695],0
b1,1,0.029524,4.73677,[27 37] ; [41 26],[33.22137405 30.77862595] ; [34.77862595 32.22137405],0
r3,1,0.033449,4.522626,[42 20] ; [33 34],[36.04651163 25.95348837] ; [38.95348837 28.04651163],0
v2,1,0.037935,4.307935,[30 33] ; [19 45],[24.30708661 38.69291339] ; [24.69291339 39.30708661],0
a5,1,0.065512,3.392032,[38 26] ; [29 38],[32.73282443 31.26717557] ; [34.26717557 32.73282443],0
n4,1,0.101023,2.689322,[33 31] ; [44 23],[37.61832061 26.38167939] ; [39.38167939 27.61832061],0
a8,1,0.125431,2.348156,[ 6 55] ; [ 2 62],[ 3.904 57.096] ; [ 4.096 59.904],0
p10,1,0.12961,2.297165,[36 26] ; [29 36],[31.73228346 30.26771654] ; [33.26771654 31.73228346],0
u2,1,0.140796,2.169243,[12 11] ; [10 21],[ 9.37037037 13.62962963] ; [12.62962963 18.37037037],0
b5,1,0.182841,1.774383,[38 26] ; [32 35],[34.19847328 29.80152672] ; [35.80152672 31.19847328],0
u3,1,0.226985,1.459658,[ 9 15] ; [ 7 24],[ 6.98181818 17.01818182] ; [ 9.01818182 21.98181818],0
s6,1,0.238668,1.388442,[27 36] ; [22 45],[23.74615385 39.25384615] ; [25.25384615 41.74615385],0
n6,1,0.305362,1.050629,[32 30] ; [40 26],[34.875 27.125] ; [37.125 28.875],0
r1,1,0.313675,1.015139,[19 44] ; [15 52],[16.47692308 46.52307692] ; [17.52307692 49.47692308],0
v3,1,0.322454,0.978968,[16 48] ; [12 55],[13.67938931 50.32061069] ; [14.32061069 52.67938931],0
n1,1,0.348862,0.877591,[ 7 20] ; [13 22],[ 8.70967742 18.29032258] ; [11.29032258 23.70967742],0
v4,1,0.354928,0.855758,[40 21] ; [38 28],[37.46456693 23.53543307] ; [40.53543307 25.46456693],0
p9,1,0.359427,0.839894,[37 25] ; [33 31],[34.44444444 27.55555556] ; [35.55555556 28.44444444],0
a3,1,0.397035,0.717287,[39 24] ; [36 30],[36.62790698 26.37209302] ; [38.37209302 27.62790698],0
s7,1,0.397174,0.716865,[17 43] ; [22 40],[19.18032787 40.81967213] ; [19.81967213 42.18032787],0
b4,1,0.417124,0.658404,[37 27] ; [34 33],[34.6870229 29.3129771] ; [36.3129771 30.6870229],0
d2,1,0.442154,0.590686,[22 42] ; [27 39],[24.12307692 39.87692308] ; [24.87692308 41.12307692],0
p6,1,0.449621,0.571608,[14 49] ; [11 54],[12.3046875 50.6953125] ; [12.6953125 52.3046875],0
p8,1,0.449996,0.570663,[19 44] ; [16 50],[17.09302326 45.90697674] ; [17.90697674 48.09302326],0
s5,1,0.474072,0.512469,[11 50] ; [ 9 58],[ 9.53125 51.46875] ; [10.46875 56.53125],0
n2,1,0.492383,0.471316,[17 10] ; [19 16],[15.67741935 11.32258065] ; [20.32258065 14.67741935],0
p4,1,0.496786,0.461795,[20 44] ; [24 41],[21.82945736 42.17054264] ; [22.17054264 42.82945736],0
s1,1,0.507287,0.439658,[ 3 61] ; [ 5 62],[ 3.90839695 60.09160305] ; [ 4.09160305 62.90839695],0
n3,1,0.50969,0.434704,[15 12] ; [16 18],[13.72131148 13.27868852] ; [17.27868852 16.72131148],0
s4,1,0.569566,0.323409,[14 50] ; [12 55],[12.70229008 51.29770992] ; [13.29770992 53.70229008],0
p2,1,0.572671,0.318234,[39 25] ; [37 29],[37.41538462 26.58461538] ; [38.58461538 27.41538462],0
a4,1,0.61966,0.246345,[22 42] ; [20 46],[20.67692308 43.32307692] ; [21.32307692 44.67692308],0
b3,1,0.642637,0.21531,[ 9 22] ; [16 31],[ 9.93589744 21.06410256] ; [15.06410256 31.93589744],0
b2,1,0.642637,0.21531,[ 9 22] ; [16 31],[ 9.93589744 21.06410256] ; [15.06410256 31.93589744],0
r2,1,0.661611,0.191572,[34 24] ; [35 29],[32.80327869 25.19672131] ; [36.19672131 27.80327869],0
a1,1,0.704445,0.143889,[ 7 57] ; [ 6 61],[ 6.35114504 57.64885496] ; [ 6.64885496 60.35114504],0
s2,1,0.754471,0.097812,[20 43] ; [23 44],[20.83846154 42.16153846] ; [22.16153846 44.83846154],0
s8,1,0.758264,0.094717,[12 52] ; [14 53],[12.70229008 51.29770992] ; [13.29770992 53.70229008],0
s3,1,0.781071,0.077241,[22 39] ; [25 40],[22.75396825 38.24603175] ; [24.24603175 40.75396825],0
p7,1,0.784088,0.075073,[24 38] ; [24 42],[23.25 38.75] ; [24.75 41.25],0
v1,1,0.849192,0.036157,[20 42] ; [22 43],[20.50393701 41.49606299] ; [21.49606299 43.50393701],0
p11,1,0.931948,0.007292,[32 32] ; [33 34],[31.75572519 32.24427481] ; [33.24427481 33.75572519],0
p1,1,0.939919,0.005681,[ 5 59] ; [ 5 62],[ 4.88549618 59.11450382] ; [ 5.11450382 61.88549618],0
p3,1,0.96256,0.002203,[16 47] ; [17 49],[16.11627907 46.88372093] ; [16.88372093 49.11627907],0
p12,1,0.982505,0.000481,[ 1 63] ; [ 1 65],[ 0.98461538 63.01538462] ; [ 1.01538462 64.98461538],0
