Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,9e-06,19.812046,[111  30] ; [22 27],[98.7 42.3] ; [34.3 14.7],1
a2,1,0.000789,11.266614,[42 99] ; [ 3 46],[ 33.39473684 107.60526316] ; [11.60526316 37.39473684],1
d3,1,0.003315,8.625241,[104  37] ; [25 24],[95.73157895 45.26842105] ; [33.26842105 15.73157895],0
s1,1,0.005168,7.819728,[  1 139] ; [ 4 45],[  3.7037037 136.2962963] ; [ 1.2962963 47.7037037],0
s4,1,0.011015,6.462842,[ 10 127] ; [10 39],[ 14.7311828 122.2688172] ; [ 5.2688172 43.7311828],0
u1,1,0.012574,6.228106,[ 31 110] ; [ 3 46],[ 25.23157895 115.76842105] ; [ 8.76842105 40.23157895],0
v4,1,0.015306,5.880922,[138   3] ; [44  5],[135.06315789   5.93684211] ; [46.93684211  2.06315789],0
s5,1,0.024484,5.06004,[ 36 103] ; [20 26],[42.07567568 96.92432432] ; [13.92432432 32.07567568],0
v1,1,0.029902,4.714899,[94 47] ; [23 24],[87.75 53.25] ; [29.25 17.75],0
b5,1,0.071367,3.251293,[87 54] ; [23 26],[81.63157895 59.36842105] ; [28.36842105 20.63157895],0
r2,1,0.077162,3.123692,[133   7] ; [42  6],[130.31914894   9.68085106] ; [44.68085106  3.31914894],0
p2,1,0.104458,2.63613,[123  18] ; [38 11],[119.47894737  21.52105263] ; [41.52105263  7.47894737],0
p7,1,0.12115,2.40239,[109  30] ; [33 16],[104.9893617  34.0106383] ; [37.0106383 11.9893617],0
s8,1,0.127499,2.322691,[40 98] ; [20 29],[44.27807487 93.72192513] ; [15.72192513 33.27807487],0
n6,1,0.186587,1.744361,[118  22] ; [45  4],[120.74074074  19.25925926] ; [42.25925926  6.74074074],0
p10,1,0.207881,1.586124,[119  21] ; [37 11],[116.17021277  23.82978723] ; [39.82978723  8.17021277],0
n2,1,0.22133,1.495726,[20  5] ; [6 4],[18.57142857  6.42857143] ; [7.42857143 2.57142857],0
r4,1,0.245713,1.347518,[129  12] ; [42  7],[126.9  14.1] ; [44.1  4.9],0
p4,1,0.248723,1.330463,[112  29] ; [35 14],[109.08947368  31.91052632] ; [37.91052632 11.08947368],0
r1,1,0.274898,1.192141,[114  27] ; [36 13],[111.31578947  29.68421053] ; [38.68421053 10.31578947],0
r3,1,0.279222,1.170875,[133   8] ; [44  5],[131.35263158   9.64736842] ; [45.64736842  3.35263158],0
b1,1,0.288531,1.126466,[54 87] ; [23 26],[57.14210526 83.85789474] ; [19.85789474 29.14210526],0
p9,1,0.315088,1.009228,[122  18] ; [39  9],[119.89361702  20.10638298] ; [41.10638298  6.89361702],0
p6,1,0.323418,0.975074,[66 72] ; [19 29],[63.06451613 74.93548387] ; [21.93548387 26.06451613],0
p8,1,0.327899,0.957177,[92 47] ; [28 20],[89.19786096 49.80213904] ; [30.80213904 17.19786096],0
a4,1,0.348937,0.877318,[68 72] ; [20 29],[65.18518519 74.81481481] ; [22.81481481 26.18518519],0
a8,1,0.355336,0.85431,[16 98] ; [ 4 42],[14.25 99.75] ; [ 5.75 40.25],0
v2,1,0.386183,0.750926,[88 51] ; [27 21],[85.48128342 53.51871658] ; [29.51871658 18.48128342],0
d2,1,0.417667,0.656869,[61 80] ; [24 24],[63.41269841 77.58730159] ; [21.58730159 26.41269841],0
d4,1,0.42522,0.635843,[114  27] ; [37 12],[112.05789474  28.94210526] ; [38.94210526 10.05789474],0
d1,1,0.435216,0.608862,[81 60] ; [25 24],[78.66315789 62.33684211] ; [27.33684211 21.66315789],0
d5,1,0.438759,0.599525,[119  22] ; [39 10],[117.25263158  23.74736842] ; [40.74736842  8.25263158],0
p12,1,0.472794,0.515439,[ 10 131] ; [ 2 46],[  8.95238095 132.04761905] ; [ 3.04761905 44.95238095],0
n1,1,0.477748,0.504,[ 8 17] ; [2 8],[ 7.14285714 17.85714286] ; [2.85714286 7.14285714],0
n3,1,0.524471,0.405093,[20  5] ; [7 3],[19.28571429  5.71428571] ; [7.71428571 2.28571429],0
u3,1,0.540843,0.373979,[24 19] ; [7 8],[22.98275862 20.01724138] ; [8.01724138 6.98275862],0
s6,1,0.559337,0.340853,[68 70] ; [26 22],[69.74193548 68.25806452] ; [24.25806452 23.74193548],0
a5,1,0.59634,0.280552,[107  34] ; [39 10],[108.34736842  32.65263158] ; [37.65263158 11.34736842],0
v3,1,0.61769,0.249127,[59 80] ; [18 29],[57.54301075 81.45698925] ; [19.45698925 27.54301075],0
s7,1,0.636184,0.223767,[45 81] ; [19 29],[46.34482759 79.65517241] ; [17.65517241 30.34482759],0
b2,1,0.647702,0.20881,[34 49] ; [12 21],[32.9137931 50.0862069] ; [13.0862069 19.9137931],0
b3,1,0.647702,0.20881,[34 49] ; [12 21],[32.9137931 50.0862069] ; [13.0862069 19.9137931],0
b4,1,0.784435,0.074827,[78 63] ; [26 23],[77.17894737 63.82105263] ; [26.82105263 22.17894737],0
p1,1,0.839397,0.041073,[ 13 128] ; [ 5 44],[ 13.35789474 127.64210526] ; [ 4.64210526 44.35789474],0
u2,1,0.884828,0.020982,[21 22] ; [7 8],[20.75862069 22.24137931] ; [7.24137931 7.75862069],0
