Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.003415,8.571429,[ 3 11] ; [12  4],[7. 7.] ; [8. 8.],0
p8,1,0.00622,7.485552,[ 1 12] ; [9 7],[4.48275862 8.51724138] ; [ 5.51724138 10.48275862],0
p4,1,0.007161,7.232143,[ 2 12] ; [10  6],[5.6 8.4] ; [6.4 9.6],0
p9,1,0.018191,5.577627,[5 8] ; [13  3],[8.06896552 4.93103448] ; [9.93103448 6.06896552],0
p7,1,0.041794,4.143521,[5 9] ; [11  4],[7.72413793 6.27586207] ; [8.27586207 6.72413793],0
d4,1,0.044136,4.051339,[9 5] ; [15  1],[11.2  2.8] ; [12.8  3.2],0
v4,1,0.082142,3.021995,[9 4] ; [15  1],[10.75862069  2.24137931] ; [13.24137931  2.75862069],0
s7,1,0.096104,2.769034,[5 7] ; [11  4],[7.11111111 4.88888889] ; [8.88888889 6.11111111],0
r3,1,0.101707,2.678571,[10  4] ; [15  1],[11.66666667  2.33333333] ; [13.33333333  2.66666667],0
a4,1,0.105209,2.624744,[ 3 11] ; [8 8],[5.13333333 8.86666667] ; [ 5.86666667 10.13333333],0
n1,1,0.118991,2.430556,[2 6] ; [4 2],[3.42857143 4.57142857] ; [2.57142857 3.42857143],0
r4,1,0.15631,2.009569,[7 7] ; [12  4],[8.86666667 5.13333333] ; [10.13333333  5.86666667],0
s5,1,0.168201,1.898901,[4 9] ; [8 6],[5.77777778 7.22222222] ; [6.22222222 7.77777778],0
p10,1,0.21918,1.509733,[6 7] ; [11  5],[7.62068966 5.37931034] ; [9.37931034 6.62068966],0
b5,1,0.281979,1.157526,[6 8] ; [10  6],[7.46666667 6.53333333] ; [8.53333333 7.46666667],0
d5,1,0.294525,1.098823,[9 5] ; [13  3],[10.26666667  3.73333333] ; [11.73333333  4.26666667],0
n3,1,0.333998,0.933333,[6 2] ; [3 3],[5.14285714 2.85714286] ; [3.85714286 2.14285714],0
b2,1,0.405187,0.692877,[2 7] ; [4 6],[2.84210526 6.15789474] ; [3.15789474 6.84210526],0
b3,1,0.405187,0.692877,[2 7] ; [4 6],[2.84210526 6.15789474] ; [3.15789474 6.84210526],0
s8,1,0.430841,0.620556,[5 9] ; [8 8],[6.06666667 7.93333333] ; [6.93333333 9.06666667],0
b1,1,0.464214,0.535714,[6 8] ; [9 7],[7. 7.] ; [8. 8.],0
p11,1,0.464214,0.535714,[6 8] ; [9 7],[7. 7.] ; [8. 8.],0
a7,1,0.464214,0.535714,[6 8] ; [9 7],[7. 7.] ; [8. 8.],0
a3,1,0.490644,0.475113,[7 7] ; [10  6],[7.93333333 6.06666667] ; [9.06666667 6.93333333],0
a6,1,0.490644,0.475113,[7 7] ; [10  6],[7.93333333 6.06666667] ; [9.06666667 6.93333333],0
s2,1,0.51043,0.433185,[8 6] ; [11  5],[8.86666667 5.13333333] ; [10.13333333  5.86666667],0
v2,1,0.517613,0.418647,[ 4 10] ; [6 9],[4.82758621 9.17241379] ; [5.17241379 9.82758621],0
d3,1,0.522903,0.408163,[9 5] ; [12  4],[9.8 4.2] ; [11.2  4.8],0
p2,1,0.525741,0.402618,[10  4] ; [13  3],[10.73333333  3.26666667] ; [12.26666667  3.73333333],0
v1,1,0.604773,0.267857,[ 4 10] ; [ 6 10],[4.66666667 9.33333333] ; [ 5.33333333 10.66666667],0
n5,1,0.604773,0.267857,[ 4 10] ; [ 6 10],[4.66666667 9.33333333] ; [ 5.33333333 10.66666667],0
u3,1,0.611541,0.257937,[5 2] ; [5 1],[5.38461538 1.61538462] ; [4.61538462 1.38461538],0
u2,1,0.611541,0.257937,[5 2] ; [5 1],[5.38461538 1.61538462] ; [4.61538462 1.38461538],0
p1,1,0.625585,0.238095,[ 1 13] ; [ 2 14],[ 1.4 12.6] ; [ 1.6 14.4],0
a5,1,0.654001,0.200893,[5 9] ; [7 9],[5.6 8.4] ; [6.4 9.6],0
s6,1,0.684498,0.165106,[8 5] ; [11  5],[8.51724138 4.48275862] ; [10.48275862  5.51724138],0
d1,1,0.695627,0.153061,[6 8] ; [8 8],[6.53333333 7.46666667] ; [7.46666667 8.53333333],0
r1,1,0.732105,0.117188,[7 7] ; [9 7],[7.46666667 6.53333333] ; [8.53333333 7.46666667],0
n4,1,0.732105,0.117188,[7 7] ; [7 9],[6.53333333 7.46666667] ; [7.46666667 8.53333333],0
r2,1,0.774826,0.081835,[10  3] ; [13  3],[10.31034483  2.68965517] ; [12.68965517  3.31034483],0
s3,1,0.825339,0.048701,[10  4] ; [12  4],[10.26666667  3.73333333] ; [11.73333333  4.26666667],0
v3,1,0.924393,0.009006,[ 3 11] ; [ 3 12],[ 2.89655172 11.10344828] ; [ 3.10344828 11.89655172],0
d2,1,0.960732,0.002424,[6 8] ; [7 9],[6.06666667 7.93333333] ; [6.93333333 9.06666667],0
b4,1,1.0,0.0,[7 7] ; [8 8],[7. 7.] ; [8. 8.],0
