Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.006135,7.510245,[ 3 26] ; [10 13],[ 7.25 21.75] ; [ 5.75 17.25],0
b3,1,0.006135,7.510245,[ 3 26] ; [10 13],[ 7.25 21.75] ; [ 5.75 17.25],0
d4,1,0.006301,7.462122,[43 14] ; [42  2],[47.97029703  9.02970297] ; [37.02970297  6.97029703],0
p9,1,0.041918,4.138514,[38 18] ; [36  6],[42.28571429 13.71428571] ; [31.71428571 10.28571429],0
b4,1,0.049736,3.850351,[32 25] ; [33 11],[36.68316832 20.31683168] ; [28.31683168 15.68316832],0
v1,1,0.070711,3.266445,[19 35] ; [23 20],[23.3814433 30.6185567] ; [18.6185567 24.3814433],0
p6,1,0.070733,3.265917,[13 44] ; [17 26],[17.1 39.9] ; [12.9 30.1],0
p3,1,0.072702,3.220948,[19 38] ; [22 21],[23.37 33.63] ; [17.63 25.37],0
n4,1,0.073258,3.208459,[24 33] ; [11 33],[19.75247525 37.24752475] ; [15.24752475 28.75247525],0
n3,1,0.095045,2.786786,[13  2] ; [7 5],[11.11111111  3.88888889] ; [8.88888889 3.11111111],0
d5,1,0.109042,2.568047,[41 15] ; [38  6],[44.24 11.76] ; [34.76  9.24],0
s1,1,0.123276,2.375201,[ 2 55] ; [ 5 39],[ 3.95049505 53.04950495] ; [ 3.04950495 40.95049505],0
p10,1,0.146199,2.111467,[38 18] ; [34  8],[41.14285714 14.85714286] ; [30.85714286 11.14285714],0
v4,1,0.179002,1.805892,[52  5] ; [42  1],[53.58  3.42] ; [40.42  2.58],0
a8,1,0.187228,1.739299,[ 5 48] ; [ 1 38],[ 3.45652174 49.54347826] ; [ 2.54347826 36.45652174],0
p12,1,0.227143,1.458661,[ 2 55] ; [ 4 39],[ 3.42 53.58] ; [ 2.58 40.42],0
a6,1,0.23012,1.440118,[39 18] ; [25 19],[36.11881188 20.88118812] ; [27.88118812 16.11881188],0
p1,1,0.230777,1.436064,[ 3 54] ; [ 5 37],[ 4.60606061 52.39393939] ; [ 3.39393939 38.60606061],0
s6,1,0.242266,1.367357,[44 13] ; [38  6],[46.27722772 10.72277228] ; [35.72277228  8.27722772],0
r1,1,0.243576,1.359779,[42 15] ; [27 16],[39.33 17.67] ; [29.67 13.33],0
a1,1,0.260315,1.267079,[ 3 54] ; [ 5 39],[ 4.51485149 52.48514851] ; [ 3.48514851 40.51485149],0
s7,1,0.260512,1.266037,[24 30] ; [23 18],[26.71578947 27.28421053] ; [20.28421053 20.71578947],0
s4,1,0.2616,1.260268,[16 41] ; [17 27],[18.62376238 38.37623762] ; [14.37623762 29.62376238],0
p8,1,0.307,1.043537,[20 37] ; [19 23],[22.45454545 34.54545455] ; [16.54545455 25.45454545],0
a4,1,0.331676,0.942344,[18 39] ; [18 26],[20.31683168 36.68316832] ; [15.68316832 28.31683168],0
s3,1,0.376355,0.782573,[48  9] ; [34 10],[46.27722772 10.72277228] ; [35.72277228  8.27722772],0
r4,1,0.386473,0.750011,[47 10] ; [39  5],[48.53465347  8.46534653] ; [37.46534653  6.53465347],0
a5,1,0.402562,0.700659,[37 20] ; [32 12],[38.94059406 18.05940594] ; [30.05940594 13.94059406],0
b1,1,0.48066,0.497366,[22 35] ; [14 30],[20.31683168 36.68316832] ; [15.68316832 28.31683168],0
b5,1,0.488068,0.480783,[35 22] ; [24 20],[33.2970297 23.7029703] ; [25.7029703 18.2970297],0
n6,1,0.489712,0.47716,[36 21] ; [30 13],[37.62 19.38] ; [28.38 14.62],0
a2,1,0.516881,0.420112,[10 47] ; [10 34],[11.28712871 45.71287129] ; [ 8.71287129 35.28712871],0
d1,1,0.552831,0.352269,[29 28] ; [25 19],[30.47524752 26.52475248] ; [23.52475248 20.47524752],0
u2,1,0.603761,0.26936,[14  8] ; [10  8],[13.2  8.8] ; [10.8  7.2],0
v2,1,0.612271,0.256882,[24 27] ; [23 21],[25.23157895 25.76842105] ; [21.76842105 22.23157895],0
p7,1,0.616814,0.250371,[31 24] ; [21 20],[29.79166667 25.20833333] ; [22.20833333 18.79166667],0
n1,1,0.65591,0.198529,[ 5 10] ; [5 7],[5.55555556 9.44444444] ; [4.44444444 7.55555556],0
u3,1,0.677318,0.17316,[16  6] ; [12  6],[15.4  6.6] ; [12.6  5.4],0
p11,1,0.683199,0.166547,[34 23] ; [28 16],[34.99009901 22.00990099] ; [27.00990099 16.99009901],0
r2,1,0.699393,0.149104,[51  5] ; [41  3],[51.52  4.48] ; [40.48  3.52],0
u1,1,0.710534,0.137744,[10 47] ; [ 9 35],[10.72277228 46.27722772] ; [ 8.27722772 35.72277228],0
d3,1,0.735804,0.113849,[39 17] ; [32 12],[39.76 16.24] ; [31.24 12.76],0
s8,1,0.793024,0.068847,[27 30] ; [22 22],[27.65346535 29.34653465] ; [21.34653465 22.65346535],0
v3,1,0.882716,0.021764,[15 37] ; [13 30],[15.32631579 36.67368421] ; [12.67368421 30.32631579],0
p4,1,0.884278,0.021184,[30 27] ; [22 21],[29.64 27.36] ; [22.36 20.64],0
a7,1,0.885835,0.020614,[40 16] ; [32 12],[40.32 15.68] ; [31.68 12.32],0
a3,1,0.903739,0.014626,[33 24] ; [26 18],[33.2970297 23.7029703] ; [25.7029703 18.2970297],0
n2,1,0.921775,0.009643,[11  4] ; [9 3],[11.11111111  3.88888889] ; [8.88888889 3.11111111],0
d2,1,0.945689,0.00464,[25 32] ; [19 25],[24.83168317 32.16831683] ; [19.16831683 24.83168317],0
p2,1,0.988827,0.000196,[42 15] ; [31 11],[42.03030303 14.96969697] ; [30.96969697 11.03030303],0
