Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,30.624275,[170   9] ; [63 26],[155.62313433  23.37686567] ; [77.37686567 11.62313433],1
v4,1,1e-06,24.891908,[173   8] ; [67 22],[160.88888889  20.11111111] ; [79.11111111  9.88888889],1
p11,1,5e-06,20.88131,[145  37] ; [47 42],[128.94464945  53.05535055] ; [63.05535055 25.94464945],1
p7,1,6e-06,20.635527,[98 75] ; [23 63],[80.82239382 92.17760618] ; [40.17760618 45.82239382],1
p10,1,6e-06,20.617782,[145  34] ; [48 40],[129.38951311  49.61048689] ; [63.61048689 24.38951311],1
p9,1,1.2e-05,19.208055,[147  28] ; [51 35],[132.75862069  42.24137931] ; [65.24137931 20.75862069],1
r4,1,1.7e-05,18.452372,[159  23] ; [58 31],[145.73431734  36.26568266] ; [71.26568266 17.73431734],1
p8,1,7.8e-05,15.604229,[ 69 105] ; [14 75],[ 54.91254753 119.08745247] ; [28.08745247 60.91254753],1
a1,1,0.000214,13.70251,[  4 178] ; [12 77],[ 10.74538745 171.25461255] ; [ 5.25461255 83.74538745],1
d5,1,0.000619,11.717998,[142  40] ; [51 37],[130.0962963  51.9037037] ; [62.9037037 25.0962963],1
s1,1,0.00136,10.258719,[  2 175] ; [ 8 80],[  6.67924528 170.32075472] ; [ 3.32075472 84.67924528],0
r2,1,0.005061,7.857506,[171  10] ; [74 14],[164.85130112  16.14869888] ; [80.14869888  7.85130112],0
b1,1,0.005538,7.694659,[ 64 118] ; [47 42],[ 74.54612546 107.45387454] ; [36.45387454 52.54612546],0
n6,1,0.008383,6.949743,[156  25] ; [65 24],[148.15185185  32.84814815] ; [72.84814815 16.15185185],0
r1,1,0.010816,6.495347,[138  42] ; [55 34],[129.14498141  50.85501859] ; [63.85501859 25.14498141],0
v1,1,0.013327,6.125157,[87 88] ; [30 59],[77.55681818 97.44318182] ; [39.44318182 49.55681818],0
p1,1,0.014105,6.024922,[  9 172] ; [12 77],[ 14.07777778 166.92222222] ; [ 6.92222222 82.07777778],0
v2,1,0.02484,5.035033,[89 81] ; [31 52],[80.63241107 89.36758893] ; [39.36758893 43.63241107],0
d4,1,0.025046,5.020715,[138  42] ; [56 32],[130.29850746  49.70149254] ; [63.70149254 24.29850746],0
s2,1,0.026512,4.922332,[85 95] ; [29 59],[ 76.56716418 103.43283582] ; [37.43283582 50.56716418],0
n3,1,0.043167,4.088867,[39 14] ; [19 17],[34.53932584 18.46067416] ; [23.46067416 12.53932584],0
s6,1,0.045052,4.016693,[107  71] ; [42 47],[99.33333333 78.66666667] ; [49.66666667 39.33333333],0
s3,1,0.050891,3.811843,[101  80] ; [37 49],[93.5505618 87.4494382] ; [44.4494382 41.5505618],0
u4,1,0.070486,3.271667,[  1 181] ; [ 3 86],[  2.68634686 179.31365314] ; [ 1.31365314 87.68634686],0
n1,1,0.079464,3.07584,[17 33] ; [20 18],[21.02272727 28.97727273] ; [15.97727273 22.02272727],0
p6,1,0.098221,2.734202,[ 37 141] ; [11 77],[ 32.12030075 145.87969925] ; [15.87969925 72.12030075],0
s5,1,0.138654,2.192833,[ 50 127] ; [17 69],[ 45.09125475 131.90874525] ; [21.90874525 64.09125475],0
n2,1,0.178196,1.812607,[42 10] ; [26 12],[39.28888889 12.71111111] ; [28.71111111  9.28888889],0
b5,1,0.197511,1.660686,[117  65] ; [50 39],[112.15498155  69.84501845] ; [54.84501845 34.15498155],0
a3,1,0.218165,1.516403,[126  55] ; [54 33],[121.56716418  59.43283582] ; [58.43283582 28.56716418],0
p5,1,0.242833,1.364073,[  5 176] ; [ 5 84],[  6.7037037 174.2962963] ; [ 3.2962963 85.7037037],0
d3,1,0.286831,1.134439,[105  76] ; [45 43],[100.92936803  80.07063197] ; [49.07063197 38.92936803],0
d2,1,0.295072,1.096334,[ 74 107] ; [41 45],[ 77.9588015 103.0411985] ; [37.0411985 48.9588015],0
s7,1,0.330006,0.948874,[ 72 103] ; [30 56],[ 68.3908046 106.6091954] ; [33.6091954 52.3908046],0
a2,1,0.351864,0.866723,[ 36 146] ; [22 67],[ 38.95202952 143.04797048] ; [19.04797048 69.95202952],0
a6,1,0.396259,0.719648,[116  65] ; [61 27],[119.09665428  61.90334572] ; [57.90334572 30.09665428],0
s8,1,0.417214,0.65815,[ 66 115] ; [28 61],[ 63.01481481 117.98518519] ; [30.98518519 58.01481481],0
d1,1,0.537086,0.380968,[87 95] ; [39 50],[84.6199262 97.3800738] ; [41.3800738 47.6199262],0
a5,1,0.562523,0.335354,[123  59] ; [57 32],[120.88560886  61.11439114] ; [59.11439114 29.88560886],0
p12,1,0.572898,0.317857,[  9 169] ; [ 6 83],[ 10. 168.] ; [ 5. 84.],0
u3,1,0.617975,0.248724,[27 29] ; [15 20],[25.84615385 30.15384615] ; [16.15384615 18.84615385],0
a8,1,0.62216,0.242844,[ 30 139] ; [13 72],[ 28.61023622 140.38976378] ; [14.38976378 70.61023622],0
p3,1,0.666186,0.186096,[ 41 141] ; [18 71],[ 39.62361624 142.37638376] ; [19.37638376 69.62361624],0
a4,1,0.710454,0.137824,[ 71 111] ; [36 51],[ 72.39405204 109.60594796] ; [34.60594796 52.39405204],0
u2,1,0.808976,0.058442,[25 30] ; [15 20],[24.44444444 30.55555556] ; [15.55555556 19.44444444],0
b2,1,0.814253,0.055198,[37 59] ; [22 38],[36.30769231 59.69230769] ; [22.69230769 37.30769231],0
b3,1,0.814253,0.055198,[37 59] ; [22 38],[36.30769231 59.69230769] ; [22.69230769 37.30769231],0
v3,1,0.816292,0.053971,[ 62 119] ; [30 54],[ 62.83773585 118.16226415] ; [29.16226415 54.83773585],0
b4,1,0.840803,0.040347,[104  78] ; [52 37],[104.76752768  77.23247232] ; [51.23247232 37.76752768],0
s4,1,0.845559,0.037942,[ 25 155] ; [13 75],[ 25.52238806 154.47761194] ; [12.47761194 75.52238806],0
a7,1,0.92153,0.009704,[115  66] ; [56 33],[114.63333333  66.36666667] ; [56.36666667 32.63333333],0
u1,1,0.946183,0.004556,[ 24 158] ; [12 77],[ 24.17712177 157.82287823] ; [11.82287823 77.17712177],0
n4,1,0.970588,0.001359,[151  31] ; [74 15],[151.10701107  30.89298893] ; [73.89298893 15.10701107],0
