Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000153,14.33297,[55  6] ; [6 7],[50.28378378 10.71621622] ; [10.71621622  2.28378378],1
p11,1,0.001551,10.01747,[47 15] ; [4 9],[42.16 19.84] ; [8.84 4.16],0
r2,1,0.005583,7.680064,[51 11] ; [6 7],[47.12 14.88] ; [9.88 3.12],0
a6,1,0.00963,6.702138,[34 28] ; [ 2 11],[29.76 32.24] ; [6.24 6.76],0
n6,1,0.012815,6.194452,[42 20] ; [4 9],[38.02666667 23.97333333] ; [7.97333333 5.02666667],0
s6,1,0.022251,5.226024,[31 31] ; [ 2 11],[27.28 34.72] ; [5.72 7.28],0
r1,1,0.043836,4.062873,[38 24] ; [4 9],[34.72 27.28] ; [7.28 5.72],0
v2,1,0.048052,3.908157,[21 38] ; [ 1 12],[18.02777778 40.97222222] ; [3.97222222 9.02777778],0
p1,1,0.076079,3.146734,[ 2 60] ; [ 2 11],[ 3.30666667 58.69333333] ; [ 0.69333333 12.30666667],0
s1,1,0.076079,3.146734,[ 2 60] ; [ 2 11],[ 3.30666667 58.69333333] ; [ 0.69333333 12.30666667],0
a3,1,0.101983,2.674255,[27 34] ; [9 4],[29.67567568 31.32432432] ; [6.32432432 6.67567568],0
b1,1,0.130251,2.289515,[24 38] ; [8 5],[26.45333333 35.54666667] ; [5.54666667 7.45333333],0
p9,1,0.18289,1.773981,[45 17] ; [7 6],[42.98666667 19.01333333] ; [9.01333333 3.98666667],0
a7,1,0.196742,1.666394,[36 26] ; [5 8],[33.89333333 28.10666667] ; [7.10666667 5.89333333],0
s3,1,0.206352,1.596841,[31 31] ; [4 9],[28.93333333 33.06666667] ; [6.06666667 6.93333333],0
s5,1,0.214056,1.543782,[14 47] ; [ 1 12],[12.36486486 48.63513514] ; [ 2.63513514 10.36486486],0
s2,1,0.285676,1.139888,[24 38] ; [ 3 10],[22.32 39.68] ; [4.68 8.32],0
u2,1,0.290426,1.117647,[18 16] ; [1 3],[17. 17.] ; [2. 2.],0
p3,1,0.311673,1.023573,[18 44] ; [ 2 11],[16.53333333 45.46666667] ; [3.46666667 9.53333333],0
s8,1,0.311673,1.023573,[18 44] ; [ 2 11],[16.53333333 45.46666667] ; [3.46666667 9.53333333],0
p10,1,0.313616,1.015387,[38 24] ; [6 7],[36.37333333 25.62666667] ; [7.62666667 5.37333333],0
p7,1,0.327187,0.96,[39 21] ; [6 6],[37.5 22.5] ; [7.5 4.5],0
b5,1,0.370063,0.803454,[37 25] ; [6 7],[35.54666667 26.45333333] ; [7.45333333 5.54666667],0
n1,1,0.457901,0.55102,[ 4 17] ; [2 4],[ 4.66666667 16.33333333] ; [1.33333333 4.66666667],0
b4,1,0.497692,0.459854,[35 27] ; [6 7],[33.89333333 28.10666667] ; [7.10666667 5.89333333],0
a5,1,0.520162,0.413573,[25 37] ; [4 9],[23.97333333 38.02666667] ; [5.02666667 7.97333333],0
a4,1,0.547371,0.362049,[10 52] ; [ 3 10],[10.74666667 51.25333333] ; [ 2.25333333 10.74666667],0
d2,1,0.56472,0.331597,[14 48] ; [ 2 11],[13.22666667 48.77333333] ; [ 2.77333333 10.22666667],0
p6,1,0.6113,0.258286,[13 47] ; [ 2 11],[12.32876712 47.67123288] ; [ 2.67123288 10.32876712],0
v3,1,0.629365,0.232922,[13 48] ; [ 2 11],[12.36486486 48.63513514] ; [ 2.63513514 10.36486486],0
n2,1,0.638729,0.220408,[16  5] ; [4 2],[15.55555556  5.44444444] ; [4.44444444 1.55555556],0
n5,1,0.649806,0.206145,[24 37] ; [6 7],[24.72972973 36.27027027] ; [5.27027027 7.72972973],0
s4,1,0.653539,0.201468,[11 51] ; [ 3 10],[11.57333333 50.42666667] ; [ 2.42666667 10.57333333],0
b3,1,0.691579,0.157381,[ 7 22] ; [1 5],[ 6.62857143 22.37142857] ; [1.37142857 4.62857143],0
b2,1,0.691579,0.157381,[ 7 22] ; [1 5],[ 6.62857143 22.37142857] ; [1.37142857 4.62857143],0
d3,1,0.697869,0.150698,[25 37] ; [6 7],[25.62666667 36.37333333] ; [5.37333333 7.62666667],0
v1,1,0.782004,0.076567,[21 40] ; [5 8],[21.43243243 39.56756757] ; [4.56756757 8.43243243],0
n3,1,0.82176,0.050752,[15  6] ; [4 2],[14.77777778  6.22222222] ; [4.22222222 1.77777778],0
u3,1,0.822906,0.050091,[15 19] ; [2 2],[15.21052632 18.78947368] ; [1.78947368 2.21052632],0
p2,1,0.900471,0.015642,[44 18] ; [9 4],[43.81333333 18.18666667] ; [9.18666667 3.81333333],0
d4,1,0.900862,0.015518,[34 27] ; [7 6],[33.7972973 27.2027027] ; [7.2027027 5.7972973],0
p8,1,0.930827,0.007535,[25 37] ; [5 7],[25.13513514 36.86486486] ; [4.86486486 7.13513514],0
p4,1,0.952798,0.003504,[24 37] ; [5 8],[23.90540541 37.09459459] ; [5.09459459 7.90540541],0
s7,1,1.0,0.0,[15 45] ; [3 9],[15. 45.] ; [3. 9.],0
