Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.7e-05,17.592917,[98 10] ; [5 6],[93.4789916 14.5210084] ; [9.5210084 1.4789916],1
v4,1,0.001551,10.016835,[104   4] ; [8 3],[101.64705882   6.35294118] ; [10.35294118  0.64705882],0
s1,1,0.001876,9.666963,[  4 101] ; [3 8],[ 6.3362069 98.6637931] ; [ 0.6637931 10.3362069],0
v2,1,0.004784,7.959444,[57 49] ; [ 1 10],[52.54700855 53.45299145] ; [5.45299145 5.54700855],0
p11,1,0.008096,7.012147,[87 21] ; [5 6],[83.49579832 24.50420168] ; [8.50420168 2.49579832],0
p10,1,0.009895,6.653774,[84 21] ; [5 6],[80.56034483 24.43965517] ; [8.43965517 2.56034483],0
a1,1,0.015269,5.885154,[  3 105] ; [2 9],[  4.53781513 103.46218487] ; [ 0.46218487 10.53781513],0
n6,1,0.015585,5.849052,[91 17] ; [6 5],[88.03361345 19.96638655] ; [8.96638655 2.03361345],0
a6,1,0.026921,4.895855,[75 33] ; [4 7],[71.69747899 36.30252101] ; [7.30252101 3.69747899],0
d4,1,0.041594,4.151639,[64 44] ; [3 8],[60.80672269 47.19327731] ; [6.19327731 4.80672269],0
r1,1,0.087296,2.923534,[84 24] ; [6 5],[81.68067227 26.31932773] ; [8.31932773 2.68067227],0
b1,1,0.098221,2.734202,[41 67] ; [7 4],[43.56302521 64.43697479] ; [4.43697479 6.56302521],0
p2,1,0.109105,2.567133,[82 25] ; [6 5],[79.79661017 27.20338983] ; [8.20338983 2.79661017],0
p8,1,0.121466,2.398313,[54 52] ; [7 2],[56.22608696 49.77391304] ; [4.77391304 4.22608696],0
p9,1,0.13775,2.202918,[85 21] ; [6 4],[83.15517241 22.84482759] ; [7.84482759 2.15517241],0
a3,1,0.162587,1.95,[58 50] ; [7 2],[60. 48.] ; [5. 4.],0
d3,1,0.180957,1.789743,[62 46] ; [4 7],[59.89915966 48.10084034] ; [6.10084034 4.89915966],0
s6,1,0.19779,1.658621,[64 41] ; [4 6],[62.08695652 42.91304348] ; [5.91304348 4.08695652],0
b5,1,0.205093,1.605729,[70 38] ; [5 6],[68.06722689 39.93277311] ; [6.93277311 4.06722689],0
u3,1,0.214317,1.542026,[28 21] ; [1 3],[26.81132075 22.18867925] ; [2.18867925 1.81132075],0
r2,1,0.219804,1.50565,[100   8] ; [9 2],[98.92436975  9.07563025] ; [10.07563025  0.92436975],0
d2,1,0.258333,1.277671,[26 82] ; [ 1 10],[24.50420168 83.49579832] ; [2.49579832 8.50420168],0
u2,1,0.297953,1.083333,[25 23] ; [1 3],[24. 24.] ; [2. 2.],0
p4,1,0.341739,0.903896,[54 51] ; [4 7],[52.5 52.5] ; [5.5 5.5],0
p3,1,0.371625,0.798224,[44 63] ; [3 8],[42.61864407 64.38135593] ; [4.38135593 6.61864407],0
b2,1,0.375514,0.785336,[19 37] ; [4 4],[20.125 35.875] ; [2.875 5.125],0
b3,1,0.375514,0.785336,[19 37] ; [4 4],[20.125 35.875] ; [2.875 5.125],0
v3,1,0.402998,0.699363,[43 64] ; [3 8],[41.71186441 65.28813559] ; [4.28813559 6.71186441],0
n4,1,0.433449,0.613565,[71 36] ; [6 5],[69.8220339 37.1779661] ; [7.1779661 3.8220339],0
s8,1,0.440367,0.595327,[34 73] ; [2 8],[32.92307692 74.07692308] ; [3.07692308 6.92307692],0
s2,1,0.440437,0.595144,[51 54] ; [4 7],[49.78448276 55.21551724] ; [5.21551724 5.78448276],0
s3,1,0.480842,0.496953,[60 46] ; [4 5],[58.99130435 47.00869565] ; [5.00869565 3.99130435],0
v1,1,0.53543,0.384075,[47 58] ; [6 5],[47.97413793 57.02586207] ; [5.02586207 5.97413793],0
p5,1,0.542715,0.370531,[14 93] ; [2 8],[14.63247863 92.36752137] ; [1.36752137 8.63247863],0
p1,1,0.567366,0.32711,[13 94] ; [2 9],[13.60169492 93.39830508] ; [1.39830508 9.60169492],0
a5,1,0.690086,0.158992,[62 46] ; [7 4],[62.62184874 45.37815126] ; [6.37815126 4.62184874],0
n5,1,0.713222,0.13508,[72 35] ; [8 3],[72.54237288 34.45762712] ; [7.45762712 3.54237288],0
n3,1,0.74844,0.102847,[17  5] ; [5 1],[17.28571429  4.71428571] ; [4.71428571 1.28571429],0
s7,1,0.802209,0.062745,[45 57] ; [4 6],[44.625 57.375] ; [4.375 5.625],0
a8,1,0.810162,0.057704,[13 90] ; [1 9],[12.76106195 90.23893805] ; [1.23893805 8.76106195],0
a4,1,0.820635,0.051406,[25 83] ; [2 8],[24.71186441 83.28813559] ; [2.28813559 7.71186441],0
n2,1,0.850857,0.035354,[19  3] ; [5 1],[18.85714286  3.14285714] ; [5.14285714 0.85714286],0
b4,1,0.855012,0.033389,[62 46] ; [6 5],[61.71428571 46.28571429] ; [6.28571429 4.71428571],0
a2,1,0.908586,0.013184,[11 97] ; [ 1 10],[10.8907563 97.1092437] ; [1.1092437 9.8907563],0
p7,1,0.923957,0.009111,[64 40] ; [6 4],[63.85964912 40.14035088] ; [6.14035088 3.85964912],0
p6,1,0.928741,0.007997,[40 66] ; [4 7],[39.86324786 66.13675214] ; [4.13675214 6.86324786],0
s5,1,0.950624,0.003835,[29 74] ; [3 8],[28.9122807 74.0877193] ; [3.0877193 7.9122807],0
s4,1,0.955794,0.003073,[20 86] ; [2 9],[19.93162393 86.06837607] ; [2.06837607 8.93162393],0
