Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,35.243994,[ 46 124] ; [143 111],[75.77830189 94.22169811] ; [113.22169811 140.77830189],1
v2,1,0.0,33.671389,[75 94] ; [186  71],[103.54225352  65.45774648] ; [157.45774648  99.54225352],1
n5,1,1.4e-05,18.806409,[121  53] ; [226  35],[138.8  35.2] ; [208.2  52.8],1
p9,1,0.000255,13.372777,[140  35] ; [240  21],[152.52293578  22.47706422] ; [227.47706422  33.52293578],1
p10,1,0.000369,12.684714,[134  40] ; [233  27],[147.13824885  26.86175115] ; [219.86175115  40.13824885],1
s8,1,0.003305,8.630952,[ 69 105] ; [141 120],[84. 90.] ; [126. 135.],0
p6,1,0.004724,7.982023,[ 66 108] ; [134 125],[80.36951501 93.63048499] ; [119.63048499 139.36951501],0
p8,1,0.005445,7.725458,[97 77] ; [179  81],[110.65437788  63.34562212] ; [165.34562212  94.65437788],0
n4,1,0.006063,7.531607,[133  42] ; [226  36],[143.76430206  31.23569794] ; [215.23569794  46.76430206],0
r4,1,0.006466,7.415507,[150  25] ; [246  17],[158.21917808  16.78082192] ; [237.78082192  25.21917808],0
n6,1,0.006812,7.32182,[140  34] ; [234  27],[149.6  24.4] ; [224.4  36.6],0
v4,1,0.01056,6.537842,[160  14] ; [254   7],[165.6   8.4] ; [248.4  12.6],0
d1,1,0.012405,6.252039,[95 80] ; [174  89],[107.47716895  67.52283105] ; [161.52283105 101.47716895],0
s2,1,0.025411,4.995629,[78 96] ; [145 115],[89.40552995 84.59447005] ; [133.59447005 126.40552995],0
r1,1,0.02632,4.934874,[131  43] ; [219  42],[140.  34.] ; [210.  51.],0
u3,1,0.028272,4.811427,[27 28] ; [46 21],[32.90983607 22.09016393] ; [40.09016393 26.90983607],0
p11,1,0.032323,4.581289,[135  40] ; [224  39],[143.43607306  31.56392694] ; [215.56392694  47.43607306],0
u4,1,0.034293,4.480038,[  1 174] ; [ 10 253],[  4.39497717 170.60502283] ; [  6.60502283 256.39497717],0
d5,1,0.036422,4.377222,[136  39] ; [224  38],[144.16475973  30.83524027] ; [215.83524027  46.16475973],0
p2,1,0.036532,4.372113,[150  24] ; [242  20],[156.44036697  17.55963303] ; [235.55963303  26.44036697],0
d4,1,0.051348,3.796881,[137  38] ; [224  38],[144.56521739  30.43478261] ; [216.43478261  45.56521739],0
r2,1,0.052717,3.752855,[156  17] ; [247  13],[161.01385681  11.98614319] ; [241.98614319  18.01385681],0
a2,1,0.053704,3.721873,[ 35 140] ; [ 74 189],[ 43.55022831 131.44977169] ; [ 65.44977169 197.55022831],0
