Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.03875,4.271795,[1 2] ; [ 3 62],[0.17647059 2.82352941] ; [ 3.82352941 61.17647059],0
d3,1,0.244824,1.352603,[2 1] ; [22 43],[1.05882353 1.94117647] ; [22.94117647 42.05882353],0
r4,1,0.358853,0.841905,[1 2] ; [39 26],[1.76470588 1.23529412] ; [38.23529412 26.76470588],0
p6,1,0.376822,0.781045,[1 1] ; [14 47],[0.47619048 1.52380952] ; [14.52380952 46.47619048],0
s3,1,0.435303,0.608634,[1 2] ; [36 28],[1.65671642 1.34328358] ; [35.34328358 28.65671642],0
a3,1,0.453398,0.562144,[1 2] ; [36 29],[1.63235294 1.36764706] ; [35.36764706 29.63235294],0
v1,1,0.453398,0.562144,[2 1] ; [29 36],[1.36764706 1.63235294] ; [29.63235294 35.36764706],0
p10,1,0.465552,0.532514,[2 1] ; [28 34],[1.38461538 1.61538462] ; [28.61538462 33.38461538],0
a5,1,0.626147,0.237322,[1 2] ; [31 34],[1.41176471 1.58823529] ; [30.58823529 34.41176471],0
d5,1,0.626147,0.237322,[2 1] ; [34 31],[1.58823529 1.41176471] ; [34.41176471 30.58823529],0
p11,1,0.662903,0.190016,[2 1] ; [35 30],[1.63235294 1.36764706] ; [35.36764706 29.63235294],0
n4,1,0.662903,0.190016,[2 1] ; [35 30],[1.63235294 1.36764706] ; [35.36764706 29.63235294],0
b3,1,0.665706,0.186667,[1 1] ; [14 26],[0.71428571 1.28571429] ; [14.28571429 25.71428571],0
b2,1,0.665706,0.186667,[1 1] ; [14 26],[0.71428571 1.28571429] ; [14.28571429 25.71428571],0
s5,1,0.665947,0.18638,[1 2] ; [14 48],[0.69230769 2.30769231] ; [14.30769231 47.69230769],0
s6,1,0.721917,0.126664,[1 2] ; [28 36],[1.29850746 1.70149254] ; [27.70149254 36.29850746],0
d2,1,0.738662,0.111306,[1 2] ; [28 37],[1.27941176 1.72058824] ; [27.72058824 37.27941176],0
v4,1,0.772028,0.083939,[2 1] ; [46 16],[2.21538462 0.78461538] ; [45.78461538 16.21538462],0
r3,1,0.782873,0.075943,[2 1] ; [48 17],[2.20588235 0.79411765] ; [47.79411765 17.20588235],0
d4,1,0.801309,0.063329,[2 1] ; [38 26],[1.79104478 1.20895522] ; [38.20895522 25.79104478],0
v2,1,0.83497,0.043402,[1 2] ; [24 37],[1.171875 1.828125] ; [23.828125 37.171875],0
s7,1,0.881572,0.022194,[1 2] ; [17 41],[0.8852459 2.1147541] ; [17.1147541 40.8852459],0
p8,1,0.892713,0.01819,[1 2] ; [19 45],[0.89552239 2.10447761] ; [19.10447761 44.89552239],0
a6,1,0.899672,0.015895,[1 2] ; [24 41],[1.10294118 1.89705882] ; [23.89705882 41.10294118],0
a4,1,0.925123,0.008833,[1 2] ; [20 45],[0.92647059 2.07352941] ; [20.07352941 44.92647059],0
s2,1,0.942054,0.005284,[1 2] ; [23 42],[1.05882353 1.94117647] ; [22.94117647 42.05882353],0
d1,1,0.970385,0.001378,[1 2] ; [21 44],[0.97058824 2.02941176] ; [21.02941176 43.97058824],0
p3,1,0.985021,0.000352,[1 2] ; [21 43],[0.98507463 2.01492537] ; [21.01492537 42.98507463],0
