Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000144,14.443533,[10 43] ; [11  5],[16.13043478 36.86956522] ; [ 4.86956522 11.13043478],1
s6,1,0.000293,13.116373,[ 7 47] ; [9 7],[12.34285714 41.65714286] ; [ 3.65714286 12.34285714],1
p7,1,0.002372,9.237132,[ 9 42] ; [9 7],[13.70149254 37.29850746] ; [ 4.29850746 11.70149254],0
p4,1,0.014871,5.931722,[ 8 45] ; [7 9],[11.52173913 41.47826087] ; [ 3.47826087 12.52173913],0
r3,1,0.019412,5.464024,[16 37] ; [10  6],[19.97101449 33.02898551] ; [6.02898551 9.97101449],0
s4,1,0.027255,4.874614,[ 5 49] ; [ 5 11],[ 7.71428571 46.28571429] ; [ 2.28571429 13.71428571],0
u3,1,0.028877,4.774908,[ 4 22] ; [3 2],[ 5.87096774 20.12903226] ; [1.12903226 3.87096774],0
p3,1,0.055728,3.660155,[ 8 44] ; [ 6 10],[10.70588235 41.29411765] ; [ 3.29411765 12.70588235],0
s1,1,0.055995,3.652219,[ 4 49] ; [ 4 12],[ 6.14492754 46.85507246] ; [ 1.85507246 14.14492754],0
p6,1,0.06024,3.530769,[ 4 48] ; [ 4 12],[ 6.11764706 45.88235294] ; [ 1.88235294 14.11764706],0
s7,1,0.065784,3.385201,[ 7 43] ; [5 9],[ 9.375 40.625] ; [ 2.625 11.375],0
p2,1,0.080312,3.058575,[17 36] ; [9 7],[19.97101449 33.02898551] ; [6.02898551 9.97101449],0
s8,1,0.097744,2.74197,[ 3 51] ; [ 3 13],[ 4.62857143 49.37142857] ; [ 1.37142857 14.62857143],0
p10,1,0.10661,2.603774,[15 38] ; [8 8],[17.66666667 35.33333333] ; [ 5.33333333 10.66666667],0
b4,1,0.114485,2.491187,[29 25] ; [ 5 11],[26.22857143 27.77142857] ; [7.77142857 8.22857143],0
d3,1,0.16623,1.916613,[26 27] ; [11  5],[28.42028986 24.57971014] ; [8.57971014 7.42028986],0
p8,1,0.173117,1.85574,[ 6 47] ; [ 4 12],[ 7.68115942 45.31884058] ; [ 2.31884058 13.68115942],0
p9,1,0.175162,1.838197,[16 35] ; [8 8],[18.26865672 32.73134328] ; [ 5.73134328 10.26865672],0
n1,1,0.176827,1.82409,[10 19] ; [1 8],[ 8.39473684 20.60526316] ; [2.60526316 6.39473684],0
v1,1,0.186592,1.744325,[14 39] ; [7 9],[16.13043478 36.86956522] ; [ 4.86956522 11.13043478],0
s5,1,0.207889,1.586067,[ 5 49] ; [ 3 11],[ 6.35294118 47.64705882] ; [ 1.64705882 12.35294118],0
n5,1,0.239654,1.382629,[32 21] ; [7 9],[29.95652174 23.04347826] ; [9.04347826 6.95652174],0
a7,1,0.282388,1.155561,[28 25] ; [ 6 10],[26.11594203 26.88405797] ; [7.88405797 8.11594203],0
a3,1,0.291836,1.111134,[28 24] ; [11  5],[29.82352941 22.17647059] ; [9.17647059 6.82352941],0
b3,1,0.302936,1.061224,[16 16] ; [2 5],[14.76923077 17.23076923] ; [3.23076923 3.76923077],0
b2,1,0.302936,1.061224,[16 16] ; [2 5],[14.76923077 17.23076923] ; [3.23076923 3.76923077],0
n6,1,0.343176,0.898529,[21 32] ; [8 7],[22.60294118 30.39705882] ; [6.39705882 8.60294118],0
b5,1,0.378996,0.773956,[27 27] ; [10  6],[28.54285714 25.45714286] ; [8.45714286 7.54285714],0
a6,1,0.406046,0.690349,[24 30] ; [9 7],[25.45714286 28.54285714] ; [7.54285714 8.45714286],0
v2,1,0.421274,0.646757,[12 40] ; [ 5 10],[13.19402985 38.80597015] ; [ 3.80597015 11.19402985],0
n2,1,0.45494,0.558314,[12 17] ; [5 4],[12.97368421 16.02631579] ; [4.02631579 4.97368421],0
a2,1,0.458527,0.549489,[ 7 47] ; [ 1 15],[ 6.17142857 47.82857143] ; [ 1.82857143 14.17142857],0
a5,1,0.484127,0.489553,[25 29] ; [9 7],[26.22857143 27.77142857] ; [7.77142857 8.22857143],0
r2,1,0.497219,0.460868,[29 22] ; [10  5],[30.13636364 20.86363636] ; [8.86363636 6.13636364],0
a4,1,0.500193,0.454527,[18 35] ; [ 4 12],[16.89855072 36.10144928] ; [ 5.10144928 10.89855072],0
d5,1,0.510961,0.432099,[32 22] ; [8 8],[30.85714286 23.14285714] ; [9.14285714 6.85714286],0
u2,1,0.59298,0.285714,[ 8 17] ; [1 4],[ 7.5 17.5] ; [1.5 3.5],0
d4,1,0.671338,0.180041,[34 20] ; [11  5],[34.71428571 19.28571429] ; [10.28571429  5.71428571],0
r1,1,0.68665,0.162736,[17 36] ; [ 6 10],[17.66666667 35.33333333] ; [ 5.33333333 10.66666667],0
a1,1,0.687516,0.161787,[ 9 45] ; [ 2 14],[ 8.48571429 45.51428571] ; [ 2.51428571 13.48571429],0
p1,1,0.705684,0.142626,[ 5 49] ; [ 1 15],[ 4.62857143 49.37142857] ; [ 1.37142857 14.62857143],0
n3,1,0.726917,0.121961,[11 18] ; [4 5],[11.44736842 17.55263158] ; [3.55263158 5.44736842],0
v3,1,0.740834,0.109395,[12 41] ; [ 3 13],[11.52173913 41.47826087] ; [ 3.47826087 12.52173913],0
d2,1,0.768252,0.086826,[21 32] ; [7 9],[21.50724638 31.49275362] ; [6.49275362 9.50724638],0
u1,1,0.916289,0.011048,[ 3 51] ; [ 1 15],[ 3.08571429 50.91428571] ; [ 0.91428571 15.08571429],0
d1,1,0.973147,0.001133,[20 34] ; [ 6 10],[20.05714286 33.94285714] ; [ 5.94285714 10.05714286],0
b1,1,0.973147,0.001133,[34 20] ; [10  6],[33.94285714 20.05714286] ; [10.05714286  5.94285714],0
n4,1,0.98004,0.000626,[30 23] ; [9 7],[29.95652174 23.04347826] ; [9.04347826 6.95652174],0
v4,1,0.98004,0.000626,[30 23] ; [9 7],[29.95652174 23.04347826] ; [9.04347826 6.95652174],0
