Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,33.247408,[ 25 115] ; [79 80],[48.69565217 91.30434783] ; [ 55.30434783 103.69565217],1
v1,1,1.6e-05,18.60615,[48 91] ; [92 62],[66.41638225 72.58361775] ; [73.58361775 80.41638225],1
d5,1,0.005079,7.851172,[102  41] ; [137  25],[112.0557377  30.9442623] ; [126.9442623  35.0557377],0
d1,1,0.006204,7.489985,[65 78] ; [99 63],[76.89180328 66.10819672] ; [87.10819672 74.89180328],0
a7,1,0.007323,7.192001,[84 59] ; [118  43],[95.01973684 47.98026316] ; [106.98026316  54.01973684],0
r1,1,0.013857,6.056266,[99 44] ; [131  30],[108.19078947  34.80921053] ; [121.80921053  39.19078947],0
r3,1,0.018489,5.549177,[133   9] ; [158   2],[136.82781457   5.17218543] ; [154.17218543   5.82781457],0
p9,1,0.024792,5.038351,[109  34] ; [138  22],[116.5709571  26.4290429] ; [130.4290429  29.5709571],0
a1,1,0.032338,4.580471,[  2 141] ; [ 10 152],[  5.62622951 137.37377049] ; [  6.37377049 155.62622951],0
d4,1,0.036063,4.394128,[107  36] ; [136  25],[114.30592105  28.69407895] ; [128.69407895  32.30592105],0
s8,1,0.052309,3.765851,[ 43 100] ; [66 96],[51.10491803 91.89508197] ; [ 57.89508197 104.10491803],0
d3,1,0.060578,3.521488,[86 57] ; [114  48],[93.7704918 49.2295082] ; [106.2295082  55.7704918],0
p7,1,0.066471,3.368087,[51 87] ; [76 84],[58.81208054 79.18791946] ; [68.18791946 91.81208054],0
s7,1,0.074073,3.190369,[53 85] ; [77 81],[60.60810811 77.39189189] ; [69.39189189 88.60810811],0
p10,1,0.085304,2.96084,[105  37] ; [133  29],[111.17105263  30.82894737] ; [126.82894737  35.17105263],0
n1,1,0.109305,2.564245,[17 25] ; [ 9 29],[13.65 28.35] ; [12.35 25.65],0
s1,1,0.112147,2.523708,[  6 136] ; [  2 156],[  3.78666667 138.21333333] ; [  4.21333333 153.78666667],0
s2,1,0.131494,2.274783,[60 82] ; [81 78],[66.51827243 75.48172757] ; [74.48172757 84.51827243],0
p12,1,0.17214,1.864209,[  6 136] ; [ 13 149],[  8.875 133.125] ; [ 10.125 151.875],0
b2,1,0.213636,1.546617,[39 52] ; [37 71],[34.75376884 56.24623116] ; [41.24623116 66.75376884],0
b3,1,0.213636,1.546617,[39 52] ; [37 71],[34.75376884 56.24623116] ; [41.24623116 66.75376884],0
u2,1,0.217736,1.519228,[29 14] ; [24 20],[26.1954023 16.8045977] ; [26.8045977 17.1954023],0
a5,1,0.220743,1.499534,[94 49] ; [117  45],[98.92786885 44.07213115] ; [112.07213115  49.92786885],0
s6,1,0.244608,1.353838,[81 61] ; [103  59],[85.94736842 56.05263158] ; [98.05263158 63.94736842],0
d2,1,0.257988,1.279524,[60 82] ; [78 82],[64.88741722 77.11258278] ; [73.11258278 86.88741722],0
p1,1,0.290025,1.119506,[  9 133] ; [  6 156],[  7.00657895 134.99342105] ; [  7.99342105 154.00657895],0
p2,1,0.293759,1.102313,[104  38] ; [127  35],[107.90131579  34.09868421] ; [123.09868421  38.90131579],0
n4,1,0.310186,1.029885,[105  38] ; [127  35],[108.77377049  34.22622951] ; [123.22622951  38.77377049],0
n2,1,0.337811,0.918721,[33  9] ; [27 12],[31.11111111 10.88888889] ; [28.88888889 10.11111111],0
u1,1,0.350444,0.87185,[ 24 119] ; [ 34 128],[ 27.19344262 115.80655738] ; [ 30.80655738 131.19344262],0
u3,1,0.406839,0.688018,[28 15] ; [26 20],[26.08988764 16.91011236] ; [27.91011236 18.08988764],0
s4,1,0.407014,0.687505,[ 23 117] ; [ 21 140],[ 20.46511628 119.53488372] ; [ 23.53488372 137.46511628],0
a8,1,0.445691,0.581588,[ 14 117] ; [ 20 126],[ 16.07942238 114.92057762] ; [ 17.92057762 128.07942238],0
a6,1,0.460045,0.545784,[95 48] ; [114  48],[97.99016393 45.00983607] ; [111.00983607  50.99016393],0
p5,1,0.465329,0.533047,[  6 134] ; [ 10 152],[  7.41721854 132.58278146] ; [  8.58278146 153.41721854],0
b4,1,0.478879,0.501414,[93 50] ; [99 63],[90.01967213 52.98032787] ; [101.98032787  60.01967213],0
p6,1,0.491872,0.47243,[ 28 113] ; [ 37 123],[ 30.44850498 110.55149502] ; [ 34.55149502 125.44850498],0
r2,1,0.495932,0.463631,[130  13] ; [147  11],[131.59800664  11.40199336] ; [145.40199336  12.59800664],0
p3,1,0.515565,0.422756,[47 96] ; [ 59 103],[49.69836066 93.30163934] ; [ 56.30163934 105.69836066],0
n6,1,0.536516,0.382035,[117  26] ; [136  25],[119.00986842  23.99013158] ; [133.99013158  27.00986842],0
b5,1,0.631326,0.230266,[88 55] ; [104  58],[90.01967213 52.98032787] ; [101.98032787  60.01967213],0
p4,1,0.633768,0.226986,[61 81] ; [74 88],[63.05921053 78.94078947] ; [71.94078947 90.05921053],0
n3,1,0.697287,0.15131,[31 11] ; [31  9],[31.75609756 10.24390244] ; [30.24390244  9.75609756],0
a4,1,0.744433,0.106268,[64 78] ; [70 92],[62.59210526 79.40789474] ; [71.40789474 90.59210526],0
a3,1,0.748138,0.103102,[100  43] ; [116  46],[101.27213115  41.72786885] ; [114.72786885  47.27213115],0
u4,1,0.755742,0.096769,[  2 141] ; [  3 159],[  2.3442623 140.6557377] ; [  2.6557377 159.3442623],0
v4,1,0.771163,0.084596,[131  11] ; [149  11],[131.65562914  10.34437086] ; [148.34437086  11.65562914],0
b1,1,0.806737,0.059847,[46 97] ; [ 50 112],[45.00983607 97.99016393] ; [ 50.99016393 111.00983607],0
s5,1,0.81367,0.055552,[ 36 104] ; [ 42 114],[ 36.89189189 103.10810811] ; [ 41.10810811 114.89189189],0
n5,1,0.874499,0.024947,[100  42] ; [114  46],[100.62251656  41.37748344] ; [113.37748344  46.62251656],0
a2,1,0.883141,0.021605,[ 31 112] ; [ 34 128],[ 30.47540984 112.52459016] ; [ 34.52459016 127.47540984],0
r4,1,0.933386,0.006987,[124  19] ; [141  21],[124.24590164  18.75409836] ; [140.75409836  21.24590164],0
s3,1,0.943881,0.004955,[78 65] ; [85 72],[77.69666667 65.30333333] ; [85.30333333 71.69666667],0
