Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1e-06,24.657995,[11 32] ; [34  9],[22.5 20.5] ; [22.5 20.5],1
a4,1,2e-06,22.605616,[ 3 41] ; [23 20],[13.14942529 30.85057471] ; [12.85057471 30.14942529],1
d2,1,0.000227,13.593811,[ 7 37] ; [23 20],[15.17241379 28.82758621] ; [14.82758621 28.17241379],1
n4,1,0.000264,13.308216,[16 28] ; [33 11],[24.5 19.5] ; [24.5 19.5],1
n5,1,0.000509,12.081011,[20 24] ; [35  8],[27.81609195 16.18390805] ; [27.18390805 15.81609195],1
d5,1,0.000638,11.660455,[15 29] ; [31 13],[23. 21.] ; [23. 21.],1
d1,1,0.004075,8.25,[ 6 38] ; [18 26],[12. 32.] ; [12. 32.],0
n1,1,0.004666,8.004706,[ 4 17] ; [13  8],[ 8.5 12.5] ; [ 8.5 12.5],0
a6,1,0.033006,4.545455,[17 27] ; [27 17],[22. 22.] ; [22. 22.],0
p5,1,0.044917,4.021759,[ 1 42] ; [ 6 36],[ 3.54117647 39.45882353] ; [ 3.45882353 38.54117647],0
d4,1,0.049966,3.842588,[22 22] ; [31 13],[26.5 17.5] ; [26.5 17.5],0
s7,1,0.050371,3.829054,[ 9 35] ; [16 24],[13.0952381 30.9047619] ; [11.9047619 28.0952381],0
r3,1,0.098638,2.727428,[22 22] ; [14 29],[18.20689655 25.79310345] ; [17.79310345 25.20689655],0
p2,1,0.103794,2.646259,[28 15] ; [20 22],[24.28235294 18.71764706] ; [23.71764706 18.28235294],0
d3,1,0.1578,1.99518,[16 27] ; [23 21],[19.27586207 23.72413793] ; [19.72413793 24.27586207],0
a8,1,0.166528,1.913924,[ 1 41] ; [ 4 38],[ 2.5 39.5] ; [ 2.5 39.5],0
p4,1,0.177231,1.82069,[12 32] ; [18 26],[15. 29.] ; [15. 29.],0
a1,1,0.179094,1.805128,[ 3 41] ; [ 7 37],[ 5. 39.] ; [ 5. 39.],0
p9,1,0.18679,1.742756,[21 23] ; [26 16],[24.04651163 19.95348837] ; [22.95348837 19.04651163],0
s5,1,0.229811,1.44203,[ 8 36] ; [ 4 39],[ 6.06896552 37.93103448] ; [ 5.93103448 37.06896552],0
v3,1,0.229811,1.44203,[ 4 39] ; [ 8 36],[ 5.93103448 37.06896552] ; [ 6.06896552 37.93103448],0
s8,1,0.243698,1.359073,[ 5 39] ; [ 9 35],[ 7. 37.] ; [ 7. 37.],0
n6,1,0.272929,1.201965,[21 23] ; [25 17],[23.53488372 20.46511628] ; [22.46511628 19.53488372],0
b1,1,0.2853,1.141671,[21 23] ; [26 18],[23.5 20.5] ; [23.5 20.5],0
b4,1,0.2853,1.141671,[26 18] ; [21 23],[23.5 20.5] ; [23.5 20.5],0
p3,1,0.305015,1.052137,[10 34] ; [14 29],[12.13793103 31.86206897] ; [11.86206897 31.13793103],0
u1,1,0.306056,1.047619,[ 1 43] ; [ 3 41],[ 2. 42.] ; [ 2. 42.],0
s2,1,0.324756,0.969697,[13 31] ; [ 9 35],[11. 33.] ; [11. 33.],0
r1,1,0.324756,0.969697,[ 9 35] ; [13 31],[11. 33.] ; [11. 33.],0
b3,1,0.385048,0.754524,[ 7 19] ; [11 18],[ 8.50909091 17.49090909] ; [ 9.49090909 19.50909091],0
b2,1,0.385048,0.754524,[ 7 19] ; [11 18],[ 8.50909091 17.49090909] ; [ 9.49090909 19.50909091],0
p11,1,0.389324,0.741053,[17 27] ; [21 23],[19. 25.] ; [19. 25.],0
r2,1,0.418707,0.653941,[23 21] ; [25 16],[24.84705882 19.15294118] ; [23.15294118 17.84705882],0
u2,1,0.481456,0.495564,[14 19] ; [3 7],[13.04651163 19.95348837] ; [3.95348837 6.04651163],0
p10,1,0.517181,0.419512,[21 22] ; [24 19],[22.5 20.5] ; [22.5 20.5],0
b5,1,0.522324,0.409302,[23 21] ; [20 24],[21.5 22.5] ; [21.5 22.5],0
p8,1,0.533059,0.388557,[15 29] ; [12 31],[13.65517241 30.34482759] ; [13.34482759 29.65517241],0
p7,1,0.541686,0.372425,[16 26] ; [13 28],[14.6746988 27.3253012] ; [14.3253012 26.6746988],0
v4,1,0.582227,0.302648,[25 18] ; [23 21],[23.72413793 19.27586207] ; [24.27586207 19.72413793],0
s6,1,0.622461,0.242424,[10 34] ; [12 32],[11. 33.] ; [11. 33.],0
a7,1,0.668524,0.183333,[19 25] ; [21 23],[20. 24.] ; [20. 24.],0
s1,1,0.693612,0.155203,[ 3 41] ; [ 4 40],[ 3.5 40.5] ; [ 3.5 40.5],0
p1,1,0.697659,0.150919,[ 5 38] ; [ 4 40],[ 4.44827586 38.55172414] ; [ 4.55172414 39.44827586],0
u3,1,0.721277,0.127273,[ 9 24] ; [3 6],[ 9.42857143 23.57142857] ; [2.57142857 6.42857143],0
n2,1,0.757621,0.095238,[10 11] ; [11 10],[10.5 10.5] ; [10.5 10.5],0
s4,1,0.787149,0.072908,[ 9 35] ; [ 8 36],[ 8.5 35.5] ; [ 8.5 35.5],0
v1,1,0.80181,0.063004,[10 33] ; [11 32],[10.5 32.5] ; [10.5 32.5],0
s3,1,0.950011,0.00393,[15 27] ; [16 28],[15.13953488 26.86046512] ; [15.86046512 28.13953488],0
n3,1,1.0,0.0,[ 9 12] ; [ 9 12],[ 9. 12.] ; [ 9. 12.],0
p6,1,1.0,0.0,[ 6 37] ; [ 6 37],[ 6. 37.] ; [ 6. 37.],0
