Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,23.700481,[51 11] ; [50 63],[35.78285714 26.21714286] ; [65.21714286 47.78285714],1
p10,1,0.000769,11.315608,[55  6] ; [80 39],[45.75 15.25] ; [89.25 29.75],1
s7,1,0.000844,11.142269,[35 25] ; [37 78],[24.68571429 35.31428571] ; [47.31428571 67.68571429],1
v1,1,0.006365,7.443986,[37 25] ; [44 71],[28.37288136 33.62711864] ; [52.62711864 62.37288136],0
p3,1,0.008017,7.029617,[31 31] ; [36 84],[22.82417582 39.17582418] ; [44.17582418 75.82417582],0
s8,1,0.011139,6.44295,[32 30] ; [38 80],[24.11111111 37.88888889] ; [45.88888889 72.11111111],0
a4,1,0.018388,5.558775,[29 33] ; [35 85],[21.8021978 40.1978022] ; [42.1978022 77.8021978],0
n6,1,0.022101,5.237853,[56  6] ; [90 28],[50.28888889 11.71111111] ; [95.71111111 22.28888889],0
d4,1,0.023717,5.115201,[54  8] ; [86 33],[47.9558011 14.0441989] ; [92.0441989 26.9558011],0
d3,1,0.029698,4.726705,[43 19] ; [62 56],[36.16666667 25.83333333] ; [68.83333333 49.16666667],0
r2,1,0.044678,4.030739,[61  1] ; [104  11],[57.79661017  4.20338983] ; [107.20338983   7.79661017],0
p11,1,0.057501,3.608032,[51 11] ; [83 37],[45.64835165 16.35164835] ; [88.35164835 31.64835165],0
p9,1,0.07487,3.172877,[52  9] ; [86 31],[47.29213483 13.70786517] ; [90.70786517 26.29213483],0
p1,1,0.085075,2.965176,[ 5 57] ; [  3 116],[ 2.74033149 59.25966851] ; [  5.25966851 113.74033149],0
d1,1,0.09115,2.853943,[34 28] ; [50 70],[28.61538462 33.38461538] ; [55.38461538 64.61538462],0
r4,1,0.093617,2.811059,[58  4] ; [102  18],[54.50549451  7.49450549] ; [105.49450549  14.50549451],0
a5,1,0.11924,2.427278,[43 19] ; [69 51],[38.15384615 23.84615385] ; [73.84615385 46.15384615],0
n5,1,0.120474,2.411154,[46 16] ; [74 44],[41.33333333 20.66666667] ; [78.66666667 39.33333333],0
n1,1,0.247621,1.336675,[ 2 10] ; [13 25],[3.6 8.4] ; [11.4 26.6],0
u1,1,0.274129,1.195968,[ 9 53] ; [ 11 109],[ 6.81318681 55.18681319] ; [ 13.18681319 106.81318681],0
s2,1,0.283672,1.149411,[31 31] ; [50 70],[27.59340659 34.40659341] ; [53.40659341 66.59340659],0
a3,1,0.315118,1.009104,[44 17] ; [77 42],[41.00555556 19.99444444] ; [79.99444444 39.00555556],0
d2,1,0.31759,0.998847,[28 34] ; [45 75],[24.86813187 37.13186813] ; [48.13186813 71.86813187],0
n4,1,0.330355,0.947507,[47 15] ; [82 37],[44.1878453 17.8121547] ; [84.8121547 34.1878453],0
p5,1,0.360468,0.836261,[ 1 61] ; [  5 115],[ 2.04395604 59.95604396] ; [  3.95604396 116.04395604],0
a1,1,0.402331,0.701347,[ 3 59] ; [  3 117],[ 2.04395604 59.95604396] ; [  3.95604396 116.04395604],0
v4,1,0.421861,0.645125,[60  2] ; [110   7],[58.88268156  3.11731844] ; [111.11731844   5.88268156],0
r1,1,0.427363,0.62998,[50 12] ; [89 29],[47.87777778 14.12222222] ; [91.12222222 26.87777778],0
s6,1,0.452091,0.565403,[39 22] ; [68 49],[36.66853933 24.33146067] ; [70.33146067 46.66853933],0
p6,1,0.487217,0.482666,[14 46] ; [33 84],[15.93220339 44.06779661] ; [31.06779661 85.93220339],0
n3,1,0.582874,0.301611,[12  2] ; [30  8],[11.30769231  2.69230769] ; [30.69230769  7.30769231],0
p12,1,0.586873,0.295255,[ 2 59] ; [  6 113],[ 2.71111111 58.28888889] ; [  5.28888889 113.71111111],0
s5,1,0.604999,0.267521,[17 44] ; [37 80],[18.50561798 42.49438202] ; [35.49438202 81.50561798],0
d5,1,0.608268,0.262705,[48 14] ; [88 31],[46.58563536 15.41436464] ; [89.41436464 29.58563536],0
s1,1,0.609118,0.261462,[ 3 58] ; [  4 115],[ 2.37222222 58.62777778] ; [  4.62777778 114.37222222],0
b1,1,0.62247,0.242411,[24 38] ; [51 69],[25.54945055 36.45054945] ; [49.45054945 70.54945055],0
a8,1,0.623629,0.2408,[10 47] ; [23 88],[11.19642857 45.80357143] ; [21.80357143 89.19642857],0
b2,1,0.668326,0.183566,[12 27] ; [23 43],[13. 26.] ; [22. 44.],0
b3,1,0.668326,0.183566,[12 27] ; [23 43],[13. 26.] ; [22. 44.],0
p8,1,0.710044,0.138233,[30 30] ; [56 63],[28.82681564 31.17318436] ; [57.17318436 61.82681564],0
u2,1,0.711129,0.137152,[9 8] ; [20 22],[8.3559322 8.6440678] ; [20.6440678 21.3559322],0
