Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.00619,7.494264,[79 31] ; [ 6 10],[74.20634921 35.79365079] ; [10.79365079  5.20634921],0
p10,1,0.01098,6.468607,[91 18] ; [9 7],[87.2 21.8] ; [12.8  3.2],0
u3,1,0.020069,5.40592,[17 27] ; [6 1],[19.84313725 24.15686275] ; [3.15686275 3.84313725],0
p8,1,0.022925,5.174204,[53 55] ; [ 3 13],[48.77419355 59.22580645] ; [7.22580645 8.77419355],0
n1,1,0.023342,5.142857,[10 20] ; [5 1],[12.5 17.5] ; [2.5 3.5],0
v3,1,0.091844,2.841749,[40 68] ; [ 2 12],[37.18032787 70.81967213] ; [4.81967213 9.18032787],0
n5,1,0.093192,2.818351,[78 32] ; [8 8],[75.07936508 34.92063492] ; [10.92063492  5.07936508],0
d2,1,0.09909,2.720124,[38 71] ; [9 7],[40.984 68.016] ; [6.016 9.984],0
u1,1,0.119812,2.419773,[  4 106] ; [ 2 14],[  5.23809524 104.76190476] ; [ 0.76190476 15.23809524],0
a6,1,0.13894,2.189657,[61 49] ; [12  4],[63.73015873 46.26984127] ; [9.26984127 6.73015873],0
p7,1,0.14956,2.076729,[65 44] ; [6 9],[62.41129032 46.58870968] ; [8.58870968 6.41129032],0
b1,1,0.151802,2.054051,[35 75] ; [8 8],[37.53968254 72.46031746] ; [ 5.46031746 10.53968254],0
p9,1,0.15945,1.979435,[95 13] ; [12  4],[93.19354839 14.80645161] ; [13.80645161  2.19354839],0
v1,1,0.179492,1.801823,[49 60] ; [ 4 11],[46.58870968 62.41129032] ; [6.41129032 8.58870968],0
a7,1,0.184374,1.762014,[73 36] ; [8 8],[70.632 38.368] ; [10.368  5.632],0
v2,1,0.204393,1.610704,[47 60] ; [ 4 11],[44.7295082 62.2704918] ; [6.2704918 8.7295082],0
s4,1,0.220692,1.499865,[20 90] ; [ 5 11],[21.82539683 88.17460317] ; [ 3.17460317 12.82539683],0
a2,1,0.235318,1.408426,[ 10 100] ; [ 3 13],[11.34920635 98.65079365] ; [ 1.65079365 14.34920635],0
p1,1,0.235318,1.408426,[ 10 100] ; [ 3 13],[11.34920635 98.65079365] ; [ 1.65079365 14.34920635],0
d3,1,0.259115,1.273481,[64 45] ; [7 9],[61.912 47.088] ; [9.088 6.912],0
s3,1,0.2999,1.074638,[53 56] ; [10  6],[54.936 54.064] ; [8.064 7.936],0
n3,1,0.317916,0.9975,[21  9] ; [7 1],[22.10526316  7.89473684] ; [5.89473684 2.10526316],0
b2,1,0.35407,0.858817,[25 39] ; [3 9],[23.57894737 40.42105263] ; [4.42105263 7.57894737],0
b3,1,0.35407,0.858817,[25 39] ; [3 9],[23.57894737 40.42105263] ; [4.42105263 7.57894737],0
a4,1,0.384915,0.754944,[36 74] ; [7 9],[37.53968254 72.46031746] ; [ 5.46031746 10.53968254],0
p2,1,0.402347,0.701301,[86 24] ; [11  5],[84.68253968 25.31746032] ; [12.31746032  3.68253968],0
s6,1,0.405768,0.691167,[64 41] ; [8 8],[62.47933884 42.52066116] ; [9.52066116 6.47933884],0
d4,1,0.427107,0.630677,[79 31] ; [13  3],[80.31746032 29.68253968] ; [11.68253968  4.31746032],0
p5,1,0.448484,0.57448,[14 95] ; [ 1 15],[13.08 95.92] ; [ 1.92 14.08],0
p11,1,0.454541,0.559304,[85 25] ; [11  5],[83.80952381 26.19047619] ; [12.19047619  3.80952381],0
s8,1,0.472787,0.515455,[38 72] ; [7 9],[39.28571429 70.71428571] ; [ 5.71428571 10.28571429],0
d5,1,0.5792,0.30753,[82 27] ; [11  5],[81.096 27.904] ; [11.904  4.096],0
s7,1,0.632161,0.229142,[39 65] ; [7 9],[39.86666667 64.13333333] ; [6.13333333 9.86666667],0
b5,1,0.650376,0.205426,[75 35] ; [10  6],[74.20634921 35.79365079] ; [10.79365079  5.20634921],0
s5,1,0.675218,0.175559,[33 70] ; [ 4 11],[32.29661017 70.70338983] ; [ 4.70338983 10.29661017],0
s2,1,0.682114,0.167755,[49 61] ; [8 8],[49.76190476 60.23809524] ; [7.23809524 8.76190476],0
u2,1,0.725486,0.123297,[22 22] ; [4 3],[22.43137255 21.56862745] ; [3.56862745 3.43137255],0
v4,1,0.764828,0.089489,[105   5] ; [15  1],[104.76190476   5.23809524] ; [15.23809524  0.76190476],0
p4,1,0.767209,0.087633,[57 52] ; [9 7],[57.552 51.448] ; [8.448 7.552],0
a3,1,0.775235,0.081529,[66 44] ; [9 7],[65.47619048 44.52380952] ; [9.52380952 6.47619048],0
p3,1,0.791895,0.069617,[52 58] ; [7 9],[51.50793651 58.49206349] ; [7.49206349 8.50793651],0
a8,1,0.84015,0.040684,[12 92] ; [ 2 13],[12.23529412 91.76470588] ; [ 1.76470588 13.23529412],0
b4,1,0.929707,0.007782,[70 40] ; [10  6],[69.84126984 40.15873016] ; [10.15873016  5.84126984],0
d1,1,0.938433,0.005966,[47 63] ; [7 9],[47.14285714 62.85714286] ; [6.85714286 9.14285714],0
a5,1,0.952292,0.00358,[61 49] ; [9 7],[61.11111111 48.88888889] ; [8.88888889 7.11111111],0
a1,1,0.986104,0.000303,[  7 103] ; [ 1 15],[  6.98412698 103.01587302] ; [ 1.01587302 14.98412698],0
p6,1,0.992813,8.1e-05,[40 67] ; [ 6 10],[40.01626016 66.98373984] ; [ 5.98373984 10.01626016],0
