Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.0114,6.401805,[18 49] ; [ 1 26],[13.54255319 53.45744681] ; [ 5.45744681 21.54255319],0
a2,1,0.015694,5.836807,[17 50] ; [ 1 26],[12.82978723 54.17021277] ; [ 5.17021277 21.82978723],0
d3,1,0.021172,5.312598,[51 16] ; [14 13],[46.32978723 20.67021277] ; [18.67021277  8.32978723],0
v4,1,0.040346,4.203263,[64  1] ; [24  3],[62.17391304  2.82608696] ; [25.82608696  1.17391304],0
n2,1,0.090969,2.857143,[12  2] ; [3 3],[10.5  3.5] ; [4.5 1.5],0
u4,1,0.116816,2.459504,[ 2 64] ; [ 3 24],[ 3.5483871 62.4516129] ; [ 1.4516129 25.5483871],0
n5,1,0.125656,2.345366,[57 10] ; [26  1],[59.15957447  7.84042553] ; [23.84042553  3.15957447],0
a6,1,0.151848,2.05359,[43 24] ; [13 14],[39.91489362 27.08510638] ; [16.08510638 10.91489362],0
n4,1,0.166279,1.916176,[58  9] ; [26  1],[59.87234043  7.12765957] ; [24.12765957  2.87234043],0
r2,1,0.179434,1.802306,[61  4] ; [23  4],[59.34782609  5.65217391] ; [24.65217391  2.34782609],0
d2,1,0.181885,1.782157,[32 35] ; [17 10],[34.92553191 32.07446809] ; [14.07446809 12.92553191],0
p8,1,0.222361,1.48907,[56 10] ; [20  7],[53.93548387 12.06451613] ; [22.06451613  4.93548387],0
p10,1,0.242053,1.3686,[63  3] ; [24  3],[61.74193548  4.25806452] ; [25.25806452  1.74193548],0
p1,1,0.250215,1.322106,[23 44] ; [ 6 21],[20.67021277 46.32978723] ; [ 8.32978723 18.67021277],0
a5,1,0.270822,1.21258,[52 15] ; [18  9],[49.89361702 17.10638298] ; [20.10638298  6.89361702],0
v2,1,0.30162,1.067019,[40 23] ; [14 13],[37.8 25.2] ; [16.2 10.8],0
p12,1,0.304267,1.0554,[19 47] ; [ 5 22],[17.03225806 48.96774194] ; [ 6.96774194 20.03225806],0
n1,1,0.329114,0.952381,[6 8] ; [4 2],[7. 7.] ; [3. 3.],0
p6,1,0.337563,0.919665,[43 22] ; [15 12],[40.97826087 24.02173913] ; [17.02173913  9.97826087],0
b5,1,0.344005,0.895447,[32 35] ; [10 17],[29.93617021 37.06382979] ; [12.06382979 14.93617021],0
u3,1,0.357197,0.847724,[10  4] ; [3 3],[9.1 4.9] ; [3.9 2.1],0
u2,1,0.357197,0.847724,[10  4] ; [3 3],[9.1 4.9] ; [3.9 2.1],0
s2,1,0.390207,0.738297,[40 25] ; [14 13],[38.15217391 26.84782609] ; [15.84782609 11.15217391],0
d4,1,0.403186,0.698803,[59  8] ; [22  5],[57.73404255  9.26595745] ; [23.26595745  3.73404255],0
a4,1,0.414134,0.666903,[31 36] ; [10 17],[29.22340426 37.77659574] ; [11.77659574 15.22340426],0
b1,1,0.486131,0.485079,[27 40] ; [13 14],[28.5106383 38.4893617] ; [11.4893617 15.5106383],0
s7,1,0.495581,0.464387,[45 16] ; [18  9],[43.67045455 17.32954545] ; [19.32954545  7.67045455],0
s1,1,0.49994,0.455065,[ 5 62] ; [ 1 26],[ 4.27659574 62.72340426] ; [ 1.72340426 25.27659574],0
s8,1,0.500879,0.453073,[41 24] ; [15 12],[39.56521739 25.43478261] ; [16.43478261 10.56521739],0
s5,1,0.504421,0.445623,[40 18] ; [16 10],[38.66666667 19.33333333] ; [17.33333333  8.66666667],0
p4,1,0.518967,0.415947,[59  8] ; [25  2],[59.87234043  7.12765957] ; [24.12765957  2.87234043],0
a8,1,0.523075,0.407825,[10 49] ; [ 3 23],[ 9.02352941 49.97647059] ; [ 3.97647059 22.02352941],0
r1,1,0.529215,0.395898,[55 11] ; [21  6],[53.93548387 12.06451613] ; [22.06451613  4.93548387],0
n3,1,0.550097,0.357143,[9 5] ; [3 3],[8.4 5.6] ; [3.6 2.4],0
r3,1,0.590642,0.289343,[62  3] ; [25  2],[61.4673913  3.5326087] ; [25.5326087  1.4673913],0
d5,1,0.630712,0.231096,[55 12] ; [21  6],[54.17021277 12.82978723] ; [21.82978723  5.17021277],0
v1,1,0.647166,0.209492,[45 19] ; [17  9],[44.08888889 19.91111111] ; [17.91111111  8.08888889],0
p7,1,0.674331,0.176578,[53 12] ; [23  4],[53.69565217 11.30434783] ; [22.30434783  4.69565217],0
s6,1,0.688992,0.160179,[51 10] ; [20  5],[50.36046512 10.63953488] ; [20.63953488  4.36046512],0
b4,1,0.721111,0.127431,[37 30] ; [16 11],[37.77659574 29.22340426] ; [15.22340426 11.77659574],0
b2,1,0.73288,0.116484,[23 25] ; [11 10],[23.65217391 24.34782609] ; [10.34782609 10.65217391],0
b3,1,0.73288,0.116484,[23 25] ; [11 10],[23.65217391 24.34782609] ; [10.34782609 10.65217391],0
s4,1,0.745074,0.105717,[ 8 57] ; [ 4 23],[ 8.47826087 56.52173913] ; [ 3.52173913 23.47826087],0
r4,1,0.747889,0.103313,[61  6] ; [24  3],[60.58510638  6.41489362] ; [24.41489362  2.58510638],0
n6,1,0.796461,0.066528,[63  4] ; [25  2],[62.72340426  4.27659574] ; [25.27659574  1.72340426],0
a1,1,0.860594,0.030842,[ 9 58] ; [ 4 23],[ 9.26595745 57.73404255] ; [ 3.73404255 23.26595745],0
p11,1,0.860594,0.030842,[58  9] ; [23  4],[57.73404255  9.26595745] ; [23.26595745  3.73404255],0
p9,1,0.8675,0.027834,[64  2] ; [26  1],[63.87096774  2.12903226] ; [26.12903226  0.87096774],0
a3,1,0.886915,0.020223,[53 14] ; [21  6],[52.74468085 14.25531915] ; [21.25531915  5.74468085],0
v3,1,0.889797,0.019199,[34 29] ; [15 12],[34.3 28.7] ; [14.7 12.3],0
s3,1,0.898029,0.016423,[40 25] ; [17 10],[40.27173913 24.72826087] ; [16.72826087 10.27173913],0
p3,1,0.944746,0.004803,[55 12] ; [22  5],[54.88297872 12.11702128] ; [22.11702128  4.88297872],0
d1,1,0.97999,0.000629,[42 25] ; [17 10],[42.05319149 24.94680851] ; [16.94680851 10.05319149],0
