Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,6.7e-05,15.886527,[121  13] ; [93 38],[108.21132075  25.78867925] ; [105.78867925  25.21132075],1
s7,1,9.7e-05,15.187518,[89 37] ; [58 67],[73.79282869 52.20717131] ; [73.20717131 51.79282869],1
p7,1,0.000324,12.928808,[118  15] ; [93 38],[106.29924242  26.70075758] ; [104.70075758  26.29924242],1
p8,1,0.002105,9.455819,[101  31] ; [77 54],[89.33840304 42.66159696] ; [88.66159696 42.33840304],0
p12,1,0.004793,7.956065,[ 26 107] ; [ 10 121],[ 18.13636364 114.86363636] ; [ 17.86363636 113.13636364],0
s2,1,0.00678,7.330311,[83 50] ; [59 70],[72.08396947 60.91603053] ; [69.91603053 59.08396947],0
p5,1,0.012048,6.303753,[ 31 103] ; [ 15 116],[ 23.26037736 110.73962264] ; [ 22.73962264 108.26037736],0
s8,1,0.016489,5.749925,[81 52] ; [60 70],[71.30418251 61.69581749] ; [69.69581749 60.30418251],0
p1,1,0.026607,4.916165,[ 22 111] ; [ 10 121],[ 16.12121212 116.87878788] ; [ 15.87878788 115.12121212],0
b3,1,0.029326,4.748364,[46 43] ; [30 55],[38.87356322 50.12643678] ; [37.12643678 47.87356322],0
b2,1,0.029326,4.748364,[46 43] ; [30 55],[38.87356322 50.12643678] ; [37.12643678 47.87356322],0
s6,1,0.035104,4.440128,[102  29] ; [86 44],[94.36015326 36.63984674] ; [93.63984674 36.36015326],0
s4,1,0.060644,3.519694,[ 24 109] ; [ 13 117],[ 18.71102662 114.28897338] ; [ 18.28897338 111.71102662],0
r4,1,0.069401,3.297127,[123  11] ; [127   4],[126.41509434   7.58490566] ; [123.58490566   7.41509434],0
s5,1,0.078938,3.086626,[61 65] ; [48 80],[54.07086614 71.92913386] ; [54.92913386 73.07086614],0
n6,1,0.096242,2.766747,[123  10] ; [112  18],[118.84030418  14.15969582] ; [116.15969582  13.84030418],0
a7,1,0.100614,2.695788,[106  27] ; [93 38],[100.25378788  32.74621212] ; [98.74621212 32.25378788],0
u1,1,0.109931,2.555219,[39 95] ; [ 27 104],[ 33.37358491 100.62641509] ; [32.62641509 98.37358491],0
b1,1,0.111783,2.528825,[62 72] ; [48 83],[55.62264151 78.37735849] ; [54.37735849 76.62264151],0
p9,1,0.117411,2.451524,[125   8] ; [116  15],[121.41287879  11.58712121] ; [119.58712121  11.41287879],0
n4,1,0.132643,2.261292,[119  15] ; [107  23],[114.71212121  19.28787879] ; [111.28787879  18.71212121],0
u4,1,0.160429,1.970181,[  6 128] ; [  2 129],[  4.04528302 129.95471698] ; [  3.95471698 127.04528302],0
r1,1,0.192971,1.69479,[111  23] ; [115  15],[114.71212121  19.28787879] ; [111.28787879  18.71212121],0
v1,1,0.197544,1.660443,[99 34] ; [86 42],[94.27203065 38.72796935] ; [90.72796935 37.27203065],0
p11,1,0.205597,1.60216,[109  25] ; [114  17],[112.76226415  21.23773585] ; [110.23773585  20.76226415],0
v4,1,0.205806,1.600688,[126   7] ; [128   3],[127.96212121   5.03787879] ; [126.03787879   4.96212121],0
a1,1,0.228057,1.452941,[ 11 123] ; [  6 125],[  8.59622642 125.40377358] ; [  8.40377358 122.59622642],0
n3,1,0.232576,1.42504,[17  4] ; [16  1],[18.23684211  2.76315789] ; [14.76315789  2.23684211],0
r3,1,0.258919,1.274527,[128   5] ; [129   2],[129.47348485   3.52651515] ; [127.52651515   3.47348485],0
