Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,2e-06,22.732342,[86 21] ; [ 2 10],[79.12605042 27.87394958] ; [8.87394958 3.12605042],1
a6,1,1.4e-05,18.935574,[83 25] ; [ 2 10],[76.5 31.5] ; [8.5 3.5],1
r2,1,4.3e-05,16.739183,[97  9] ; [6 6],[92.52542373 13.47457627] ; [10.47457627  1.52542373],1
d5,1,0.000442,12.345679,[86 22] ; [4 8],[81. 27.] ; [9. 3.],1
a5,1,0.001238,10.432099,[70 38] ; [ 2 10],[64.8 43.2] ; [7.2 4.8],0
a7,1,0.003482,8.536155,[80 28] ; [4 8],[75.6 32.4] ; [8.4 3.6],0
d1,1,0.007119,7.242798,[53 55] ; [ 1 11],[48.6 59.4] ; [5.4 6.6],0
d3,1,0.008342,6.958539,[76 31] ; [4 8],[71.93277311 35.06722689] ; [8.06722689 3.93277311],0
s6,1,0.016367,5.763001,[66 42] ; [3 9],[62.1 45.9] ; [6.9 5.1],0
v4,1,0.017544,5.641071,[99  6] ; [9 3],[96.92307692  8.07692308] ; [11.07692308  0.92307692],0
d4,1,0.022624,5.19716,[85 22] ; [6 6],[81.82352941 25.17647059] ; [9.17647059 2.82352941],0
n4,1,0.038099,4.300595,[61 47] ; [3 9],[57.6 50.4] ; [6.4 5.6],0
p8,1,0.043671,4.069219,[50 56] ; [ 2 10],[46.71186441 59.28813559] ; [5.28813559 6.71186441],0
s3,1,0.043809,4.063913,[59 47] ; [3 9],[55.69491525 50.30508475] ; [6.30508475 5.69491525],0
p11,1,0.044011,4.056136,[76 32] ; [5 7],[72.9 35.1] ; [8.1 3.9],0
p3,1,0.064078,3.428571,[48 60] ; [ 2 10],[45. 63.] ; [5. 7.],0
p4,1,0.067889,3.333333,[57 51] ; [3 9],[54. 54.] ; [6. 6.],0
b1,1,0.088199,2.906934,[53 55] ; [9 3],[55.8 52.2] ; [6.2 5.8],0
s2,1,0.099024,2.7212,[44 63] ; [ 2 10],[41.36134454 65.63865546] ; [4.63865546 7.36134454],0
v2,1,0.115212,2.481231,[49 51] ; [3 9],[46.42857143 53.57142857] ; [5.57142857 6.42857143],0
a3,1,0.133083,2.256169,[69 39] ; [5 7],[66.6 41.4] ; [7.4 4.6],0
n2,1,0.134842,2.235853,[23  6] ; [3 3],[21.54285714  7.45714286] ; [4.45714286 1.54285714],0
d2,1,0.144415,2.130273,[41 67] ; [ 2 10],[38.7 69.3] ; [4.3 7.7],0
v3,1,0.158225,1.991111,[27 73] ; [ 1 11],[25. 75.] ; [3. 9.],0
s8,1,0.16046,1.969882,[40 68] ; [ 2 10],[37.8 70.2] ; [4.2 7.8],0
p10,1,0.260932,1.263806,[71 36] ; [6 6],[69.23529412 37.76470588] ; [7.76470588 4.23529412],0
s7,1,0.30258,1.062788,[37 65] ; [2 8],[35.51785714 66.48214286] ; [3.48214286 6.51785714],0
n1,1,0.450243,0.57004,[ 9 19] ; [1 5],[ 8.23529412 19.76470588] ; [1.76470588 4.23529412],0
a4,1,0.558746,0.34188,[36 72] ; [3 9],[35.1 72.9] ; [3.9 8.1],0
u3,1,0.560786,0.338346,[26 12] ; [4 3],[25.33333333 12.66666667] ; [4.66666667 2.33333333],0
b5,1,0.563643,0.333436,[72 36] ; [7 5],[71.1 36.9] ; [7.9 4.1],0
p5,1,0.582657,0.301959,[  5 102] ; [ 1 11],[  5.39495798 101.60504202] ; [ 0.60504202 11.39495798],0
s4,1,0.588404,0.292843,[20 88] ; [3 9],[20.7 87.3] ; [2.3 9.7],0
n3,1,0.638994,0.220061,[22  7] ; [4 2],[21.54285714  7.45714286] ; [4.45714286 1.54285714],0
p9,1,0.700178,0.148287,[77 30] ; [8 4],[76.42857143 30.57142857] ; [8.57142857 3.42857143],0
p7,1,0.725893,0.122916,[63 42] ; [6 5],[62.45689655 42.54310345] ; [6.54310345 4.45689655],0
v1,1,0.800336,0.063965,[48 56] ; [6 6],[48.4137931 55.5862069] ; [5.5862069 6.4137931],0
p6,1,0.847105,0.037177,[29 76] ; [3 9],[28.71794872 76.28205128] ; [3.28205128 8.71794872],0
s5,1,0.881345,0.02228,[24 80] ; [3 9],[24.20689655 79.79310345] ; [2.79310345 9.20689655],0
n5,1,0.92997,0.007723,[46 61] ; [5 7],[45.85714286 61.14285714] ; [5.14285714 6.85714286],0
b4,1,0.950637,0.003833,[64 44] ; [7 5],[63.9 44.1] ; [7.1 4.9],0
b2,1,0.956814,0.002932,[15 48] ; [1 3],[15.04477612 47.95522388] ; [0.95522388 3.04477612],0
b3,1,0.956814,0.002932,[15 48] ; [1 3],[15.04477612 47.95522388] ; [0.95522388 3.04477612],0
u2,1,0.983911,0.000407,[27 11] ; [5 2],[27.02222222 10.97777778] ; [4.97777778 2.02222222],0
