Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.3e-05,17.959232,[55  6] ; [20 18],[46.21212121 14.78787879] ; [28.78787879  9.21212121],1
r4,1,6.5e-05,15.941525,[47 15] ; [14 25],[37.44554455 24.55445545] ; [23.55445545 15.44554455],1
v4,1,0.000102,15.104621,[56  6] ; [21 16],[48.22222222 13.77777778] ; [28.77777778  8.22222222],1
v2,1,0.000158,14.272044,[29 30] ; [ 4 32],[20.49473684 38.50526316] ; [12.50526316 23.49473684],1
n3,1,0.000702,11.483043,[17  1] ; [6 9],[12.54545455  5.45454545] ; [10.45454545  4.54545455],1
n6,1,0.000729,11.414778,[49 13] ; [17 20],[41.33333333 20.66666667] ; [24.66666667 12.33333333],1
r1,1,0.001434,10.161058,[43 19] ; [14 24],[35.34 26.66] ; [21.66 16.34],0
p9,1,0.003686,8.432541,[45 17] ; [16 21],[38.2020202 23.7979798] ; [22.7979798 14.2020202],0
p10,1,0.017536,5.641896,[38 24] ; [14 24],[32.24 29.76] ; [19.76 18.24],0
r2,1,0.021018,5.325292,[53  9] ; [25 13],[48.36 13.64] ; [29.64  8.36],0
a7,1,0.030708,4.669202,[35 27] ; [13 25],[29.76 32.24] ; [18.24 19.76],0
v1,1,0.038458,4.284651,[27 34] ; [ 9 29],[22.18181818 38.81818182] ; [13.81818182 24.18181818],0
a3,1,0.091435,2.848935,[36 26] ; [15 22],[31.93939394 30.06060606] ; [19.06060606 17.93939394],0
p2,1,0.098087,2.736371,[42 20] ; [20 19],[38.05940594 23.94059406] ; [23.94059406 15.05940594],0
d4,1,0.098334,2.732359,[30 32] ; [12 26],[26.04 35.96] ; [15.96 22.04],0
s3,1,0.105515,2.620149,[17 44] ; [17 22],[20.74 40.26] ; [13.26 25.74],0
u2,1,0.119499,2.423878,[12 14] ; [ 6 18],[ 9.36 16.64] ; [ 8.64 15.36],0
p1,1,0.140351,2.17411,[ 9 53] ; [ 2 37],[ 6.75247525 55.24752475] ; [ 4.24752475 34.75247525],0
a1,1,0.148144,2.091254,[ 3 59] ; [ 5 34],[ 4.91089109 57.08910891] ; [ 3.08910891 35.91089109],0
a4,1,0.155355,2.018865,[19 43] ; [ 7 32],[15.96039604 46.03960396] ; [10.03960396 28.96039604],0
s8,1,0.161282,1.962169,[13 49] ; [ 4 35],[10.43564356 51.56435644] ; [ 6.56435644 32.43564356],0
p7,1,0.180854,1.790595,[32 28] ; [15 23],[28.7755102 31.2244898] ; [18.2244898 19.7755102],0
n2,1,0.207596,1.58811,[15  3] ; [11  6],[13.37142857  4.62857143] ; [12.62857143  4.37142857],0
u3,1,0.216329,1.528558,[12 14] ; [ 7 17],[ 9.88 16.12] ; [ 9.12 14.88],0
