Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.000332,12.878436,[24 35] ; [42 15],[33.56896552 25.43103448] ; [32.43103448 24.56896552],1
p10,1,0.000961,10.902038,[27 30] ; [42 12],[35.43243243 21.56756757] ; [33.56756757 20.43243243],1
p9,1,0.002084,9.474084,[29 28] ; [44 12],[36.82300885 20.17699115] ; [36.17699115 19.82300885],0
a5,1,0.002266,9.320176,[19 40] ; [35 23],[27.23076923 31.76923077] ; [26.76923077 31.23076923],0
r4,1,0.02307,5.163259,[33 26] ; [44 14],[38.82905983 20.17094017] ; [38.17094017 19.82905983],0
d5,1,0.032369,4.578822,[19 40] ; [30 28],[24.70940171 34.29059829] ; [24.29059829 33.70940171],0
a6,1,0.033395,4.52539,[24 35] ; [35 23],[29.75213675 29.24786325] ; [29.24786325 28.75213675],0
r3,1,0.038894,4.265487,[40 19] ; [48  9],[44.75862069 14.24137931] ; [43.24137931 13.75862069],0
d3,1,0.048892,3.879047,[12 47] ; [21 36],[16.78448276 42.21551724] ; [16.21551724 40.78448276],0
b5,1,0.051111,3.804634,[26 33] ; [36 22],[31.26495726 27.73504274] ; [30.73504274 27.26495726],0
b1,1,0.069008,3.306453,[28 31] ; [18 40],[23.1965812 35.8034188] ; [22.8034188 35.1965812],0
a3,1,0.079493,3.075236,[22 37] ; [30 26],[26.67826087 32.32173913] ; [25.32173913 30.67826087],0
p8,1,0.083937,2.986965,[16 43] ; [23 31],[20.36283186 38.63716814] ; [18.63716814 35.36283186],0
n6,1,0.084254,2.98086,[36 23] ; [44 14],[40.34188034 18.65811966] ; [39.65811966 18.34188034],0
v1,1,0.118211,2.440861,[19 40] ; [26 30],[23.08695652 35.91304348] ; [21.91304348 34.08695652],0
b4,1,0.166087,1.917909,[34 25] ; [26 32],[30.25641026 28.74358974] ; [29.74358974 28.25641026],0
s8,1,0.1932,1.693047,[13 46] ; [19 39],[16.13675214 42.86324786] ; [15.86324786 42.13675214],0
p1,1,0.199573,1.645494,[ 4 55] ; [ 8 49],[ 6.10344828 52.89655172] ; [ 5.89655172 51.10344828],0
r2,1,0.209696,1.573521,[46 12] ; [51  7],[48.5  9.5] ; [48.5  9.5],0
s6,1,0.226171,1.464781,[25 33] ; [31 26],[28.24347826 29.75652174] ; [27.75652174 29.24347826],0
n3,1,0.232932,1.422868,[20  9] ; [16  3],[21.75  7.25] ; [14.25  4.75],0
u3,1,0.250747,1.319136,[12 25] ; [13 15],[14.23076923 22.76923077] ; [10.76923077 17.23076923],0
s7,1,0.282871,1.153247,[16 40] ; [21 34],[18.66666667 37.33333333] ; [18.33333333 36.66666667],0
s1,1,0.28458,1.145086,[ 3 54] ; [ 6 50],[ 4.53982301 52.46017699] ; [ 4.46017699 51.53982301],0
p2,1,0.290275,1.118346,[37 22] ; [41 16],[39.67241379 19.32758621] ; [38.32758621 18.67241379],0
s2,1,0.296997,1.087629,[18 40] ; [23 34],[20.67826087 37.32173913] ; [20.32173913 36.67826087],0
s5,1,0.297844,1.083823,[ 9 49] ; [13 43],[11.19298246 46.80701754] ; [10.80701754 45.19298246],0
a4,1,0.334145,0.932767,[10 48] ; [14 43],[12.10434783 45.89565217] ; [11.89565217 45.10434783],0
b3,1,0.383516,0.7594,[ 9 24] ; [ 5 23],[ 7.57377049 25.42622951] ; [ 6.42622951 21.57377049],0
b2,1,0.383516,0.7594,[ 9 24] ; [ 5 23],[ 7.57377049 25.42622951] ; [ 6.42622951 21.57377049],0
p7,1,0.424513,0.637788,[24 35] ; [26 28],[26.10619469 32.89380531] ; [23.89380531 30.10619469],0
a2,1,0.448649,0.574064,[ 3 56] ; [ 5 53],[ 4.03418803 54.96581197] ; [ 3.96581197 54.03418803],0
v2,1,0.495657,0.464224,[16 39] ; [19 35],[17.66055046 37.33944954] ; [17.33944954 36.66055046],0
n2,1,0.532375,0.389857,[22  9] ; [15  4],[22.94  8.06] ; [14.06  4.94],0
v3,1,0.618158,0.248464,[12 45] ; [14 42],[13.11504425 43.88495575] ; [12.88495575 43.11504425],0
a1,1,0.63362,0.227184,[ 2 57] ; [ 3 55],[ 2.52136752 56.47863248] ; [ 2.47863248 55.52136752],0
n5,1,0.640913,0.21755,[43 16] ; [40 18],[41.85470085 17.14529915] ; [41.14529915 16.85470085],0
n4,1,0.655998,0.198422,[37 22] ; [38 19],[38.14655172 20.85344828] ; [36.85344828 20.14655172],0
u2,1,0.69207,0.156853,[15 22] ; [10 18],[14.23076923 22.76923077] ; [10.76923077 17.23076923],0
p6,1,0.701636,0.146776,[12 46] ; [10 46],[11.19298246 46.80701754] ; [10.80701754 45.19298246],0
p5,1,0.705913,0.142393,[ 3 56] ; [ 2 53],[ 2.5877193 56.4122807] ; [ 2.4122807 52.5877193],0
s3,1,0.721126,0.127416,[25 33] ; [26 30],[25.94736842 32.05263158] ; [25.05263158 30.94736842],0
p11,1,0.792453,0.069236,[37 22] ; [35 23],[36.30769231 22.69230769] ; [35.69230769 22.30769231],0
p4,1,0.793077,0.06881,[17 42] ; [18 40],[17.64957265 41.35042735] ; [17.35042735 40.64957265],0
d2,1,0.859228,0.031455,[13 46] ; [12 46],[12.60683761 46.39316239] ; [12.39316239 45.60683761],0
s4,1,0.928407,0.008073,[11 48] ; [11 46],[11.18965517 47.81034483] ; [10.81034483 46.18965517],0
