Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,8e-06,20.023414,[15 21] ; [10 99],[ 6.20689655 29.79310345] ; [18.79310345 90.20689655],1
p7,1,0.002029,9.522917,[27  9] ; [48 58],[19.01408451 16.98591549] ; [55.98591549 50.01408451],0
p3,1,0.002535,9.115458,[21 15] ; [33 76],[13.40689655 22.59310345] ; [40.59310345 68.40689655],0
p4,1,0.006966,7.281734,[24 12] ; [44 64],[17. 19.] ; [51. 57.],0
p8,1,0.010756,6.505213,[21 15] ; [37 71],[14.5 21.5] ; [43.5 64.5],0
b1,1,0.023878,5.103438,[24 12] ; [49 60],[18.12413793 17.87586207] ; [54.87586207 54.12413793],0
s5,1,0.036699,4.364321,[11 21] ; [18 87],[ 6.77372263 25.22627737] ; [22.22627737 82.77372263],0
a5,1,0.041349,4.161649,[18 18] ; [75 34],[23.08965517 12.91034483] ; [69.91034483 39.08965517],0
b2,1,0.042039,4.133644,[ 8 11] ; [13 54],[ 4.63953488 14.36046512] ; [16.36046512 50.63953488],0
b3,1,0.042039,4.133644,[ 8 11] ; [13 54],[ 4.63953488 14.36046512] ; [16.36046512 50.63953488],0
s8,1,0.119154,2.428406,[16 20] ; [33 76],[12.16551724 23.83448276] ; [36.83448276 72.16551724],0
s6,1,0.121335,2.4,[24 12] ; [56 52],[20. 16.] ; [60. 48.],0
u3,1,0.136213,2.220227,[8 7] ; [29 10],[10.27777778  4.72222222] ; [26.72222222 12.27777778],0
r1,1,0.164915,1.928571,[25 11] ; [87 21],[28.  8.] ; [84. 24.],0
a4,1,0.179032,1.805642,[16 20] ; [35 74],[12.66206897 23.33793103] ; [38.33793103 70.66206897],0
p2,1,0.207446,1.58916,[29  7] ; [76 33],[26.06896552  9.93103448] ; [78.93103448 30.06896552],0
v1,1,0.21034,1.569084,[18 18] ; [40 65],[14.80851064 21.19148936] ; [43.19148936 61.80851064],0
n5,1,0.225812,1.467047,[17 18] ; [40 68],[13.95104895 21.04895105] ; [43.04895105 64.95104895],0
r2,1,0.228069,1.452862,[30  6] ; [97 10],[31.97202797  4.02797203] ; [95.02797203 11.97202797],0
s2,1,0.245278,1.35,[19 17] ; [45 63],[16. 20.] ; [48. 60.],0
p1,1,0.25613,1.289552,[ 4 32] ; [  6 102],[ 2.5 33.5] ; [  7.5 100.5],0
d2,1,0.279154,1.171204,[17 19] ; [40 68],[14.25 21.75] ; [42.75 65.25],0
s7,1,0.294405,1.099369,[15 20] ; [33 67],[12.44444444 22.55555556] ; [35.55555556 64.44444444],0
n2,1,0.315866,1.005987,[12  2] ; [26 10],[10.64  3.36] ; [27.36  8.64],0
v4,1,0.347872,0.881204,[31  5] ; [97  9],[32.45070423  3.54929577] ; [95.54929577 10.45070423],0
n3,1,0.387888,0.745554,[9 5] ; [26  8],[10.20833333  3.79166667] ; [24.79166667  9.20833333],0
b5,1,0.388879,0.742444,[25 11] ; [67 42],[22.84137931 13.15862069] ; [69.15862069 39.84137931],0
d1,1,0.41475,0.665145,[19 17] ; [49 60],[16.88275862 19.11724138] ; [51.11724138 57.88275862],0
n1,1,0.45039,0.56967,[6 7] ; [12 23],[4.875 8.125] ; [13.125 21.875],0
r4,1,0.497388,0.460505,[29  7] ; [93 16],[30.28965517  5.71034483] ; [91.71034483 17.28965517],0
a7,1,0.514197,0.425517,[23 13] ; [76 33],[24.57931034 11.42068966] ; [74.42068966 34.57931034],0
s1,1,0.520231,0.413435,[ 1 34] ; [  6 102],[ 1.71328671 33.28671329] ; [  5.28671329 102.71328671],0
p9,1,0.535833,0.383319,[26 10] ; [72 36],[24.5 11.5] ; [73.5 34.5],0
a3,1,0.594183,0.283859,[21 15] ; [69 40],[22.34482759 13.65517241] ; [67.65517241 41.34482759],0
u1,1,0.603251,0.270121,[ 4 32] ; [  9 100],[ 3.22758621 32.77241379] ; [ 9.77241379 99.22758621],0
d5,1,0.656721,0.197531,[28  8] ; [80 28],[27.  9.] ; [81. 27.],0
b4,1,0.667308,0.184768,[19 17] ; [62 47],[20.11034483 15.88965517] ; [60.88965517 48.11034483],0
p10,1,0.693012,0.155844,[23 13] ; [65 43],[22. 14.] ; [66. 42.],0
p5,1,0.792703,0.069065,[ 1 35] ; [  4 104],[ 1.25 34.75] ; [  3.75 104.25],0
s3,1,0.79497,0.067528,[20 15] ; [59 49],[19.33566434 15.66433566] ; [59.66433566 48.33566434],0
a8,1,0.820117,0.051708,[ 3 29] ; [11 91],[ 3.34328358 28.65671642] ; [10.65671642 91.34328358],0
v3,1,0.833719,0.044072,[ 9 26] ; [27 71],[ 9.47368421 25.52631579] ; [26.52631579 71.47368421],0
a6,1,0.836497,0.042591,[24 12] ; [74 34],[24.5 11.5] ; [73.5 34.5],0
v2,1,0.844099,0.038672,[17 18] ; [50 49],[17.5 17.5] ; [49.5 49.5],0
d3,1,0.844668,0.038387,[23 12] ; [69 39],[22.51748252 12.48251748] ; [69.48251748 38.51748252],0
a2,1,0.87886,0.02323,[ 6 30] ; [17 92],[ 5.71034483 30.28965517] ; [17.28965517 91.71034483],0
u2,1,0.909988,0.012781,[11  4] ; [28 11],[10.83333333  4.16666667] ; [28.16666667 10.83333333],0
d4,1,0.92705,0.008383,[28  8] ; [84 23],[28.1958042  7.8041958] ; [83.8041958 23.1958042],0
p11,1,0.949515,0.004009,[23 13] ; [69 40],[22.84137931 13.15862069] ; [69.15862069 39.84137931],0
n4,1,0.961934,0.002278,[18 18] ; [55 54],[18.12413793 17.87586207] ; [54.87586207 54.12413793],0
