Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.712605,[56  9] ; [15 20],[46.15 18.85] ; [24.85 10.15],1
r2,1,4e-05,16.867235,[61  4] ; [20 13],[53.7244898 11.2755102] ; [27.2755102  5.7244898],1
r3,1,0.034797,4.455095,[61  4] ; [28  7],[57.85  7.15] ; [31.15  3.85],0
a4,1,0.042485,4.115785,[26 39] ; [ 7 28],[21.45 43.55] ; [11.55 23.45],0
a7,1,0.047458,3.92906,[43 22] ; [16 19],[38.35 26.65] ; [20.65 14.35],0
b1,1,0.059172,3.56044,[28 37] ; [22 13],[32.5 32.5] ; [17.5 17.5],0
n4,1,0.063696,3.438438,[31 34] ; [10 25],[26.65 38.35] ; [14.35 20.65],0
p11,1,0.081771,3.029344,[36 29] ; [13 22],[31.85 33.15] ; [17.15 17.85],0
p7,1,0.086926,2.930403,[22 43] ; [18 17],[26. 39.] ; [14. 21.],0
u1,1,0.115235,2.480913,[ 8 57] ; [ 1 34],[ 5.85 59.15] ; [ 3.15 31.85],0
v1,1,0.127204,2.326305,[28 37] ; [ 9 24],[24.54081633 40.45918367] ; [12.45918367 20.54081633],0
b4,1,0.160976,1.96503,[41 24] ; [17 18],[37.7 27.3] ; [20.3 14.7],0
n6,1,0.186467,1.745314,[30 35] ; [21 14],[33.15 31.85] ; [17.85 17.15],0
p2,1,0.199183,1.648352,[42 23] ; [18 17],[39. 26.] ; [21. 14.],0
a2,1,0.215115,1.536666,[ 9 56] ; [ 2 33],[ 7.15 57.85] ; [ 3.85 31.15],0
a5,1,0.222495,1.488206,[38 27] ; [16 19],[35.1 29.9] ; [18.9 16.1],0
n3,1,0.259071,1.273713,[17  5] ; [9 6],[15.45945946  6.54054054] ; [10.54054054  4.45945946],0
v4,1,0.294507,1.098901,[54 11] ; [26  9],[52. 13.] ; [28.  7.],0
s4,1,0.36602,0.817132,[ 7 58] ; [ 6 29],[ 8.45 56.55] ; [ 4.55 30.45],0
n2,1,0.372944,0.793833,[13  9] ; [11  4],[14.27027027  7.72972973] ; [9.72972973 5.27027027],0
a8,1,0.440378,0.595297,[ 6 52] ; [ 2 33],[ 4.98924731 53.01075269] ; [ 3.01075269 31.98924731],0
d5,1,0.441756,0.591716,[44 21] ; [21 14],[42.25 22.75] ; [22.75 12.25],0
p3,1,0.454278,0.559955,[20 45] ; [13 21],[21.66666667 43.33333333] ; [11.33333333 22.66666667],0
p4,1,0.471543,0.518358,[22 43] ; [14 20],[23.63636364 41.36363636] ; [12.36363636 21.63636364],0
n1,1,0.47522,0.509814,[ 7 16] ; [ 3 12],[ 6.05263158 16.94736842] ; [ 3.94736842 11.05263158],0
s5,1,0.506806,0.440656,[ 9 52] ; [ 7 28],[10.16666667 50.83333333] ; [ 5.83333333 29.16666667],0
d4,1,0.510569,0.4329,[52 13] ; [26  9],[50.7 14.3] ; [27.3  7.7],0
a1,1,0.520912,0.412088,[ 2 63] ; [ 2 33],[ 2.6 62.4] ; [ 1.4 33.6],0
v2,1,0.546196,0.364177,[31 32] ; [15 20],[29.57142857 33.42857143] ; [16.42857143 18.57142857],0
a6,1,0.598344,0.2775,[37 28] ; [18 17],[35.75 29.25] ; [19.25 15.75],0
s3,1,0.618714,0.247679,[25 40] ; [11 22],[23.87755102 41.12244898] ; [12.12244898 20.87755102],0
d3,1,0.66868,0.18315,[38 27] ; [22 13],[39. 26.] ; [21. 14.],0
b5,1,0.66868,0.18315,[40 25] ; [20 15],[39. 26.] ; [21. 14.],0
p9,1,0.677078,0.173434,[19 46] ; [11 22],[19.89795918 45.10204082] ; [10.10204082 22.89795918],0
s6,1,0.689578,0.159543,[23 41] ; [14 21],[23.91919192 40.08080808] ; [13.08080808 21.91919192],0
v3,1,0.703234,0.14513,[16 43] ; [ 8 26],[15.22580645 43.77419355] ; [ 8.77419355 25.22580645],0
s8,1,0.707675,0.14061,[11 53] ; [ 5 30],[10.34343434 53.65656566] ; [ 5.65656566 29.34343434],0
u2,1,0.710005,0.138272,[11 16] ; [7 8],[11.57142857 15.42857143] ; [6.42857143 8.57142857],0
d1,1,0.766199,0.088417,[28 37] ; [14 21],[27.3 37.7] ; [14.7 20.3],0
s2,1,0.795069,0.067462,[17 48] ; [10 25],[17.55 47.45] ; [ 9.45 25.55],0
s7,1,0.808726,0.058598,[13 46] ; [ 8 25],[13.4673913 45.5326087] ; [ 7.5326087 25.4673913],0
u3,1,0.83491,0.043434,[14 14] ; [7 8],[13.6744186 14.3255814] ; [7.3255814 7.6744186],0
a3,1,0.855833,0.033008,[37 28] ; [20 14],[37.42424242 27.57575758] ; [19.57575758 14.42424242],0
p6,1,0.856263,0.032809,[13 51] ; [ 6 26],[12.66666667 51.33333333] ; [ 6.33333333 25.66666667],0
p1,1,0.91495,0.011406,[ 4 60] ; [ 2 33],[ 3.87878788 60.12121212] ; [ 2.12121212 32.87878788],0
s1,1,0.929653,0.007794,[ 4 61] ; [ 2 33],[ 3.9 61.1] ; [ 2.1 32.9],0
b2,1,0.966693,0.001744,[10 26] ; [ 6 16],[ 9.93103448 26.06896552] ; [ 6.06896552 15.93103448],0
b3,1,0.966693,0.001744,[10 26] ; [ 6 16],[ 9.93103448 26.06896552] ; [ 6.06896552 15.93103448],0
p8,1,0.985008,0.000353,[19 46] ; [10 24],[19.04040404 45.95959596] ; [ 9.95959596 24.04040404],0
d2,1,1.0,0.0,[26 39] ; [14 21],[26. 39.] ; [14. 21.],0
