Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,139.711279,[ 16 107] ; [190  54],[69.04087193 53.95912807] ; [136.95912807 107.04087193],1
d5,1,0.0,94.831281,[72 51] ; [238   6],[103.89645777  19.10354223] ; [206.10354223  37.89645777],1
d3,1,0.0,89.817174,[48 74] ; [213  32],[86.76294278 35.23705722] ; [174.23705722  70.76294278],1
d4,1,0.0,71.261682,[82 40] ; [239   5],[107.  15.] ; [214.  30.],1
a4,1,0.0,43.58983,[33 89] ; [157  90],[62.81842818 59.18157182] ; [127.18157182 119.81842818],1
a2,1,0.0,41.826885,[  9 114] ; [ 98 149],[35.57027027 87.42972973] ; [ 71.42972973 175.57027027],1
u1,1,0.0,40.299506,[  5 118] ; [ 84 163],[29.58648649 93.41351351] ; [ 59.41351351 187.58648649],1
a5,1,0.0,30.007288,[76 46] ; [215  32],[96.21138211 25.78861789] ; [194.78861789  52.21138211],1
a3,1,2e-05,18.179226,[80 42] ; [209  37],[95.80978261 26.19021739] ; [193.19021739  52.80978261],1
p4,1,7e-05,15.81017,[66 55] ; [184  61],[82.65027322 38.34972678] ; [167.34972678  77.65027322],1
s8,1,0.001462,10.125551,[64 59] ; [169  76],[77.87771739 45.12228261] ; [155.12228261  89.87771739],0
a6,1,0.00582,7.605195,[65 57] ; [166  78],[77. 45.] ; [154.  90.],0
r1,1,0.005958,7.563006,[95 28] ; [217  29],[104.  19.] ; [208.  38.],0
v2,1,0.006451,7.419665,[59 59] ; [156  84],[70.86592179 47.13407821] ; [144.13407821  95.86592179],0
a7,1,0.007753,7.089588,[76 45] ; [188  59],[86.80434783 34.19565217] ; [177.19565217  69.80434783],0
p12,1,0.011392,6.403121,[  7 113] ; [ 37 210],[ 14.38692098 105.61307902] ; [ 29.61307902 217.38692098],0
v4,1,0.025683,4.977264,[113   8] ; [241   5],[116.71389646   4.28610354] ; [237.28610354   8.71389646],0
p6,1,0.026975,4.892413,[45 75] ; [121 122],[54.87603306 65.12396694] ; [111.12396694 131.87603306],0
s7,1,0.02883,4.777716,[80 37] ; [188  50],[88.32676056 28.67323944] ; [179.67323944  58.32676056],0
r4,1,0.050259,3.832789,[109  14] ; [233  14],[113.69189189   9.30810811] ; [228.30810811  18.69189189],0
p3,1,0.058667,3.574666,[60 61] ; [147  98],[68.43442623 52.56557377] ; [138.56557377 106.43442623],0
s6,1,0.06692,3.356991,[98 21] ; [216  26],[103.50692521  15.49307479] ; [210.49307479  31.50692521],0
a1,1,0.095631,2.776938,[  4 119] ; [ 19 228],[  7.64594595 115.35405405] ; [ 15.35405405 231.64594595],0
r2,1,0.106508,2.605281,[114   7] ; [238   6],[116.69041096   4.30958904] ; [235.30958904   8.69041096],0
p9,1,0.110686,2.544395,[102  18] ; [222  23],[106.52054795  13.47945205] ; [217.47945205  27.52054795],0
n1,1,0.117623,2.448696,[12  8] ; [18 28],[ 9.09090909 10.90909091] ; [20.90909091 25.09090909],0
n5,1,0.135629,2.226867,[104  17] ; [224  22],[108.14168937  12.85831063] ; [219.85831063  26.14168937],0
n2,1,0.141785,2.158481,[18  2] ; [34 12],[15.75757576  4.24242424] ; [36.24242424  9.75757576],0
