Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,7e-05,15.820037,[62 37] ; [54  5],[72.6835443 26.3164557] ; [43.3164557 15.6835443],1
v1,1,0.000197,13.857118,[24 75] ; [32 28],[34.86792453 64.13207547] ; [21.13207547 38.86792453],1
v3,1,0.000701,11.48665,[19 77] ; [26 31],[28.23529412 67.76470588] ; [16.76470588 40.23529412],1
s6,1,0.001007,10.815072,[33 66] ; [36 24],[42.96226415 56.03773585] ; [26.03773585 33.96226415],0
r4,1,0.001177,10.525415,[54 45] ; [48 12],[63.50943396 35.49056604] ; [38.49056604 21.50943396],0
d5,1,0.001981,9.567489,[58 39] ; [50 10],[66.72611465 30.27388535] ; [41.27388535 18.72611465],0
d4,1,0.002285,9.305399,[59 39] ; [50 10],[67.60759494 30.39240506] ; [41.39240506 18.60759494],0
v4,1,0.002642,9.039885,[71 28] ; [55  5],[78.45283019 20.54716981] ; [47.54716981 12.45283019],0
r1,1,0.006654,7.364036,[56 42] ; [47 13],[63.88607595 34.11392405] ; [39.11392405 20.88607595],0
d1,1,0.017691,5.626507,[37 62] ; [34 26],[44.20754717 54.79245283] ; [26.79245283 33.20754717],0
r2,1,0.022943,5.172833,[75 22] ; [54  5],[80.21153846 16.78846154] ; [48.78846154 10.21153846],0
a2,1,0.025231,5.007989,[15 84] ; [18 42],[20.54716981 78.45283019] ; [12.45283019 47.54716981],0
a5,1,0.027626,4.851235,[50 49] ; [41 19],[56.66037736 42.33962264] ; [34.33962264 25.66037736],0
b1,1,0.028145,4.819138,[59 40] ; [25 35],[52.30188679 46.69811321] ; [31.69811321 28.30188679],0
p1,1,0.028864,4.775709,[11 88] ; [ 1 59],[ 7.47169811 91.52830189] ; [ 4.52830189 55.47169811],0
s2,1,0.030712,4.668995,[25 74] ; [25 35],[31.13207547 67.86792453] ; [18.86792453 41.13207547],0
p10,1,0.033478,4.521179,[33 65] ; [30 29],[39.32484076 58.67515924] ; [23.67515924 35.32484076],0
a4,1,0.040196,4.209587,[31 66] ; [29 31],[37.07006369 59.92993631] ; [22.92993631 37.07006369],0
s8,1,0.044483,4.038132,[15 84] ; [17 43],[19.9245283 79.0754717] ; [12.0754717 47.9245283],0
p6,1,0.047763,3.918318,[16 82] ; [17 40],[20.86451613 77.13548387] ; [12.13548387 44.86451613],0
p4,1,0.056212,3.645771,[31 68] ; [27 31],[36.57324841 62.42675159] ; [21.42675159 36.57324841],0
a3,1,0.111296,2.535716,[55 41] ; [42 18],[59.69230769 36.30769231] ; [37.30769231 22.69230769],0
p5,1,0.124398,2.361051,[ 7 90] ; [ 1 59],[ 4.94267516 92.05732484] ; [ 3.05732484 56.94267516],0
n6,1,0.135486,2.228492,[57 41] ; [42 18],[61.40506329 36.59493671] ; [37.59493671 22.40506329],0
u2,1,0.143381,2.141297,[14 29] ; [9 8],[16.48333333 26.51666667] ; [ 6.51666667 10.48333333],0
