Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,4.4e-05,16.686154,[268  31] ; [73 27],[255.53634085  43.46365915] ; [85.46365915 14.53634085],1
p3,1,7e-05,15.824186,[227  72] ; [55 45],[211.32330827  87.67669173] ; [70.67669173 29.32330827],1
p12,1,0.003068,8.766622,[ 36 263] ; [ 2 98],[ 28.47619048 270.52380952] ; [ 9.52380952 90.47619048],0
a2,1,0.003126,8.732354,[ 71 228] ; [39 61],[ 82.43107769 216.56892231] ; [27.56892231 72.43107769],0
p5,1,0.008009,7.031493,[ 67 232] ; [10 88],[ 57.99244332 241.00755668] ; [19.00755668 78.99244332],0
p6,1,0.008486,6.927854,[184 115] ; [46 53],[172.78894472 126.21105528] ; [57.21105528 41.78894472],0
v4,1,0.020444,5.373597,[287   8] ; [92  8],[283.05063291  11.94936709] ; [95.94936709  4.05063291],0
d4,1,0.021185,5.311504,[256  42] ; [76 24],[248.58291457  49.41708543] ; [83.41708543 16.58291457],0
n5,1,0.037704,4.31833,[248  50] ; [73 26],[240.95214106  57.04785894] ; [80.04785894 18.95214106],0
v1,1,0.038569,4.279753,[187 106] ; [51 47],[178.34782609 114.65217391] ; [59.65217391 38.34782609],0
u1,1,0.049003,3.875237,[ 56 243] ; [28 72],[ 62.94736842 236.05263158] ; [21.05263158 78.94736842],0
b5,1,0.051372,3.79611,[161 138] ; [65 35],[169.35839599 129.64160401] ; [56.64160401 43.35839599],0
v3,1,0.055058,3.680338,[136 153] ; [34 61],[127.94270833 161.05729167] ; [42.05729167 52.94270833],0
a4,1,0.059415,3.553645,[136 162] ; [56 43],[144.1209068 153.8790932] ; [47.8790932 51.1209068],0
n6,1,0.079092,3.083462,[262  33] ; [82 18],[256.91139241  38.08860759] ; [87.08860759 12.91139241],0
a6,1,0.099168,2.718878,[201  98] ; [76 24],[207.5764411  91.4235589] ; [69.4235589 30.5764411],0
s5,1,0.10837,2.577832,[125 162] ; [34 65],[118.22020725 168.77979275] ; [40.77979275 58.22020725],0
p2,1,0.132244,2.265967,[281  17] ; [89 10],[277.73299748  20.26700252] ; [92.26700252  6.73299748],0
p1,1,0.132636,2.261376,[ 37 260] ; [ 7 93],[ 32.91687657 264.08312343] ; [11.08312343 88.91687657],0
p10,1,0.153037,2.041715,[269  30] ; [83 15],[265.10831234  33.89168766] ; [86.89168766 11.10831234],0
n2,1,0.160412,1.970341,[34  7] ; [17  8],[31.68181818  9.31818182] ; [19.31818182  5.68181818],0
b4,1,0.169305,1.88909,[176 123] ; [51 49],[170.10776942 128.89223058] ; [56.89223058 43.10776942],0
s2,1,0.170751,1.87634,[159 137] ; [61 38],[164.86075949 131.13924051] ; [55.13924051 43.86075949],0
d2,1,0.17477,1.841541,[147 152] ; [57 43],[152.87218045 146.12781955] ; [51.12781955 48.87218045],0
a1,1,0.203186,1.619322,[ 23 276] ; [ 4 96],[ 20.23308271 278.76691729] ; [ 6.76691729 93.23308271],0
d1,1,0.216756,1.525719,[194 105] ; [58 42],[188.84210526 110.15789474] ; [63.15789474 36.84210526],0
r1,1,0.218368,1.515065,[250  47] ; [78 21],[246.  51.] ; [82. 17.],0
v2,1,0.219088,1.510334,[177 114] ; [51 44],[171.88601036 119.11398964] ; [56.11398964 38.88601036],0
n4,1,0.226968,1.459763,[246  53] ; [76 23],[241.90452261  57.09547739] ; [80.09547739 18.90452261],0
s3,1,0.247354,1.338185,[172 121] ; [64 34],[176.84910486 116.15089514] ; [59.15089514 38.84910486],0
s6,1,0.248032,1.334357,[215  73] ; [68 31],[210.60465116  77.39534884] ; [72.39534884 26.60465116],0
s1,1,0.250464,1.320712,[  6 292] ; [ 4 93],[  7.5443038 290.4556962] ; [ 2.4556962 94.5443038],0
s4,1,0.279135,1.171297,[ 59 235] ; [15 84],[ 55.35877863 238.64122137] ; [18.64122137 80.35877863],0
r2,1,0.355582,0.853437,[278  16] ; [92  8],[276.09137056  17.90862944] ; [93.90862944  6.09137056],0
a3,1,0.369828,0.804243,[219  79] ; [78 22],[222.37688442  75.62311558] ; [74.62311558 25.37688442],0
d3,1,0.400417,0.707072,[225  74] ; [71 29],[221.81453634  77.18546366] ; [74.18546366 25.81453634],0
d5,1,0.452624,0.564073,[251  47] ; [81 19],[248.58291457  49.41708543] ; [83.41708543 16.58291457],0
u3,1,0.482919,0.492264,[46 33] ; [14  7],[47.4 31.6] ; [12.6  8.4],0
s8,1,0.503786,0.446951,[157 140] ; [49 51],[154.11083123 142.88916877] ; [51.88916877 48.11083123],0
s7,1,0.554271,0.349721,[163 120] ; [58 37],[165.45767196 117.54232804] ; [55.54232804 39.45767196],0
p9,1,0.57909,0.307708,[269  30] ; [88 12],[267.52631579  31.47368421] ; [89.47368421 10.52631579],0
a8,1,0.615684,0.25198,[ 38 235] ; [14 73],[ 39.43333333 233.56666667] ; [12.56666667 74.43333333],0
n1,1,0.646358,0.210523,[16 25] ; [ 8 16],[15.13846154 25.86153846] ; [ 8.86153846 15.13846154],0
u4,1,0.705071,0.14325,[  8 290] ; [ 2 98],[  7.48743719 290.51256281] ; [ 2.51256281 97.48743719],0
a7,1,0.720833,0.127696,[220  78] ; [72 28],[218.63316583  79.36683417] ; [73.36683417 26.63316583],0
r4,1,0.759699,0.093561,[275  24] ; [91  9],[274.27067669  24.72932331] ; [91.72932331  8.27067669],0
b3,1,0.760007,0.093313,[ 71 116] ; [30 45],[ 72.08778626 114.91221374] ; [28.91221374 46.08778626],0
b2,1,0.760007,0.093313,[ 71 116] ; [30 45],[ 72.08778626 114.91221374] ; [28.91221374 46.08778626],0
b1,1,0.879441,0.023006,[123 176] ; [42 58],[123.64661654 175.35338346] ; [41.35338346 58.64661654],0
u2,1,0.919026,0.010335,[47 33] ; [12  8],[47.2 32.8] ; [11.8  8.2],0
n3,1,0.92745,0.008291,[30 10] ; [19  6],[30.15384615  9.84615385] ; [18.84615385  6.15384615],0
a5,1,0.931818,0.00732,[235  64] ; [79 21],[235.30325815  63.69674185] ; [78.69674185 21.30325815],0
r3,1,0.981065,0.000563,[284  12] ; [96  4],[284.04040404  11.95959596] ; [95.95959596  4.04040404],0
