Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,26.545351,[57  7] ; [11 18],[46.79569892 17.20430108] ; [21.20430108  7.79569892],1
s6,1,0.000565,11.888703,[56  5] ; [18 11],[50.15555556 10.84444444] ; [23.84444444  5.15555556],1
d1,1,0.008082,7.0153,[43 21] ; [11 18],[37.16129032 26.83870968] ; [16.83870968 12.16129032],0
r2,1,0.016426,5.756649,[62  1] ; [25  4],[59.57608696  3.42391304] ; [27.42391304  1.57608696],0
d2,1,0.031968,4.600216,[39 24] ; [11 18],[34.23913043 28.76086957] ; [15.76086957 13.23913043],0
p1,1,0.045972,3.982617,[12 51] ; [ 1 28],[ 8.90217391 54.09782609] ; [ 4.09782609 24.90217391],0
p10,1,0.047948,3.911798,[36 26] ; [23  6],[40.1978022 21.8021978] ; [18.8021978 10.1978022],0
a8,1,0.048384,3.896587,[12 44] ; [ 1 24],[ 8.98765432 47.01234568] ; [ 4.01234568 20.98765432],0
n2,1,0.078183,3.102273,[21  5] ; [7 6],[18.66666667  7.33333333] ; [9.33333333 3.66666667],0
p5,1,0.125853,2.34293,[ 9 55] ; [ 1 28],[ 6.88172043 57.11827957] ; [ 3.11827957 25.88172043],0
r4,1,0.13161,2.273408,[58  6] ; [23  6],[55.74193548  8.25806452] ; [25.25806452  3.74193548],0
v2,1,0.137394,2.206909,[36 26] ; [12 17],[32.7032967 29.2967033] ; [15.2967033 13.7032967],0
d5,1,0.188245,1.731301,[53 10] ; [21  8],[50.67391304 12.32608696] ; [23.32608696  5.67391304],0
n4,1,0.229908,1.441429,[48 14] ; [19 10],[45.64835165 16.35164835] ; [21.35164835  7.64835165],0
s5,1,0.255147,1.294897,[29 28] ; [11 18],[26.51162791 30.48837209] ; [13.48837209 15.51162791],0
p4,1,0.263489,1.25033,[34 30] ; [19 10],[36.47311828 27.52688172] ; [16.52688172 12.47311828],0
a7,1,0.265723,1.238693,[49 15] ; [19 10],[46.79569892 17.20430108] ; [21.20430108  7.79569892],0
a3,1,0.295314,1.095238,[50 14] ; [19  9],[48. 16.] ; [21.  7.],0
v4,1,0.303601,1.05831,[61  3] ; [26  3],[59.87096774  4.12903226] ; [27.12903226  1.87096774],0
a1,1,0.303601,1.05831,[ 3 61] ; [ 3 26],[ 4.12903226 59.87096774] ; [ 1.87096774 27.12903226],0
b4,1,0.326871,0.961255,[35 29] ; [19 10],[37.16129032 26.83870968] ; [16.83870968 12.16129032],0
v3,1,0.367382,0.812502,[19 41] ; [12 17],[20.8988764 39.1011236] ; [10.1011236 18.8988764],0
d3,1,0.368527,0.808627,[47 16] ; [19 10],[45.19565217 17.80434783] ; [20.80434783  8.19565217],0
r3,1,0.379665,0.771785,[58  5] ; [25  4],[56.83695652  6.16304348] ; [26.16304348  2.83695652],0
p9,1,0.475402,0.509392,[51 11] ; [22  7],[49.73626374 12.26373626] ; [23.26373626  5.73626374],0
a2,1,0.483953,0.489943,[20 44] ; [ 7 22],[18.58064516 45.41935484] ; [ 8.41935484 20.58064516],0
n3,1,0.485045,0.4875,[17  9] ; [7 6],[16. 10.] ; [8. 5.],0
p3,1,0.489971,0.476591,[26 38] ; [14 15],[27.52688172 36.47311828] ; [12.47311828 16.52688172],0
n1,1,0.495628,0.464286,[15 11] ; [6 7],[14. 12.] ; [7. 6.],0
u2,1,0.509903,0.434266,[6 7] ; [6 4],[6.7826087 6.2173913] ; [5.2173913 4.7826087],0
s4,1,0.543129,0.36977,[17 47] ; [ 6 23],[15.82795699 48.17204301] ; [ 7.17204301 21.82795699],0
s1,1,0.543734,0.368664,[ 7 55] ; [ 2 26],[ 6.2 55.8] ; [ 2.8 25.2],0
p8,1,0.550985,0.355555,[22 41] ; [12 17],[23.2826087 39.7173913] ; [10.7173913 18.2826087],0
d4,1,0.575232,0.314007,[51 12] ; [22  7],[49.98913043 13.01086957] ; [23.01086957  5.98913043],0
b1,1,0.598331,0.27752,[36 28] ; [18 11],[37.16129032 26.83870968] ; [16.83870968 12.16129032],0
s8,1,0.615812,0.251798,[41 23] ; [17 12],[39.91397849 24.08602151] ; [18.08602151 10.91397849],0
p6,1,0.627089,0.236029,[27 36] ; [14 15],[28.07608696 34.92391304] ; [12.92391304 16.07608696],0
p7,1,0.645459,0.211674,[31 31] ; [13 16],[29.97802198 32.02197802] ; [14.02197802 14.97802198],0
b2,1,0.646149,0.21079,[14 23] ; [ 5 11],[13.26415094 23.73584906] ; [ 5.73584906 10.26415094],0
b3,1,0.646149,0.21079,[14 23] ; [ 5 11],[13.26415094 23.73584906] ; [ 5.73584906 10.26415094],0
a6,1,0.654774,0.199934,[40 23] ; [17 12],[39.0326087 23.9673913] ; [17.9673913 11.0326087],0
u1,1,0.687865,0.161406,[18 46] ; [ 7 22],[17.20430108 46.79569892] ; [ 7.79569892 21.20430108],0
n5,1,0.730678,0.11849,[45 18] ; [19  9],[44.30769231 18.69230769] ; [19.69230769  8.30769231],0
a5,1,0.774612,0.081995,[46 18] ; [20  9],[45.41935484 18.58064516] ; [20.58064516  8.41935484],0
b5,1,0.779568,0.078334,[40 24] ; [19 10],[40.60215054 23.39784946] ; [18.39784946 10.60215054],0
p12,1,0.784953,0.074458,[ 3 61] ; [ 1 28],[ 2.75268817 61.24731183] ; [ 1.24731183 27.75268817],0
v1,1,0.854445,0.033654,[34 30] ; [16 13],[34.40860215 29.59139785] ; [15.59139785 13.40860215],0
r1,1,0.868887,0.027249,[53 10] ; [24  5],[52.72826087 10.27173913] ; [24.27173913  4.72826087],0
a4,1,0.877567,0.023733,[32 32] ; [14 15],[31.65591398 32.34408602] ; [14.34408602 14.65591398],0
u3,1,0.888683,0.019592,[8 6] ; [6 4],[8.16666667 5.83333333] ; [5.83333333 4.16666667],0
p2,1,0.928875,0.007967,[48 16] ; [22  7],[48.17204301 15.82795699] ; [21.82795699  7.17204301],0
n6,1,0.960446,0.00246,[49 13] ; [22  6],[48.91111111 13.08888889] ; [22.08888889  5.91111111],0
