Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,50.662903,[79 23] ; [ 1 27],[62.76923077 39.23076923] ; [17.23076923 10.76923077],1
v4,1,5e-06,20.769617,[86 13] ; [13 15],[77.17322835 21.82677165] ; [21.82677165  6.17322835],1
p11,1,1.9e-05,18.335402,[68 34] ; [ 6 22],[58.06153846 43.93846154] ; [15.93846154 12.06153846],1
s6,1,2.6e-05,17.674263,[56 45] ; [ 3 25],[46.19379845 54.80620155] ; [12.80620155 15.19379845],1
r1,1,0.000233,13.547749,[71 30] ; [ 9 19],[62.63565891 38.36434109] ; [17.36434109 10.63565891],1
s2,1,0.000561,11.900185,[43 59] ; [ 2 26],[35.30769231 66.69230769] ; [ 9.69230769 18.30769231],1
p4,1,0.000779,11.290072,[46 55] ; [ 3 25],[38.36434109 62.63565891] ; [10.63565891 17.36434109],1
p2,1,0.001191,10.504655,[73 28] ; [11 17],[65.76744186 35.23255814] ; [18.23255814  9.76744186],0
r2,1,0.001929,9.615551,[86 14] ; [16 11],[80.31496063 19.68503937] ; [21.68503937  5.31496063],0
a6,1,0.00323,8.67293,[71 31] ; [11 17],[64.33846154 37.66153846] ; [17.66153846 10.33846154],0
d3,1,0.003467,8.543819,[67 34] ; [10 18],[60.28682171 40.71317829] ; [16.71317829 11.28682171],0
v2,1,0.004275,8.163167,[39 57] ; [ 3 24],[32.7804878 63.2195122] ; [ 9.2195122 17.7804878],0
d5,1,0.004618,8.023429,[76 26] ; [13 15],[69.83076923 32.16923077] ; [19.16923077  8.83076923],0
p9,1,0.005739,7.630579,[67 34] ; [10 17],[60.7578125 40.2421875] ; [16.2421875 10.7578125],0
a1,1,0.010078,6.620997,[ 4 98] ; [ 5 23],[ 7.06153846 94.93846154] ; [ 1.93846154 26.06153846],0
u3,1,0.012389,6.254331,[26 11] ; [4 9],[22.2 14.8] ; [7.8 5.2],0
d4,1,0.013535,6.097855,[78 23] ; [15 13],[72.81395349 28.18604651] ; [20.18604651  7.81395349],0
