Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.001015,10.8,[ 2 30] ; [16 24],[ 8. 24.] ; [10. 30.],0
p10,1,0.005093,7.8461,[14 20] ; [30 11],[19.94666667 14.05333333] ; [24.05333333 16.94666667],0
s6,1,0.005353,7.756223,[ 9 25] ; [24 17],[14.96 19.04] ; [18.04 22.96],0
d3,1,0.017299,5.665817,[ 9 25] ; [22 19],[14.05333333 19.94666667] ; [16.94666667 24.05333333],0
p8,1,0.023038,5.165655,[ 9 25] ; [21 19],[13.78378378 20.21621622] ; [16.21621622 23.78378378],0
p6,1,0.027771,4.842257,[ 3 30] ; [12 28],[ 6.78082192 26.21917808] ; [ 8.21917808 31.78082192],0
s8,1,0.03292,4.549938,[ 5 29] ; [15 26],[ 9.06666667 24.93333333] ; [10.93333333 30.06666667],0
a6,1,0.044891,4.022735,[12 22] ; [24 17],[16.32 17.68] ; [19.68 21.32],0
s4,1,0.046344,3.969064,[ 3 31] ; [11 30],[ 6.34666667 27.65333333] ; [ 7.65333333 33.34666667],0
v2,1,0.051767,3.783273,[ 6 26] ; [16 24],[ 9.77777778 22.22222222] ; [12.22222222 27.77777778],0
p4,1,0.05958,3.549028,[ 9 24] ; [20 21],[12.93243243 20.06756757] ; [16.06756757 24.93243243],0
n6,1,0.066454,3.368514,[17 17] ; [29 12],[20.85333333 13.14666667] ; [25.14666667 15.85333333],0
p9,1,0.072257,3.231,[20 14] ; [32  9],[23.57333333 10.42666667] ; [28.42666667 12.57333333],0
p7,1,0.076553,3.136597,[17 16] ; [28 11],[20.625 12.375] ; [24.375 14.625],0
n1,1,0.080123,3.062402,[ 1 12] ; [5 9],[ 2.88888889 10.11111111] ; [ 3.11111111 10.88888889],0
r2,1,0.122969,2.379087,[23 11] ; [34  7],[25.84  8.16] ; [31.16  9.84],0
p2,1,0.123081,2.37767,[21 13] ; [32  9],[24.02666667  9.97333333] ; [28.97333333 12.02666667],0
a5,1,0.133935,2.246294,[10 24] ; [19 22],[13.14666667 20.85333333] ; [15.85333333 25.14666667],0
v4,1,0.175837,1.832466,[25  8] ; [36  5],[27.2027027  5.7972973] ; [33.7972973  7.2027027],0
r4,1,0.189479,1.721664,[20 14] ; [30 11],[22.66666667 11.33333333] ; [27.33333333 13.66666667],0
r3,1,0.196742,1.666394,[26  8] ; [36  5],[28.10666667  5.89333333] ; [33.89333333  7.10666667],0
a1,1,0.220582,1.500583,[ 3 31] ; [ 1 40],[ 1.81333333 32.18666667] ; [ 2.18666667 38.81333333],0
p5,1,0.227967,1.453504,[ 1 33] ; [ 4 36],[ 2.2972973 31.7027027] ; [ 2.7027027 37.2972973],0
a2,1,0.238858,1.387323,[ 1 33] ; [ 4 37],[ 2.26666667 31.73333333] ; [ 2.73333333 38.26666667],0
v3,1,0.272314,1.205052,[ 5 29] ; [10 30],[ 6.89189189 27.10810811] ; [ 8.10810811 31.89189189],0
s5,1,0.272314,1.205052,[ 5 29] ; [10 30],[ 6.89189189 27.10810811] ; [ 8.10810811 31.89189189],0
p3,1,0.278359,1.175085,[ 7 27] ; [13 28],[ 9.06666667 24.93333333] ; [10.93333333 30.06666667],0
s2,1,0.279055,1.171688,[10 24] ; [17 24],[12.24 21.76] ; [14.76 26.24],0
d4,1,0.2826,1.154541,[16 17] ; [25 16],[18.28378378 14.71621622] ; [22.71621622 18.28378378],0
r1,1,0.340461,0.908695,[17 17] ; [25 16],[19.04 14.96] ; [22.96 18.04],0
d1,1,0.401135,0.70492,[ 1 33] ; [ 3 38],[ 1.81333333 32.18666667] ; [ 2.18666667 38.81333333],0
s1,1,0.401135,0.70492,[ 1 33] ; [ 3 38],[ 1.81333333 32.18666667] ; [ 2.18666667 38.81333333],0
b2,1,0.475624,0.508881,[ 3 14] ; [ 5 13],[ 3.88571429 13.11428571] ; [ 4.11428571 13.88571429],0
b3,1,0.475624,0.508881,[ 3 14] ; [ 5 13],[ 3.88571429 13.11428571] ; [ 4.11428571 13.88571429],0
b1,1,0.483716,0.490474,[16 18] ; [16 25],[14.50666667 19.49333333] ; [17.49333333 23.50666667],0
p11,1,0.577586,0.310153,[22 12] ; [29 12],[23.12 10.88] ; [27.88 13.12],0
a3,1,0.621875,0.243241,[15 18] ; [21 20],[16.05405405 16.94594595] ; [19.94594595 21.05405405],0
u1,1,0.670017,0.181582,[ 1 33] ; [ 2 39],[ 1.36 32.64] ; [ 1.64 39.36],0
s3,1,0.686987,0.162367,[15 19] ; [20 21],[15.86666667 18.13333333] ; [19.13333333 21.86666667],0
a8,1,0.701192,0.147235,[ 4 27] ; [ 4 36],[ 3.49295775 27.50704225] ; [ 4.50704225 35.49295775],0
u3,1,0.744231,0.106443,[ 9 10] ; [ 8 11],[ 8.5 10.5] ; [ 8.5 10.5],0
n2,1,0.744785,0.105965,[10  3] ; [10  4],[9.62962963 3.37037037] ; [10.37037037  3.62962963],0
u2,1,0.745603,0.105263,[ 9 10] ; [10  9],[9.5 9.5] ; [9.5 9.5],0
n5,1,0.767154,0.087675,[14 19] ; [16 25],[13.37837838 19.62162162] ; [16.62162162 24.37837838],0
b4,1,0.784583,0.074721,[18 16] ; [23 18],[18.58666667 15.41333333] ; [22.41333333 18.58666667],0
b5,1,0.81218,0.056461,[20 14] ; [23 18],[19.49333333 14.50666667] ; [23.50666667 17.49333333],0
v1,1,0.842575,0.039442,[12 21] ; [14 27],[11.59459459 21.40540541] ; [14.40540541 26.59459459],0
p1,1,0.847199,0.037131,[ 2 32] ; [ 2 39],[ 1.81333333 32.18666667] ; [ 2.18666667 38.81333333],0
d2,1,0.885944,0.020575,[ 7 27] ; [ 9 32],[ 7.25333333 26.74666667] ; [ 8.74666667 32.25333333],0
n3,1,0.900552,0.015616,[9 4] ; [10  4],[9.14814815 3.85185185] ; [9.85185185 4.14814815],0
a4,1,0.947886,0.004272,[ 6 28] ; [ 7 34],[ 5.89333333 28.10666667] ; [ 7.10666667 33.89333333],0
