Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,6.7e-05,15.884265,[38  4] ; [15 16],[30.49315068 11.50684932] ; [22.50684932  8.49315068],1
a4,1,0.017655,5.630109,[12 30] ; [ 2 29],[ 8.05479452 33.94520548] ; [ 5.94520548 25.05479452],0
v3,1,0.028606,4.791152,[ 9 33] ; [ 1 29],[ 5.83333333 36.16666667] ; [ 4.16666667 25.83333333],0
u3,1,0.09331,2.816327,[ 5 20] ; [ 9 12],[ 7.60869565 17.39130435] ; [ 6.39130435 14.60869565],0
s4,1,0.118758,2.433621,[10 32] ; [ 3 28],[ 7.47945205 34.52054795] ; [ 5.52054795 25.47945205],0
a6,1,0.119448,2.424544,[24 18] ; [12 19],[20.71232877 21.28767123] ; [15.28767123 15.71232877],0
s7,1,0.138477,2.194797,[12 26] ; [ 5 26],[ 9.36231884 28.63768116] ; [ 7.63768116 23.36231884],0
n6,1,0.156926,2.003606,[31 11] ; [18 13],[28.19178082 13.80821918] ; [20.80821918 10.19178082],0
v1,1,0.185618,1.752059,[14 28] ; [ 6 25],[11.50684932 30.49315068] ; [ 8.49315068 22.50684932],0
r3,1,0.201471,1.631677,[26 15] ; [24  7],[28.47222222 12.52777778] ; [21.52777778  9.47222222],0
p3,1,0.226738,1.461205,[15 27] ; [ 7 24],[12.65753425 29.34246575] ; [ 9.34246575 21.65753425],0
s6,1,0.255446,1.293269,[14 26] ; [ 7 24],[11.83098592 28.16901408] ; [ 9.16901408 21.83098592],0
s5,1,0.273983,1.196696,[ 6 35] ; [ 2 29],[ 4.55555556 36.44444444] ; [ 3.44444444 27.55555556],0
u2,1,0.291958,1.110571,[ 7 18] ; [ 9 12],[ 8.69565217 16.30434783] ; [ 7.30434783 13.69565217],0
n1,1,0.340018,0.910364,[6 8] ; [3 9],[4.84615385 9.15384615] ; [4.15384615 7.84615385],0
p5,1,0.352515,0.864383,[ 1 41] ; [ 2 27],[ 1.77464789 40.22535211] ; [ 1.22535211 27.77464789],0
