Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.8e-05,18.436987,[249  82] ; [20 25],[236.80585106  94.19414894] ; [32.19414894 12.80585106],1
s5,1,0.000102,15.104702,[180 154] ; [10 34],[167.88359788 166.11640212] ; [22.11640212 21.88359788],1
s3,1,0.000401,12.526743,[304  39] ; [32 14],[296.26735219  46.73264781] ; [39.73264781  6.26735219],1
s8,1,0.000629,11.687004,[232 114] ; [19 27],[221.54591837 124.45408163] ; [29.45408163 16.54591837],1
r4,1,0.017225,5.673341,[327  20] ; [39  7],[323.16030534  23.83969466] ; [42.83969466  3.16030534],0
p4,1,0.020243,5.390807,[239 106] ; [24 22],[232.05882353 112.94117647] ; [30.94117647 15.05882353],0
r1,1,0.037455,4.329606,[291  55] ; [33 13],[285.97959184  60.02040816] ; [38.02040816  7.97959184],0
p9,1,0.042986,4.095944,[308  33] ; [37  9],[303.99224806  37.00775194] ; [41.00775194  4.99224806],0
b5,1,0.045459,4.001513,[219 128] ; [22 24],[212.7913486 134.2086514] ; [28.2086514 17.7913486],0
a5,1,0.047923,3.912667,[271  75] ; [30 16],[265.67857143  80.32142857] ; [35.32142857 10.67857143],0
p5,1,0.052225,3.768532,[ 54 290] ; [ 2 41],[ 49.77777778 294.22222222] ; [ 6.22222222 36.77777778],0
d5,1,0.054405,3.700243,[293  53] ; [33 12],[288.48081841  57.51918159] ; [37.51918159  7.48081841],0
b2,1,0.057732,3.60137,[ 83 133] ; [16 12],[ 87.63934426 128.36065574] ; [11.36065574 16.63934426],0
b3,1,0.057732,3.60137,[ 83 133] ; [16 12],[ 87.63934426 128.36065574] ; [11.36065574 16.63934426],0
u3,1,0.060623,3.520263,[50 26] ; [6 9],[46.76923077 29.23076923] ; [9.23076923 5.76923077],0
a2,1,0.075725,3.154339,[104 243] ; [ 8 38],[ 98.89058524 248.10941476] ; [13.10941476 32.89058524],0
s4,1,0.087438,2.920922,[ 83 258] ; [ 6 40],[ 78.42118863 262.57881137] ; [10.57881137 35.42118863],0
r3,1,0.092292,2.833942,[334  12] ; [42  4],[331.87755102  14.12244898] ; [44.12244898  1.87755102],0
a3,1,0.099955,2.706257,[270  75] ; [31 15],[265.58823529  79.41176471] ; [35.41176471 10.58823529],0
d4,1,0.111068,2.538961,[300  45] ; [36 10],[296.47058824  48.52941176] ; [39.52941176  6.47058824],0
a4,1,0.125384,2.348741,[177 169] ; [18 28],[172.11734694 173.88265306] ; [22.88265306 23.11734694],0
v4,1,0.135629,2.226863,[338   9] ; [42  3],[336.37755102  10.62244898] ; [43.62244898  1.37755102],0
p6,1,0.143832,2.136473,[158 184] ; [16 30],[153.37113402 188.62886598] ; [20.62886598 25.37113402],0
d2,1,0.170203,1.881156,[195 151] ; [21 25],[190.65306122 155.34693878] ; [25.34693878 20.65306122],0
u1,1,0.2529,1.307213,[ 87 260] ; [ 8 38],[ 83.88040712 263.11959288] ; [11.11959288 34.88040712],0
p12,1,0.279683,1.168629,[ 41 304] ; [ 3 43],[ 38.82352941 306.17647059] ; [ 5.17647059 40.82352941],0
d1,1,0.309443,1.03305,[230 117] ; [27 19],[226.91857506 120.08142494] ; [30.08142494 15.91857506],0
p8,1,0.322845,0.977387,[190 152] ; [22 24],[186.86597938 155.13402062] ; [25.13402062 20.86597938],0
v1,1,0.329471,0.950976,[198 139] ; [23 22],[194.96596859 142.03403141] ; [26.03403141 18.96596859],0
s1,1,0.331775,0.941955,[ 19 324] ; [ 1 45],[ 17.63496144 325.36503856] ; [ 2.36503856 43.63496144],0
