Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,1e-06,24.242187,[ 81 153] ; [94 63],[104.7314578 129.2685422] ; [70.2685422 86.7314578],1
r3,1,0.004624,8.020766,[206  30] ; [155   7],[214.06030151  21.93969849] ; [146.93969849  15.06030151],0
n3,1,0.00864,6.895869,[40 25] ; [28  4],[45.56701031 19.43298969] ; [22.43298969  9.56701031],0
n2,1,0.011172,6.437802,[42 25] ; [28  4],[47.37373737 19.62626263] ; [22.62626263  9.37373737],0
d4,1,0.012669,6.214817,[182  56] ; [141  22],[191.70573566  46.29426434] ; [131.29426434  31.70573566],0
u1,1,0.020703,5.351601,[ 34 204] ; [ 38 125],[ 42.73316708 195.26683292] ; [ 29.26683292 133.73316708],0
p9,1,0.020917,5.333676,[182  52] ; [140  21],[190.75443038  43.24556962] ; [131.24556962  29.75443038],0
d3,1,0.024868,5.033084,[145  93] ; [117  46],[155.50124688  82.49875312] ; [106.49875312  56.50124688],0
p10,1,0.02583,4.967368,[174  62] ; [134  27],[183.09319899  52.90680101] ; [124.90680101  36.09319899],0
p1,1,0.042373,4.12024,[ 23 213] ; [  7 156],[ 17.7443609 218.2556391] ; [ 12.2556391 150.7443609],0
d5,1,0.04476,4.027658,[182  56] ; [138  25],[189.92518703  48.07481297] ; [130.07481297  32.92518703],0
r1,1,0.057119,3.619112,[174  63] ; [133  30],[181.8975  55.1025] ; [125.1025  37.8975],0
a7,1,0.062444,3.471254,[159  79] ; [123  40],[167.37157107  70.62842893] ; [114.62842893  48.37157107],0
a6,1,0.067946,3.331955,[150  88] ; [117  46],[158.46882793  79.53117207] ; [108.53117207  54.46882793],0
a5,1,0.081531,3.034112,[170  68] ; [129  34],[177.46134663  60.53865337] ; [121.53865337  41.46134663],0
d2,1,0.11444,2.491814,[107 129] ; [87 76],[114.74686717 121.25313283] ; [79.25313283 83.74686717],0
d1,1,0.132355,2.264668,[125 113] ; [98 65],[132.35411471 105.64588529] ; [90.64588529 72.35411471],0
p3,1,0.148356,2.089074,[104 133] ; [83 79],[111.07518797 125.92481203] ; [75.92481203 86.07518797],0
p7,1,0.180681,1.792013,[134 101] ; [102  58],[140.40506329  94.59493671] ; [95.59493671 64.40506329],0
s6,1,0.19166,1.704814,[145  86] ; [112  50],[151.0610687  79.9389313] ; [105.9389313  56.0610687],0
s1,1,0.195844,1.673099,[ 12 224] ; [  4 157],[  9.51133501 226.48866499] ; [  6.48866499 154.51133501],0
n5,1,0.198568,1.652877,[200  37] ; [127  33],[195.2115869  41.7884131] ; [131.7884131  28.2115869],0
u3,1,0.216087,1.530171,[37 41] ; [26 18],[40.27868852 37.72131148] ; [22.72131148 21.27868852],0
a3,1,0.228853,1.447975,[159  77] ; [119  44],[164.43107769  71.56892231] ; [113.56892231  49.43107769],0
p11,1,0.264015,1.247579,[180  58] ; [131  32],[184.58354115  53.41645885] ; [126.41645885  36.58354115],0
p5,1,0.265483,1.239936,[ 27 209] ; [ 13 149],[ 23.71859296 212.28140704] ; [ 16.28140704 145.71859296],0
s7,1,0.282645,1.154328,[101 128] ; [77 78],[106.15104167 122.84895833] ; [71.84895833 83.15104167],0
p6,1,0.287567,1.130977,[ 82 154] ; [64 96],[ 87.01010101 148.98989899] ; [ 58.98989899 101.01010101],0
s2,1,0.296063,1.091844,[103 134] ; [79 83],[108.10526316 128.89473684] ; [73.89473684 88.10526316],0
b5,1,0.314911,1.009964,[137 101] ; [102  61],[141.85037406  96.14962594] ; [97.14962594 65.85037406],0
u2,1,0.343523,0.897238,[38 41] ; [24 18],[40.47933884 38.52066116] ; [21.52066116 20.47933884],0
s8,1,0.34836,0.879421,[ 85 152] ; [66 97],[ 89.4675 147.5325] ; [ 61.5325 101.4675],0
s4,1,0.349736,0.874413,[ 46 187] ; [ 26 136],[ 42.47088608 190.52911392] ; [ 29.52911392 132.47088608],0
r4,1,0.367881,0.810809,[198  40] ; [141  22],[201.20199501  36.79800499] ; [137.79800499  25.20199501],0
p4,1,0.458336,0.549954,[136 102] ; [98 63],[139.57894737  98.42105263] ; [94.42105263 66.57894737],0
b2,1,0.522351,0.409249,[58 89] ; [38 69],[55.55905512 91.44094488] ; [40.44094488 66.55905512],0
b3,1,0.522351,0.409249,[58 89] ; [38 69],[55.55905512 91.44094488] ; [40.44094488 66.55905512],0
s3,1,0.532382,0.389844,[130 105] ; [85 78],[126.94723618 108.05276382] ; [88.05276382 74.94723618],0
p12,1,0.544798,0.366719,[ 15 220] ; [  8 154],[ 13.61460957 221.38539043] ; [  9.38539043 152.61460957],0
p8,1,0.558001,0.343177,[117 119] ; [75 86],[114.13602015 121.86397985] ; [77.86397985 83.13602015],0
n6,1,0.579759,0.306624,[199  37] ; [139  22],[200.92695214  35.07304786] ; [137.07304786  23.92695214],0
a8,1,0.584137,0.299594,[ 34 188] ; [ 26 123],[ 35.90296496 186.09703504] ; [ 24.09703504 124.90296496],0
a2,1,0.596642,0.28009,[ 53 185] ; [ 40 123],[ 55.19700748 182.80299252] ; [ 37.80299252 125.19700748],0
n1,1,0.59712,0.279361,[31 36] ; [13 19],[29.77777778 37.22222222] ; [14.22222222 17.77777778],0
v4,1,0.63353,0.227305,[213  24] ; [147  14],[214.3718593  22.6281407] ; [145.6281407  15.3718593],0
a1,1,0.793577,0.06847,[ 10 228] ; [  6 157],[  9.49625935 228.50374065] ; [  6.50374065 156.49625935],0
s5,1,0.79528,0.06732,[ 71 158] ; [ 50 105],[ 72.15885417 156.84114583] ; [ 48.84114583 106.15885417],0
p2,1,0.802239,0.062726,[194  43] ; [131  31],[193.04511278  43.95488722] ; [131.95488722  30.04511278],0
b4,1,0.823658,0.049659,[137 101] ; [92 71],[135.91521197 102.08478803] ; [93.08478803 69.91521197],0
r2,1,0.856778,0.032572,[215  18] ; [145  13],[214.52685422  18.47314578] ; [145.47314578  12.52685422],0
a4,1,0.912395,0.012104,[108 127] ; [74 89],[107.46231156 127.53768844] ; [74.53768844 88.46231156],0
b1,1,0.962754,0.002181,[ 94 144] ; [64 99],[ 93.7755611 144.2244389] ; [64.2244389 98.7755611],0
u4,1,0.976304,0.000882,[  3 235] ; [  2 161],[  2.96758105 235.03241895] ; [  2.03241895 160.96758105],0
