Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,32.705524,[ 1 27] ; [67 37],[14.42424242 13.57575758] ; [53.57575758 50.42424242],1
a4,1,1.5e-05,18.754368,[ 3 25] ; [59 45],[13.15151515 14.84848485] ; [48.84848485 55.15151515],1
d4,1,6.2e-05,16.055256,[15 13] ; [91 13],[22.48484848  5.51515152] ; [83.51515152 20.48484848],1
d2,1,0.000259,13.347088,[ 5 23] ; [59 45],[13.57575758 14.42424242] ; [50.42424242 53.57575758],1
a5,1,0.000311,13.002754,[12 16] ; [81 23],[19.72727273  8.27272727] ; [73.27272727 30.72727273],1
r2,1,0.000349,12.78527,[19  8] ; [98  6],[24.11450382  2.88549618] ; [92.88549618 11.11450382],1
s6,1,0.002016,9.534836,[19  9] ; [90  9],[24.03149606  3.96850394] ; [84.96850394 14.03149606],0
s8,1,0.002542,9.110278,[13 15] ; [79 25],[19.51515152  8.48484848] ; [72.48484848 31.51515152],0
v4,1,0.003648,8.451192,[21  6] ; [99  5],[24.73282443  2.26717557] ; [95.26717557  8.73282443],0
r4,1,0.006731,7.343407,[18 10] ; [90 14],[22.90909091  5.09090909] ; [85.09090909 18.90909091],0
r3,1,0.009032,6.816403,[23  5] ; [100   4],[26.09090909  1.90909091] ; [96.90909091  7.09090909],0
n6,1,0.009045,6.814008,[17 10] ; [87 15],[21.76744186  5.23255814] ; [82.23255814 19.76744186],0
s7,1,0.010992,6.466553,[16 12] ; [79 19],[21.11111111  6.88888889] ; [73.88888889 24.11111111],0
r1,1,0.014608,5.963141,[15 13] ; [80 24],[20.15151515  7.84848485] ; [74.84848485 29.15151515],0
s5,1,0.017212,5.674653,[ 8 20] ; [53 45],[13.55555556 14.44444444] ; [47.44444444 50.55555556],0
a3,1,0.018498,5.548352,[17 11] ; [85 19],[21.63636364  6.36363636] ; [80.36363636 23.63636364],0
p6,1,0.019286,5.47535,[ 6 22] ; [46 54],[11.375 16.625] ; [40.625 59.375],0
d3,1,0.022238,5.227083,[ 8 20] ; [55 49],[13.36363636 14.63636364] ; [49.63636364 54.36363636],0
