Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,26.951411,[58  7] ; [10 17],[48.04347826 16.95652174] ; [19.95652174  7.04347826],1
d1,1,1e-06,23.421624,[38 27] ; [ 1 26],[27.55434783 37.44565217] ; [11.44565217 15.55434783],1
a7,1,0.000268,13.283331,[48 17] ; [ 9 18],[40.27173913 24.72826087] ; [16.72826087 10.27173913],1
n5,1,0.002572,9.088601,[17 48] ; [16 11],[23.31521739 41.68478261] ; [ 9.68478261 17.31521739],0
d3,1,0.005981,7.556164,[42 23] ; [ 9 18],[36.0326087 28.9673913] ; [14.9673913 12.0326087],0
d2,1,0.006226,7.483828,[32 33] ; [ 5 22],[26.14130435 38.85869565] ; [10.85869565 16.14130435],0
a5,1,0.010783,6.500701,[45 20] ; [11 16],[39.56521739 25.43478261] ; [16.43478261 10.56521739],0
a8,1,0.011356,6.40876,[ 2 60] ; [ 5 21],[ 4.93181818 57.06818182] ; [ 2.06818182 23.93181818],0
a6,1,0.016365,5.763265,[44 21] ; [11 16],[38.85869565 26.14130435] ; [16.14130435 10.85869565],0
a4,1,0.023285,5.147085,[31 34] ; [ 6 21],[26.14130435 38.85869565] ; [10.85869565 16.14130435],0
b2,1,0.034532,4.468151,[12 23] ; [10  5],[15.4 19.6] ; [6.6 8.4],0
b3,1,0.034532,4.468151,[12 23] ; [10  5],[15.4 19.6] ; [6.6 8.4],0
r3,1,0.039114,4.255919,[52 13] ; [16 11],[48.04347826 16.95652174] ; [19.95652174  7.04347826],0
a3,1,0.039809,4.226006,[45 20] ; [12 14],[40.71428571 24.28571429] ; [16.28571429  9.71428571],0
s5,1,0.045408,4.003437,[13 47] ; [ 1 24],[ 9.88235294 50.11764706] ; [ 4.11764706 20.88235294],0
n2,1,0.047221,3.9375,[13 15] ; [11  3],[16. 12.] ; [8. 6.],0
n4,1,0.054019,3.712122,[29 36] ; [18  9],[33.20652174 31.79347826] ; [13.79347826 13.20652174],0
u3,1,0.075927,3.15,[14  6] ; [6 9],[11.42857143  8.57142857] ; [8.57142857 6.42857143],0
v2,1,0.079328,3.078618,[27 34] ; [ 6 19],[23.40697674 37.59302326] ; [ 9.59302326 15.40697674],0
p2,1,0.082298,3.018917,[37 28] ; [10 17],[33.20652174 31.79347826] ; [13.79347826 13.20652174],0
r4,1,0.082781,3.00944,[46 19] ; [14 13],[42.39130435 22.60869565] ; [17.60869565  9.39130435],0
r1,1,0.092035,2.838422,[45 19] ; [14 13],[41.49450549 22.50549451] ; [17.50549451  9.49450549],0
v4,1,0.095102,2.785822,[49 15] ; [16 11],[45.71428571 18.28571429] ; [19.28571429  7.71428571],0
n1,1,0.097078,2.752899,[10 17] ; [9 5],[12.51219512 14.48780488] ; [6.48780488 7.51219512],0
v1,1,0.127552,2.322045,[30 34] ; [ 8 19],[26.72527473 37.27472527] ; [11.27472527 15.72527473],0
u2,1,0.179183,1.804386,[12  7] ; [6 9],[10.05882353  8.94117647] ; [7.94117647 7.05882353],0
s8,1,0.1877,1.735582,[15 50] ; [ 3 24],[12.7173913 52.2826087] ; [ 5.2826087 21.7173913],0
b4,1,0.236628,1.400574,[40 25] ; [13 14],[37.44565217 27.55434783] ; [15.55434783 11.44565217],0
p4,1,0.238014,1.39232,[17 48] ; [ 4 23],[14.83695652 50.16304348] ; [ 6.16304348 20.83695652],0
a2,1,0.300883,1.070275,[10 55] ; [ 2 25],[ 8.47826087 56.52173913] ; [ 3.52173913 23.47826087],0
r2,1,0.328879,0.953305,[57  7] ; [22  5],[55.56043956  8.43956044] ; [23.43956044  3.56043956],0
p8,1,0.369633,0.804898,[12 52] ; [ 3 24],[10.54945055 53.45054945] ; [ 4.45054945 22.54945055],0
b5,1,0.526426,0.401286,[36 29] ; [13 14],[34.61956522 30.38043478] ; [14.38043478 12.61956522],0
p10,1,0.552196,0.353398,[29 35] ; [10 16],[27.73333333 36.26666667] ; [11.26666667 14.73333333],0
s6,1,0.561923,0.336386,[23 41] ; [ 8 19],[21.8021978 42.1978022] ; [ 9.1978022 17.8021978],0
s2,1,0.594879,0.282789,[23 42] ; [ 8 19],[21.90217391 43.09782609] ; [ 9.09782609 17.90217391],0
a1,1,0.596158,0.28083,[ 5 60] ; [ 3 24],[ 5.65217391 59.34782609] ; [ 2.34782609 24.65217391],0
s1,1,0.626307,0.237102,[ 4 60] ; [ 1 26],[ 3.51648352 60.48351648] ; [ 1.48351648 25.51648352],0
p11,1,0.68845,0.160768,[27 38] ; [10 17],[26.14130435 38.85869565] ; [10.85869565 16.14130435],0
p9,1,0.693332,0.155502,[34 30] ; [15 11],[34.84444444 29.15555556] ; [14.15555556 11.84444444],0
v3,1,0.730455,0.118694,[16 43] ; [ 8 18],[16.65882353 42.34117647] ; [ 7.34117647 18.65882353],0
s3,1,0.735746,0.113901,[26 38] ; [12 15],[26.72527473 37.27472527] ; [11.27472527 15.72527473],0
b1,1,0.797306,0.065965,[27 38] ; [12 15],[27.55434783 37.44565217] ; [11.44565217 15.55434783],0
p6,1,0.799943,0.064222,[ 6 58] ; [ 3 24],[ 6.32967033 57.67032967] ; [ 2.67032967 24.32967033],0
u1,1,0.845193,0.038125,[ 3 62] ; [ 1 26],[ 2.82608696 62.17391304] ; [ 1.17391304 25.82608696],0
p1,1,0.852711,0.03447,[ 8 56] ; [ 3 24],[ 7.73626374 56.26373626] ; [ 3.26373626 23.73626374],0
n3,1,0.890386,0.018993,[16 11] ; [8 5],[16.2 10.8] ; [7.8 5.2],0
s4,1,0.90333,0.014752,[ 9 56] ; [ 4 23],[ 9.18478261 55.81521739] ; [ 3.81521739 23.18478261],0
s7,1,0.947946,0.004262,[14 45] ; [ 6 20],[13.88235294 45.11764706] ; [ 6.11764706 19.88235294],0
p3,1,0.970853,0.001335,[14 50] ; [ 6 21],[14.06593407 49.93406593] ; [ 5.93406593 21.06593407],0
