Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,27.533253,[10 17] ; [82 13],[20.36065574  6.63934426] ; [71.63934426 23.36065574],1
b5,1,0.052692,3.753661,[11 17] ; [57 38],[15.4796748 12.5203252] ; [52.5203252 42.4796748],0
b3,1,0.054772,3.68902,[ 1 15] ; [18 43],[ 3.94805195 12.05194805] ; [15.05194805 45.94805195],0
b2,1,0.054772,3.68902,[ 1 15] ; [18 43],[ 3.94805195 12.05194805] ; [15.05194805 45.94805195],0
v3,1,0.058535,3.578407,[ 7 21] ; [41 50],[11.29411765 16.70588235] ; [36.70588235 54.29411765],0
n6,1,0.077033,3.126412,[19  9] ; [79 16],[22.30894309  5.69105691] ; [75.69105691 19.30894309],0
n1,1,0.098019,2.737486,[ 4 10] ; [13 10],[6.43243243 7.56756757] ; [10.56756757 12.43243243],0
p5,1,0.106011,2.612701,[ 1 27] ; [14 79],[ 3.47107438 24.52892562] ; [11.52892562 81.47107438],0
a5,1,0.116855,2.458976,[14 14] ; [63 32],[17.52845528 10.47154472] ; [59.47154472 35.52845528],0
n3,1,0.120507,2.410714,[13  1] ; [15  6],[11.2  2.8] ; [16.8  4.2],0
b4,1,0.124478,2.360046,[11 17] ; [53 42],[14.56910569 13.43089431] ; [49.43089431 45.56910569],0
p8,1,0.126855,2.330577,[10 18] ; [47 43],[13.52542373 14.47457627] ; [43.47457627 46.52542373],0
d3,1,0.128376,2.31203,[ 6 22] ; [35 60],[ 9.33333333 18.66666667] ; [31.66666667 63.33333333],0
s4,1,0.141266,2.164116,[ 8 20] ; [15 78],[ 5.32231405 22.67768595] ; [17.67768595 75.32231405],0
a6,1,0.144078,2.133851,[14 14] ; [62 33],[17.30081301 10.69918699] ; [58.69918699 36.30081301],0
p1,1,0.161025,1.964573,[ 2 26] ; [17 77],[ 4.36065574 23.63934426] ; [14.63934426 79.36065574],0
v1,1,0.162741,1.948574,[11 17] ; [50 42],[14.23333333 13.76666667] ; [46.76666667 45.23333333],0
p6,1,0.183492,1.76911,[ 6 22] ; [32 60],[ 8.86666667 19.13333333] ; [29.13333333 62.86666667],0
r2,1,0.19172,1.704353,[25  3] ; [91  4],[26.40650407  1.59349593] ; [89.59349593  5.40650407],0
