Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.1e-05,19.301486,[49 12] ; [ 2 10],[42.61643836 18.38356164] ; [8.38356164 3.61643836],1
r2,1,0.00301,8.801552,[53  8] ; [6 6],[49.30136986 11.69863014] ; [9.69863014 2.30136986],0
s2,1,0.019295,5.474604,[27 34] ; [ 1 11],[23.39726027 37.60273973] ; [4.60273973 7.39726027],0
p9,1,0.024459,5.061806,[32 26] ; [2 9],[28.57971014 29.42028986] ; [5.42028986 5.57971014],0
v4,1,0.030417,4.685589,[52  9] ; [7 5],[49.30136986 11.69863014] ; [9.69863014 2.30136986],0
v2,1,0.044933,4.021136,[27 29] ; [ 2 10],[23.88235294 32.11764706] ; [5.11764706 6.88235294],0
p11,1,0.047938,3.91217,[29 32] ; [ 2 10],[25.90410959 35.09589041] ; [5.09589041 6.90410959],0
s3,1,0.059892,3.540378,[28 33] ; [ 2 10],[25.06849315 35.93150685] ; [4.93150685 7.06849315],0
p10,1,0.06479,3.410321,[32 27] ; [3 9],[29.08450704 29.91549296] ; [5.91549296 6.08450704],0
s6,1,0.081678,3.031194,[31 28] ; [3 9],[28.25352113 30.74647887] ; [5.74647887 6.25352113],0
s1,1,0.088499,2.901474,[ 5 56] ; [3 9],[ 6.68493151 54.31506849] ; [ 1.31506849 10.68493151],0
s5,1,0.123326,2.37457,[17 40] ; [ 1 11],[14.86956522 42.13043478] ; [3.13043478 8.86956522],0
p4,1,0.179712,1.8,[22 38] ; [ 2 10],[20. 40.] ; [4. 8.],0
s4,1,0.213357,1.548499,[15 46] ; [ 1 11],[13.36986301 47.63013699] ; [2.63013699 9.36986301],0
s7,1,0.216067,1.530304,[16 40] ; [1 9],[14.42424242 41.57575758] ; [2.57575758 7.42424242],0
r1,1,0.223791,1.479893,[37 24] ; [5 7],[35.09589041 25.90410959] ; [6.90410959 5.09589041],0
p1,1,0.243803,1.358467,[ 4 57] ; [ 2 10],[ 5.01369863 55.98630137] ; [ 0.98630137 11.01369863],0
a3,1,0.297925,1.08346,[36 25] ; [9 3],[37.60273973 23.39726027] ; [7.39726027 4.60273973],0
n2,1,0.354429,0.857537,[18 11] ; [2 3],[17.05882353 11.94117647] ; [2.94117647 2.05882353],0
d2,1,0.366013,0.817155,[29 32] ; [4 8],[27.57534247 33.42465753] ; [5.42465753 6.57534247],0
b1,1,0.371725,0.797889,[27 34] ; [7 5],[28.4109589 32.5890411] ; [5.5890411 6.4109589],0
a6,1,0.371725,0.797889,[27 34] ; [7 5],[28.4109589 32.5890411] ; [5.5890411 6.4109589],0
v1,1,0.400828,0.70584,[23 38] ; [3 9],[21.7260274 39.2739726] ; [4.2739726 7.7260274],0
d4,1,0.418839,0.65357,[44 17] ; [10  2],[45.12328767 15.87671233] ; [8.87671233 3.12328767],0
b4,1,0.422497,0.643359,[33 28] ; [8 4],[34.26027397 26.73972603] ; [6.73972603 5.26027397],0
d3,1,0.430702,0.62093,[28 33] ; [7 5],[29.24657534 31.75342466] ; [5.75342466 6.24657534],0
n6,1,0.430702,0.62093,[33 28] ; [5 7],[31.75342466 29.24657534] ; [6.24657534 5.75342466],0
v3,1,0.441813,0.591569,[13 44] ; [4 8],[14.04347826 42.95652174] ; [2.95652174 9.04347826],0
u2,1,0.456973,0.553299,[14 11] ; [1 2],[13.39285714 11.60714286] ; [1.60714286 1.39285714],0
n5,1,0.502335,0.45,[19 41] ; [5 7],[20. 40.] ; [4. 8.],0
b5,1,0.553479,0.351121,[41 20] ; [7 5],[40.10958904 20.89041096] ; [7.89041096 4.10958904],0
a4,1,0.620549,0.245097,[25 36] ; [4 8],[24.23287671 36.76712329] ; [4.76712329 7.23287671],0
a7,1,0.63389,0.226822,[31 30] ; [7 5],[31.75342466 29.24657534] ; [6.24657534 5.75342466],0
a1,1,0.634633,0.225831,[ 3 58] ; [ 1 11],[ 3.34246575 57.65753425] ; [ 0.65753425 11.34246575],0
a5,1,0.637786,0.221649,[35 26] ; [6 6],[34.26027397 26.73972603] ; [6.73972603 5.26027397],0
p7,1,0.647195,0.209455,[19 41] ; [3 9],[18.33333333 41.66666667] ; [3.66666667 8.33333333],0
p3,1,0.697031,0.151579,[13 47] ; [ 2 10],[12.5 47.5] ; [2.5 9.5],0
n1,1,0.73137,0.117857,[ 9 19] ; [2 3],[ 9.33333333 18.66666667] ; [1.66666667 3.33333333],0
a2,1,0.743576,0.107008,[ 8 53] ; [ 2 10],[ 8.35616438 52.64383562] ; [ 1.64383562 10.35616438],0
n3,1,0.7903,0.070714,[15 13] ; [3 2],[15.27272727 12.72727273] ; [2.72727273 2.27272727],0
d5,1,0.791797,0.069684,[43 18] ; [8 4],[42.61643836 18.38356164] ; [8.38356164 3.61643836],0
u3,1,0.823218,0.049911,[15 10] ; [2 1],[15.17857143  9.82142857] ; [1.82142857 1.17857143],0
b2,1,0.889381,0.019345,[10 22] ; [2 5],[ 9.84615385 22.15384615] ; [2.15384615 4.84615385],0
b3,1,0.889381,0.019345,[10 22] ; [2 5],[ 9.84615385 22.15384615] ; [2.15384615 4.84615385],0
p8,1,0.942396,0.005221,[16 45] ; [3 8],[16.09722222 44.90277778] ; [2.90277778 8.09722222],0
d1,1,0.964934,0.001933,[25 36] ; [5 7],[25.06849315 35.93150685] ; [4.93150685 7.06849315],0
