Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.885555,[49  4] ; [17 19],[39.30337079 13.69662921] ; [26.69662921  9.30337079],1
p2,1,0.000593,11.797395,[52  3] ; [25 12],[46.0326087  8.9673913] ; [30.9673913  6.0326087],1
p6,1,0.001877,9.666473,[36 19] ; [12 25],[28.69565217 26.30434783] ; [19.30434783 17.69565217],0
p11,1,0.002165,9.404497,[48  7] ; [22 15],[41.84782609 13.15217391] ; [28.15217391  8.84782609],0
a3,1,0.005802,7.610641,[37 18] ; [34  3],[42.44565217 12.55434783] ; [28.55434783  8.44565217],0
n5,1,0.008001,7.033205,[44 11] ; [20 17],[38.26086957 16.73913043] ; [25.73913043 11.26086957],0
p3,1,0.011207,6.432175,[37 18] ; [15 22],[31.08695652 23.91304348] ; [20.91304348 16.08695652],0
b5,1,0.019436,5.461865,[30 25] ; [29  8],[35.27173913 19.72826087] ; [23.72826087 13.27173913],0
p4,1,0.022001,5.245733,[41 14] ; [19 18],[35.86956522 19.13043478] ; [24.13043478 12.86956522],0
p10,1,0.045506,3.999793,[49  6] ; [27 10],[45.43478261  9.56521739] ; [30.56521739  6.43478261],0
u1,1,0.065567,3.390663,[10 45] ; [13 24],[13.75 41.25] ; [ 9.25 27.75],0
p12,1,0.094281,2.799719,[ 7 48] ; [ 1 36],[ 4.7826087 50.2173913] ; [ 3.2173913 33.7826087],0
a2,1,0.116121,2.468873,[10 45] ; [12 25],[13.15217391 41.84782609] ; [ 8.84782609 28.15217391],0
a5,1,0.144329,2.131185,[37 18] ; [30  7],[40.05434783 14.94565217] ; [26.94565217 10.05434783],0
a4,1,0.184512,1.760906,[22 33] ; [20 17],[25.10869565 29.89130435] ; [16.89130435 20.10869565],0
s6,1,0.19788,1.657955,[49  4] ; [31  6],[47.11111111  5.88888889] ; [32.88888889  4.11111111],0
v2,1,0.199648,1.64495,[20 33] ; [19 18],[22.96666667 30.03333333] ; [16.03333333 20.96666667],0
p5,1,0.246397,1.343617,[ 7 48] ; [ 2 35],[ 5.38043478 49.61956522] ; [ 3.61956522 33.38043478],0
n6,1,0.257467,1.282326,[48  7] ; [29  8],[46.0326087  8.9673913] ; [30.9673913  6.0326087],0
n2,1,0.273322,1.2,[11  1] ; [9 3],[10.  2.] ; [10.  2.],0
v4,1,0.336315,0.924429,[53  2] ; [33  3],[51.97802198  3.02197802] ; [34.02197802  1.97802198],0
r3,1,0.34205,0.902733,[52  3] ; [33  4],[50.81521739  4.18478261] ; [34.18478261  2.81521739],0
r2,1,0.357511,0.846619,[51  4] ; [35  1],[51.97802198  3.02197802] ; [34.02197802  1.97802198],0
d2,1,0.372229,0.79621,[26 29] ; [21 16],[28.09782609 26.90217391] ; [18.90217391 18.09782609],0
n1,1,0.386476,0.75,[5 7] ; [3 9],[4. 8.] ; [4. 8.],0
a6,1,0.403931,0.696593,[34 21] ; [26 11],[35.86956522 19.13043478] ; [24.13043478 12.86956522],0
b1,1,0.414838,0.664892,[24 31] ; [13 24],[22.11956522 32.88043478] ; [14.88043478 22.11956522],0
b4,1,0.419476,0.651782,[28 27] ; [22 15],[29.89130435 25.10869565] ; [20.10869565 16.89130435],0
d3,1,0.463949,0.536351,[41 14] ; [30  7],[42.44565217 12.55434783] ; [28.55434783  8.44565217],0
v1,1,0.470446,0.520929,[28 27] ; [16 21],[26.30434783 28.69565217] ; [17.69565217 19.30434783],0
b2,1,0.490925,0.474498,[ 7 26] ; [ 7 17],[ 8.10526316 24.89473684] ; [ 5.89473684 18.10526316],0
b3,1,0.490925,0.474498,[ 7 26] ; [ 7 17],[ 8.10526316 24.89473684] ; [ 5.89473684 18.10526316],0
d4,1,0.506596,0.441092,[43 12] ; [31  6],[44.23913043 10.76086957] ; [29.76086957  7.23913043],0
d1,1,0.507349,0.43953,[35 20] ; [21 16],[33.47826087 21.52173913] ; [22.52173913 14.47826087],0
s5,1,0.519606,0.414675,[31 20] ; [23 11],[32.4 18.6] ; [21.6 12.4],0
r1,1,0.565748,0.329848,[43 12] ; [27 10],[41.84782609 13.15217391] ; [28.15217391  8.84782609],0
a7,1,0.5729,0.317855,[34 21] ; [25 12],[35.27173913 19.72826087] ; [23.72826087 13.27173913],0
s8,1,0.613801,0.254676,[37 18] ; [23 14],[35.86956522 19.13043478] ; [24.13043478 12.86956522],0
n3,1,0.615228,0.252632,[9 3] ; [10  2],[9.5 2.5] ; [9.5 2.5],0
d5,1,0.646587,0.21023,[44 11] ; [31  6],[44.83695652 10.16304348] ; [30.16304348  6.83695652],0
v3,1,0.692176,0.15674,[19 36] ; [11 25],[18.13186813 36.86813187] ; [11.86813187 24.13186813],0
p1,1,0.705782,0.142527,[ 6 49] ; [ 5 32],[ 6.57608696 48.42391304] ; [ 4.42391304 32.57608696],0
s1,1,0.722073,0.126515,[ 4 51] ; [ 2 35],[ 3.58695652 51.41304348] ; [ 2.41304348 34.58695652],0
a1,1,0.804726,0.061125,[ 2 53] ; [ 1 36],[ 1.79347826 53.20652174] ; [ 1.20652174 35.79347826],0
s3,1,0.807311,0.059485,[45 10] ; [31  6],[45.43478261  9.56521739] ; [30.56521739  6.43478261],0
p9,1,0.817114,0.05348,[48  7] ; [32  4],[48.35164835  6.64835165] ; [31.64835165  4.35164835],0
s2,1,0.826833,0.047858,[47  8] ; [31  6],[46.63043478  8.36956522] ; [31.36956522  5.63043478],0
u2,1,0.854445,0.033654,[11  7] ; [2 1],[11.14285714  6.85714286] ; [1.85714286 1.14285714],0
r4,1,0.889189,0.019413,[47  8] ; [32  5],[47.22826087  7.77173913] ; [31.77173913  5.22826087],0
n4,1,0.947393,0.004353,[39 16] ; [26 11],[38.85869565 16.14130435] ; [26.14130435 10.85869565],0
a8,1,0.956061,0.003036,[ 3 47] ; [ 2 33],[ 2.94117647 47.05882353] ; [ 2.05882353 32.94117647],0
