Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.046063,3.979277,[12  2] ; [20 16],[8.96 5.04] ; [23.04 12.96],0
a5,1,0.066076,3.377903,[11  3] ; [18 18],[8.12 5.88] ; [20.88 15.12],0
d2,1,0.070701,3.266667,[10  4] ; [15 20],[7.14285714 6.85714286] ; [17.85714286 17.14285714],0
r2,1,0.08023,3.060229,[5 8] ; [22 11],[7.63043478 5.36956522] ; [19.36956522 13.63043478],0
b1,1,0.105698,2.617386,[5 9] ; [22 14],[7.56 6.44] ; [19.44 16.56],0
s5,1,0.115198,2.481426,[5 9] ; [ 5 28],[ 2.9787234 11.0212766] ; [ 7.0212766 25.9787234],0
r3,1,0.145071,2.123333,[13  1] ; [26  9],[11.14285714  2.85714286] ; [27.85714286  7.14285714],0
a6,1,0.1506,2.066163,[5 9] ; [21 15],[7.28 6.72] ; [18.72 17.28],0
a4,1,0.198398,1.654128,[7 7] ; [11 25],[5.04 8.96] ; [12.96 23.04],0
p7,1,0.201243,1.633333,[ 4 10] ; [17 18],[6. 8.] ; [15. 20.],0
n1,1,0.2113,1.5625,[2 3] ; [ 3 17],[1. 4.] ; [ 4. 16.],0
r1,1,0.216021,1.530612,[6 8] ; [ 9 27],[4.2 9.8] ; [10.8 25.2],0
p11,1,0.241909,1.369437,[11  3] ; [22 14],[9.24 4.76] ; [23.76 12.24],0
d5,1,0.286718,1.134968,[13  1] ; [29  7],[11.76  2.24] ; [30.24  5.76],0
u1,1,0.306934,1.043823,[ 2 12] ; [ 2 34],[ 1.12 12.88] ; [ 2.88 33.12],0
p2,1,0.307781,1.040175,[7 7] ; [23 12],[8.57142857 5.42857143] ; [21.42857143 13.57142857],0
s7,1,0.307841,1.039916,[6 6] ; [11 22],[4.53333333 7.46666667] ; [12.46666667 20.53333333],0
u2,1,0.310437,1.028815,[1 3] ; [6 5],[1.86666667 2.13333333] ; [5.13333333 5.86666667],0
p4,1,0.343651,0.896765,[7 7] ; [12 22],[5.54166667 8.45833333] ; [13.45833333 20.54166667],0
s6,1,0.362806,0.828157,[9 5] ; [18 18],[7.56 6.44] ; [19.44 16.56],0
p10,1,0.374392,0.789035,[8 5] ; [16 18],[6.63829787 6.36170213] ; [17.36170213 16.63829787],0
u3,1,0.382733,0.761905,[1 3] ; [6 6],[1.75 2.25] ; [5.25 6.75],0
s8,1,0.448682,0.57398,[5 9] ; [ 9 27],[ 3.92 10.08] ; [10.08 25.92],0
n6,1,0.494963,0.465719,[10  4] ; [22 14],[8.96 5.04] ; [23.04 12.96],0
n4,1,0.494963,0.465719,[10  4] ; [22 14],[8.96 5.04] ; [23.04 12.96],0
v3,1,0.494963,0.465719,[ 4 10] ; [14 22],[5.04 8.96] ; [12.96 23.04],0
a8,1,0.500406,0.454075,[ 1 12] ; [ 1 31],[ 0.57777778 12.42222222] ; [ 1.42222222 30.57777778],0
n2,1,0.504036,0.446429,[3 2] ; [15  5],[3.6 1.4] ; [14.4  5.6],0
a2,1,0.513785,0.426351,[ 3 11] ; [ 5 31],[ 2.24 11.76] ; [ 5.76 30.24],0
s3,1,0.524129,0.405762,[6 7] ; [13 23],[5.04081633 7.95918367] ; [13.95918367 22.04081633],0
d3,1,0.528733,0.396825,[8 6] ; [24 12],[8.96 5.04] ; [23.04 12.96],0
p8,1,0.57159,0.32003,[ 3 10] ; [11 24],[3.79166667 9.20833333] ; [10.20833333 24.79166667],0
b3,1,0.625585,0.238095,[3 9] ; [ 6 12],[3.6 8.4] ; [ 5.4 12.6],0
b2,1,0.625585,0.238095,[3 9] ; [ 6 12],[3.6 8.4] ; [ 5.4 12.6],0
s2,1,0.647804,0.20868,[6 7] ; [14 22],[5.30612245 7.69387755] ; [14.69387755 21.30612245],0
n5,1,0.659027,0.194707,[8 6] ; [23 13],[8.68 5.32] ; [22.32 13.68],0
b5,1,0.659027,0.194707,[8 6] ; [23 13],[8.68 5.32] ; [22.32 13.68],0
n3,1,0.698535,0.15,[3 1] ; [13  7],[2.66666667 1.33333333] ; [13.33333333  6.66666667],0
a3,1,0.745861,0.105042,[10  4] ; [24 12],[9.52 4.48] ; [24.48 11.52],0
p6,1,0.748756,0.102579,[ 4 10] ; [11 22],[4.46808511 9.53191489] ; [10.53191489 22.46808511],0
d1,1,0.797046,0.066138,[8 6] ; [22 14],[8.4 5.6] ; [21.6 14.4],0
p3,1,0.797245,0.066005,[ 4 10] ; [11 23],[4.375 9.625] ; [10.625 23.375],0
v1,1,0.813473,0.055672,[7 6] ; [17 17],[6.63829787 6.36170213] ; [17.36170213 16.63829787],0
s4,1,0.836637,0.042517,[ 2 12] ; [ 6 30],[ 2.24 11.76] ; [ 5.76 30.24],0
p12,1,0.850537,0.035507,[ 1 13] ; [ 2 33],[ 0.85714286 13.14285714] ; [ 2.14285714 32.85714286],0
a7,1,0.854148,0.033793,[8 6] ; [21 14],[8.28571429 5.71428571] ; [20.71428571 14.28571429],0
p5,1,0.889198,0.01941,[ 1 13] ; [ 3 33],[ 1.12 12.88] ; [ 2.88 33.12],0
s1,1,0.889198,0.01941,[ 1 13] ; [ 3 33],[ 1.12 12.88] ; [ 2.88 33.12],0
d4,1,0.910752,0.012564,[11  3] ; [28  7],[11.14285714  2.85714286] ; [27.85714286  7.14285714],0
p9,1,1.0,0.0,[7 5] ; [21 15],[7. 5.] ; [21. 15.],0
