Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,45.887045,[ 94 164] ; [80 26],[123.32967033 134.67032967] ; [50.67032967 55.32967033],1
v1,1,0.000284,13.170387,[ 97 166] ; [62 46],[112.71428571 150.28571429] ; [46.28571429 61.71428571],1
v4,1,0.00273,8.979768,[222  42] ; [104   5],[230.73458445  33.26541555] ; [95.26541555 13.73458445],0
r2,1,0.004773,7.963366,[222  40] ; [102   5],[230.04878049  31.95121951] ; [93.95121951 13.04878049],0
p3,1,0.007399,7.173573,[ 92 174] ; [53 54],[103.40482574 162.59517426] ; [41.59517426 65.40482574],0
n6,1,0.010033,6.629003,[191  75] ; [92 17],[200.74133333  65.25866667] ; [82.25866667 26.74133333],0
p7,1,0.012504,6.237986,[126 137] ; [66 40],[136.84552846 126.15447154] ; [55.15447154 50.84552846],0
r4,1,0.018605,5.538239,[195  72] ; [92 17],[203.80053191  63.19946809] ; [83.19946809 25.80053191],0
p6,1,0.021061,5.321759,[ 52 209] ; [33 73],[ 60.44959128 200.55040872] ; [24.55040872 81.44959128],0
p12,1,0.02143,5.291483,[  5 260] ; [  7 100],[  8.5483871 256.4516129] ; [  3.4516129 103.5483871],0
p5,1,0.021795,5.262094,[ 14 252] ; [13 95],[ 19.20320856 246.79679144] ; [  7.79679144 100.20320856],0
p4,1,0.027456,4.861917,[112 154] ; [57 47],[121.4972973 144.5027027] ; [47.5027027 56.4972973],0
p10,1,0.030359,4.688828,[165  98] ; [79 27],[173.90785908  89.09214092] ; [70.09214092 35.90785908],0
s6,1,0.046704,3.956016,[ 86 179] ; [46 60],[ 94.28571429 170.71428571] ; [37.71428571 68.28571429],0
n4,1,0.064579,3.41571,[174  93] ; [81 27],[181.56  85.44] ; [73.44 34.56],0
s7,1,0.067101,3.352561,[ 33 220] ; [21 80],[ 38.59322034 214.40677966] ; [15.40677966 85.59322034],0
n5,1,0.074699,3.176633,[171  94] ; [80 28],[178.32439678  86.67560322] ; [72.67560322 35.32439678],0
p8,1,0.080205,3.060736,[107 157] ; [54 53],[114.56603774 149.43396226] ; [46.43396226 60.56603774],0
r1,1,0.081092,3.042886,[173  93] ; [81 28],[180.17066667  85.82933333] ; [73.82933333 35.17066667],0
a7,1,0.090385,2.867509,[171  96] ; [79 29],[178.  89.] ; [72. 36.],0
r3,1,0.098088,2.736356,[224  42] ; [98 10],[229.01604278  36.98395722] ; [92.98395722 15.01604278],0
d1,1,0.103387,2.652507,[115 152] ; [57 52],[122.13829787 144.86170213] ; [49.86170213 59.13829787],0
a6,1,0.132378,2.264394,[172  95] ; [79 30],[178.23670213  88.76329787] ; [72.76329787 36.23670213],0
a3,1,0.143243,2.142773,[157 107] ; [73 35],[163.22580645 100.77419355] ; [66.77419355 41.22580645],0
p9,1,0.158348,1.989933,[179  82] ; [82 26],[184.6097561  76.3902439] ; [76.3902439 31.6097561],0
d3,1,0.170898,1.875052,[158 108] ; [73 36],[163.856 102.144] ; [67.144 41.856],0
p11,1,0.221961,1.491649,[184  83] ; [82 27],[188.88829787  78.11170213] ; [77.11170213 31.88829787],0
