Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.001392,10.216833,[12  8] ; [18 60],[ 6.12244898 13.87755102] ; [23.87755102 54.12244898],0
p4,1,0.010383,6.567969,[10 13] ; [14 65],[ 5.41176471 17.58823529] ; [18.58823529 60.41176471],0
p2,1,0.019144,5.488334,[17  6] ; [36 42],[12.06930693 10.93069307] ; [40.93069307 37.06930693],0
v4,1,0.032786,4.556915,[17  4] ; [42 34],[12.77319588  8.22680412] ; [46.22680412 29.77319588],0
p5,1,0.039891,4.222506,[ 3 20] ; [ 2 77],[ 1.12745098 21.87254902] ; [ 3.87254902 75.12745098],0
n2,1,0.040376,4.20202,[10  2] ; [20 20],[6.92307692 5.07692308] ; [23.07692308 16.92307692],0
a4,1,0.047628,3.923077,[ 4 20] ; [30 48],[ 8. 16.] ; [26. 52.],0
p10,1,0.053456,3.729604,[15  7] ; [35 43],[11. 11.] ; [39. 39.],0
s8,1,0.085056,2.965536,[ 7 17] ; [11 68],[ 4.19417476 19.80582524] ; [13.80582524 65.19417476],0
a5,1,0.110723,2.543867,[ 8 16] ; [41 38],[11.41747573 12.58252427] ; [37.58252427 41.41747573],0
p11,1,0.118276,2.440008,[15  9] ; [35 44],[11.65048544 12.34951456] ; [38.34951456 40.65048544],0
r3,1,0.138367,2.19603,[16  8] ; [37 38],[12.84848485 11.15151515] ; [40.15151515 34.84848485],0
a7,1,0.144755,2.126671,[15  9] ; [35 42],[11.88118812 12.11881188] ; [38.11881188 38.88118812],0
b2,1,0.167807,1.902426,[ 3 11] ; [20 28],[5.19354839 8.80645161] ; [17.80645161 30.19354839],0
b3,1,0.167807,1.902426,[ 3 11] ; [20 28],[5.19354839 8.80645161] ; [17.80645161 30.19354839],0
n4,1,0.173042,1.856387,[11 13] ; [48 30],[13.88235294 10.11764706] ; [45.11764706 32.88235294],0
p6,1,0.182206,1.779541,[ 5 19] ; [ 8 69],[ 3.08910891 20.91089109] ; [ 9.91089109 67.08910891],0
a1,1,0.191945,1.702628,[ 1 23] ; [11 68],[ 2.7961165 21.2038835] ; [ 9.2038835 69.7961165],0
s2,1,0.193108,1.693747,[ 8 15] ; [17 62],[ 5.6372549 17.3627451] ; [19.3627451 59.6372549],0
s7,1,0.213586,1.546949,[ 9 14] ; [19 55],[ 6.63917526 16.36082474] ; [21.36082474 52.63917526],0
u3,1,0.218693,1.512926,[6 7] ; [ 9 24],[4.23913043 8.76086957] ; [10.76086957 22.23913043],0
n5,1,0.220381,1.501889,[12 11] ; [51 26],[14.49  8.51] ; [48.51 28.49],0
a3,1,0.230249,1.439323,[11 13] ; [46 31],[13.54455446 10.45544554] ; [43.45544554 33.54455446],0
d2,1,0.231155,1.433741,[ 7 17] ; [33 44],[ 9.5049505 14.4950495] ; [30.4950495 46.5049505],0
d1,1,0.24302,1.362987,[ 6 18] ; [30 49],[ 8.38834951 15.61165049] ; [27.61165049 51.38834951],0
r2,1,0.244577,1.354019,[15  7] ; [39 33],[12.63829787  9.36170213] ; [41.36170213 30.63829787],0
s5,1,0.313448,1.016092,[ 2 22] ; [13 65],[ 3.52941176 20.47058824] ; [11.47058824 66.52941176],0
p12,1,0.348141,0.88022,[ 1 22] ; [ 1 78],[ 0.45098039 22.54901961] ; [ 1.54901961 77.45098039],0
d5,1,0.349224,0.876273,[12 12] ; [48 31],[13.98058252 10.01941748] ; [46.01941748 32.98058252],0
b5,1,0.361152,0.833883,[15  9] ; [41 38],[13.04854369 10.95145631] ; [42.95145631 36.04854369],0
s1,1,0.373284,0.792704,[ 2 22] ; [ 3 75],[ 1.17647059 22.82352941] ; [ 3.82352941 74.17647059],0
u2,1,0.418527,0.654447,[7 6] ; [13 19],[5.77777778 7.22222222] ; [14.22222222 17.77777778],0
d4,1,0.447649,0.576597,[13 11] ; [49 29],[14.58823529  9.41176471] ; [47.41176471 30.58823529],0
n1,1,0.44987,0.57098,[5 7] ; [12 28],[3.92307692 8.07692308] ; [13.07692308 26.92307692],0
u1,1,0.451775,0.566194,[ 1 23] ; [ 7 72],[ 1.86407767 22.13592233] ; [ 6.13592233 72.86407767],0
r1,1,0.511543,0.43091,[ 6 17] ; [26 52],[ 7.28712871 15.71287129] ; [24.71287129 53.28712871],0
v1,1,0.533008,0.388653,[ 8 15] ; [21 54],[ 6.80612245 16.19387755] ; [22.19387755 52.80612245],0
s6,1,0.534761,0.385337,[ 6 17] ; [26 53],[ 7.21568627 15.78431373] ; [24.78431373 54.21568627],0
b4,1,0.564886,0.331314,[13 11] ; [48 31],[14.21359223  9.78640777] ; [46.78640777 32.21359223],0
a6,1,0.579974,0.306277,[10 14] ; [38 41],[11.18446602 12.81553398] ; [36.81553398 42.18446602],0
p1,1,0.587763,0.293851,[ 1 22] ; [ 6 73],[ 1.57843137 21.42156863] ; [ 5.42156863 73.57843137],0
p9,1,0.622927,0.241775,[13 10] ; [38 37],[11.96938776 11.03061224] ; [39.03061224 35.96938776],0
s3,1,0.645916,0.211087,[ 8 14] ; [24 53],[ 7.11111111 14.88888889] ; [24.88888889 52.11111111],0
d3,1,0.659397,0.194257,[12 12] ; [35 43],[11.05882353 12.94117647] ; [35.94117647 42.05882353],0
n6,1,0.66134,0.1919,[13 10] ; [39 37],[12.08080808 10.91919192] ; [39.91919192 36.08080808],0
