Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.000114,14.895469,[22 23] ; [ 3 32],[14.0625 30.9375] ; [10.9375 24.0625],1
u1,1,0.00478,7.960678,[12 34] ; [ 1 34],[ 7.38271605 38.61728395] ; [ 5.61728395 29.38271605],0
a3,1,0.008777,6.867677,[33 13] ; [15 20],[27.25925926 18.74074074] ; [20.74074074 14.25925926],0
d1,1,0.017761,5.619567,[28 18] ; [12 23],[22.71604938 23.28395062] ; [17.28395062 17.71604938],0
d2,1,0.017761,5.619567,[28 18] ; [12 23],[22.71604938 23.28395062] ; [17.28395062 17.71604938],0
a6,1,0.024009,5.093975,[30 16] ; [14 21],[24.98765432 21.01234568] ; [19.01234568 15.98765432],0
r2,1,0.033513,4.519391,[43  3] ; [27  8],[39.75308642  6.24691358] ; [30.24691358  4.75308642],0
d4,1,0.044133,4.05148,[40  6] ; [24 11],[36.34567901  9.65432099] ; [27.65432099  7.34567901],0
r4,1,0.044133,4.05148,[40  6] ; [24 11],[36.34567901  9.65432099] ; [27.65432099  7.34567901],0
v1,1,0.051855,3.780438,[23 23] ; [10 25],[18.74074074 27.25925926] ; [14.25925926 20.74074074],0
n3,1,0.072073,3.235165,[10  3] ; [4 6],[7.91304348 5.08695652] ; [6.08695652 3.91304348],0
s4,1,0.076261,3.142847,[ 8 37] ; [12 22],[11.39240506 33.60759494] ; [ 8.60759494 25.39240506],0
d5,1,0.080689,3.050964,[38  8] ; [23 12],[34.64197531 11.35802469] ; [26.35802469  8.64197531],0
p6,1,0.120057,2.416582,[ 8 38] ; [11 23],[10.925 35.075] ; [ 8.075 25.925],0
r1,1,0.139689,2.181377,[38  8] ; [24 11],[35.20987654 10.79012346] ; [26.79012346  8.20987654],0
d3,1,0.158348,1.989931,[32 14] ; [19 16],[28.96296296 17.03703704] ; [22.03703704 12.96296296],0
n2,1,0.18262,1.776169,[11  2] ; [6 4],[9.60869565 3.39130435] ; [7.39130435 2.60869565],0
p4,1,0.203618,1.616234,[27 18] ; [16 19],[24.1875 20.8125] ; [18.8125 16.1875],0
p2,1,0.210884,1.565344,[30 16] ; [18 17],[27.25925926 18.74074074] ; [20.74074074 14.25925926],0
p5,1,0.228052,1.452969,[ 2 44] ; [ 4 31],[ 3.40740741 42.59259259] ; [ 2.59259259 32.40740741],0
n5,1,0.23638,1.402057,[27 19] ; [25 10],[29.5308642 16.4691358] ; [22.4691358 12.5308642],0
p8,1,0.30238,1.063668,[21 25] ; [12 23],[18.74074074 27.25925926] ; [14.25925926 20.74074074],0
b2,1,0.322473,0.978888,[ 9 22] ; [ 4 19],[ 7.46296296 23.53703704] ; [ 5.53703704 17.46296296],0
b3,1,0.322473,0.978888,[ 9 22] ; [ 4 19],[ 7.46296296 23.53703704] ; [ 5.53703704 17.46296296],0
u2,1,0.340943,0.906883,[6 7] ; [12  7],[7.3125 5.6875] ; [10.6875  8.3125],0
s8,1,0.344063,0.895232,[15 31] ; [15 20],[17.03703704 28.96296296] ; [12.96296296 22.03703704],0
s5,1,0.37509,0.786733,[15 31] ; [ 8 26],[13.225 32.775] ; [ 9.775 24.225],0
p10,1,0.384503,0.756256,[10 34] ; [11 24],[11.69620253 32.30379747] ; [ 9.30379747 25.69620253],0
p7,1,0.392345,0.731663,[22 24] ; [19 14],[23.87341772 22.12658228] ; [17.12658228 15.87341772],0
u3,1,0.410966,0.676003,[8 5] ; [15  5],[9.06060606 3.93939394] ; [13.93939394  6.06060606],0
r3,1,0.436239,0.606155,[43  3] ; [31  4],[42.02469136  3.97530864] ; [31.97530864  3.02469136],0
v2,1,0.495557,0.464439,[22 23] ; [14 20],[20.50632911 24.49367089] ; [15.49367089 18.50632911],0
b1,1,0.519714,0.414462,[27 19] ; [23 12],[28.39506173 17.60493827] ; [21.60493827 13.39506173],0
n4,1,0.525809,0.402484,[32 14] ; [22 13],[30.66666667 15.33333333] ; [23.33333333 11.66666667],0
s7,1,0.547986,0.360937,[18 27] ; [15 17],[19.28571429 25.71428571] ; [13.71428571 18.28571429],0
n1,1,0.571107,0.320833,[5 7] ; [3 7],[4.36363636 7.63636364] ; [3.63636364 6.36363636],0
n6,1,0.582492,0.302223,[33 13] ; [27  8],[34.07407407 11.92592593] ; [25.92592593  9.07407407],0
a1,1,0.611781,0.25759,[ 4 42] ; [ 2 33],[ 3.40740741 42.59259259] ; [ 2.59259259 32.40740741],0
v4,1,0.643378,0.214351,[41  5] ; [30  5],[40.32098765  5.67901235] ; [30.67901235  4.32098765],0
v3,1,0.683758,0.165926,[16 29] ; [14 21],[16.875 28.125] ; [13.125 21.875],0
s2,1,0.689953,0.159136,[25 21] ; [20 14],[25.875 20.125] ; [19.125 14.875],0
p1,1,0.727142,0.121752,[ 3 43] ; [ 3 32],[ 3.40740741 42.59259259] ; [ 2.59259259 32.40740741],0
a8,1,0.737316,0.1125,[ 4 36] ; [ 4 28],[ 4.44444444 35.55555556] ; [ 3.55555556 28.44444444],0
s1,1,0.748306,0.10296,[ 3 42] ; [ 3 32],[ 3.375 41.625] ; [ 2.625 32.375],0
b5,1,0.803849,0.061687,[29 17] ; [23 12],[29.5308642 16.4691358] ; [22.4691358 12.5308642],0
b4,1,0.803849,0.061687,[29 17] ; [23 12],[29.5308642 16.4691358] ; [22.4691358 12.5308642],0
a7,1,0.873981,0.025155,[31 15] ; [23 12],[30.66666667 15.33333333] ; [23.33333333 11.66666667],0
s3,1,0.878475,0.023379,[29 17] ; [22 12],[29.325 16.675] ; [21.675 12.325],0
p11,1,0.898632,0.016228,[23 23] ; [18 17],[23.28395062 22.71604938] ; [17.71604938 17.28395062],0
p3,1,0.986275,0.000296,[17 29] ; [13 22],[17.03703704 28.96296296] ; [12.96296296 22.03703704],0
