Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,8e-06,19.882082,[19  9] ; [ 3 26],[10.80701754 17.19298246] ; [11.19298246 17.80701754],1
s6,1,0.00011,14.957895,[26  3] ; [12 17],[19. 10.] ; [19. 10.],1
s3,1,0.00086,11.107087,[18 10] ; [ 6 23],[11.78947368 16.21052632] ; [12.21052632 16.78947368],1
n4,1,0.003305,8.630952,[26  3] ; [16 13],[21.  8.] ; [21.  8.],0
s2,1,0.003538,8.506667,[18 11] ; [ 7 22],[12.5 16.5] ; [12.5 16.5],0
d1,1,0.008597,6.904762,[19 10] ; [ 9 20],[14. 15.] ; [14. 15.],0
p6,1,0.027516,4.85812,[10 19] ; [ 3 26],[ 6.5 22.5] ; [ 6.5 22.5],0
r4,1,0.027516,4.85812,[26  3] ; [19 10],[22.5  6.5] ; [22.5  6.5],0
b1,1,0.030394,4.686869,[15 14] ; [ 7 22],[11. 18.] ; [11. 18.],0
p11,1,0.032938,4.54902,[21  8] ; [13 16],[17. 12.] ; [17. 12.],0
r3,1,0.037009,4.35,[27  2] ; [21  8],[24.  5.] ; [24.  5.],0
d3,1,0.038273,4.292868,[21  7] ; [14 15],[17.19298246 10.80701754] ; [17.80701754 11.19298246],0
d5,1,0.061005,3.509852,[22  6] ; [16 13],[18.66666667  9.33333333] ; [19.33333333  9.66666667],0
r1,1,0.065608,3.38961,[25  4] ; [19 10],[22.  7.] ; [22.  7.],0
u1,1,0.069789,3.287982,[ 7 22] ; [ 2 27],[ 4.5 24.5] ; [ 4.5 24.5],0
p8,1,0.07795,3.107143,[ 5 24] ; [11 18],[ 8. 21.] ; [ 8. 21.],0
s5,1,0.08858,2.9,[12 17] ; [ 6 23],[ 9. 20.] ; [ 9. 20.],0
d4,1,0.091768,2.843087,[23  5] ; [18 11],[20.14035088  7.85964912] ; [20.85964912  8.14035088],0
a2,1,0.093992,2.804642,[ 8 21] ; [ 3 26],[ 5.5 23.5] ; [ 5.5 23.5],0
u3,1,0.095205,2.784091,[8 1] ; [3 3],[6.6 2.4] ; [4.4 1.6],0
n6,1,0.131911,2.269868,[24  4] ; [20  9],[21.61403509  6.38596491] ; [22.38596491  6.61403509],0
p7,1,0.146185,2.111614,[11 17] ; [ 6 22],[ 8.5 19.5] ; [ 8.5 19.5],0
v1,1,0.146432,2.109031,[16 12] ; [11 18],[13.26315789 14.73684211] ; [13.73684211 15.26315789],0
a5,1,0.149207,2.080344,[23  6] ; [18 11],[20.5  8.5] ; [20.5  8.5],0
a4,1,0.161854,1.956815,[12 17] ; [ 7 22],[ 9.5 19.5] ; [ 9.5 19.5],0
a6,1,0.173364,1.853615,[22  6] ; [18 11],[19.64912281  8.35087719] ; [20.35087719  8.64912281],0
d2,1,0.233999,1.41639,[16 12] ; [12 17],[13.75438596 14.24561404] ; [14.24561404 14.75438596],0
p10,1,0.235533,1.407132,[19 10] ; [14 14],[16.78947368 12.21052632] ; [16.21052632 11.78947368],0
n5,1,0.256253,1.288889,[22  7] ; [18 11],[20.  9.] ; [20.  9.],0
n2,1,0.263552,1.25,[3 3] ; [7 2],[4. 2.] ; [6. 3.],0
b5,1,0.290914,1.115385,[18 11] ; [14 15],[16. 13.] ; [16. 13.],0
