Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,24.900258,[65 42] ; [120  16],[81.46090535 25.53909465] ; [103.53909465  32.46090535],1
p3,1,3.3e-05,17.222467,[53 53] ; [103  33],[68.33057851 37.66942149] ; [87.66942149 48.33057851],1
p7,1,9.9e-05,15.164462,[76 28] ; [124  11],[87.0292887 16.9707113] ; [112.9707113  22.0292887],1
p5,1,0.000157,14.282898,[10 96] ; [40 97],[21.81069959 84.18930041] ; [ 28.18930041 108.81069959],1
p12,1,0.00058,11.839183,[  6 101] ; [ 29 108],[15.34836066 91.65163934] ; [ 19.65163934 117.34836066],1
s5,1,0.008241,6.980309,[45 57] ; [80 50],[54.95689655 47.04310345] ; [70.04310345 59.95689655],0
n5,1,0.013986,6.039967,[81 25] ; [121  16],[88.11522634 17.88477366] ; [113.88477366  23.11522634],0
u4,1,0.027595,4.853217,[  1 106] ; [  9 128],[  4.3852459 102.6147541] ; [  5.6147541 131.3852459],0
b3,1,0.027853,4.837114,[19 44] ; [40 43],[25.45890411 37.54109589] ; [33.54109589 49.45890411],0
b2,1,0.027853,4.837114,[19 44] ; [40 43],[25.45890411 37.54109589] ; [33.54109589 49.45890411],0
s4,1,0.028405,4.803313,[18 88] ; [39 95],[25.175 80.825] ; [ 31.825 102.175],0
s8,1,0.040977,4.176976,[64 42] ; [99 37],[71.39669421 34.60330579] ; [91.60330579 44.39669421],0
s1,1,0.04369,4.068487,[  1 106] ; [  8 129],[  3.94672131 103.05327869] ; [  5.05327869 131.94672131],0
n1,1,0.050858,3.81295,[ 4 13] ; [12 10],[ 6.97435897 10.02564103] ; [ 9.02564103 12.97435897],0
s7,1,0.059723,3.545059,[70 34] ; [104  29],[76.35443038 27.64556962] ; [97.64556962 35.35443038],0
v1,1,0.075751,3.153776,[56 48] ; [88 47],[62.66108787 41.33891213] ; [81.33891213 53.66108787],0
b1,1,0.078045,3.105148,[35 72] ; [60 77],[41.65983607 65.34016393] ; [53.34016393 83.65983607],0
a1,1,0.079983,3.06525,[  4 103] ; [ 13 124],[ 7.45491803 99.54508197] ; [  9.54508197 127.45491803],0
p1,1,0.080365,3.057507,[ 9 96] ; [ 22 114],[13.50622407 91.49377593] ; [ 17.49377593 118.50622407],0
s6,1,0.115984,2.470737,[88 15] ; [124  11],[91.74789916 11.25210084] ; [120.25210084  14.74789916],0
a4,1,0.153502,2.037102,[41 66] ; [65 72],[46.48360656 60.51639344] ; [59.51639344 77.48360656],0
r2,1,0.183587,1.768349,[104   2] ; [129   7],[102.05785124   3.94214876] ; [130.94214876   5.05785124],0
p9,1,0.187611,1.736277,[92 14] ; [126  11],[95.09465021 10.90534979] ; [122.90534979  14.09465021],0
n4,1,0.20672,1.594249,[83 24] ; [115  22],[86.82786885 20.17213115] ; [111.17213115  25.82786885],0
n2,1,0.215254,1.535732,[13  4] ; [20  2],[14.38461538  2.61538462] ; [18.61538462  3.38461538],0
r1,1,0.215397,1.534777,[85 21] ; [118  19],[88.55144033 17.44855967] ; [114.44855967  22.55144033],0
d3,1,0.262543,1.255297,[75 32] ; [104  32],[78.81893004 28.18106996] ; [100.18106996  35.81893004],0
p2,1,0.319915,0.989296,[99  7] ; [123  14],[96.83950617  9.16049383] ; [125.16049383  11.83950617],0
d2,1,0.32101,0.984828,[49 58] ; [71 65],[52.83950617 54.16049383] ; [67.16049383 68.83950617],0
v3,1,0.332824,0.937879,[54 51] ; [60 73],[50.29411765 54.70588235] ; [63.70588235 69.29411765],0
a6,1,0.368356,0.809204,[71 36] ; [82 53],[67.64876033 39.35123967] ; [85.35123967 49.64876033],0
p11,1,0.420758,0.648197,[89 18] ; [119  18],[91.21311475 15.78688525] ; [116.78688525  20.21311475],0
a8,1,0.440508,0.59496,[15 83] ; [ 25 105],[17.19298246 80.80701754] ; [ 22.80701754 107.19298246],0
b5,1,0.473848,0.512989,[56 51] ; [78 59],[58.76229508 48.23770492] ; [75.23770492 61.76229508],0
a7,1,0.522248,0.409451,[81 26] ; [98 38],[78.81893004 28.18106996] ; [100.18106996  35.81893004],0
v2,1,0.535875,0.383238,[63 39] ; [78 57],[60.6835443 41.3164557] ; [80.3164557 54.6835443],0
d1,1,0.556805,0.345266,[68 39] ; [92 45],[70.16393443 36.83606557] ; [89.83606557 47.16393443],0
u3,1,0.559545,0.340493,[17 12] ; [23 12],[18.125 10.875] ; [21.875 13.125],0
d5,1,0.560082,0.339563,[88 19] ; [107  28],[86.21900826 20.78099174] ; [108.78099174  26.21900826],0
r4,1,0.584959,0.298285,[98  9] ; [128   9],[99.10655738  7.89344262] ; [126.89344262  10.10655738],0
a3,1,0.593591,0.284771,[77 30] ; [102  34],[78.81893004 28.18106996] ; [100.18106996  35.81893004],0
u2,1,0.611541,0.257937,[17 13] ; [22 13],[18. 12.] ; [21. 14.],0
v4,1,0.622843,0.241892,[102   2] ; [133   4],[101.41078838   2.58921162] ; [133.58921162   3.41078838],0
a2,1,0.658054,0.195896,[26 81] ; [ 30 107],[24.55737705 82.44262295] ; [ 31.44262295 105.55737705],0
u1,1,0.699029,0.149484,[19 88] ; [ 27 110],[20.17213115 86.82786885] ; [ 25.82786885 111.17213115],0
n3,1,0.720786,0.127741,[11  6] ; [13  9],[10.46153846  6.53846154] ; [13.53846154  8.46153846],0
r3,1,0.793048,0.06883,[103   4] ; [130   6],[102.59670782   4.40329218] ; [130.40329218   5.59670782],0
d4,1,0.801957,0.062908,[94 13] ; [120  15],[94.61983471 12.38016529] ; [119.38016529  15.61983471],0
n6,1,0.862403,0.030038,[95 11] ; [121  13],[95.4 10.6] ; [120.6  13.4],0
a5,1,0.891981,0.018441,[82 25] ; [106  31],[82.44262295 24.55737705] ; [105.55737705  31.44262295],0
p10,1,0.92712,0.008367,[94 12] ; [122  15],[94.22222222 11.77777778] ; [121.77777778  15.22222222],0
b4,1,0.990627,0.000138,[61 46] ; [78 59],[60.95491803 46.04508197] ; [78.04508197 58.95491803],0
s3,1,0.994956,4e-05,[92 14] ; [118  18],[91.98347107 14.01652893] ; [118.01652893  17.98347107],0
