Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.9e-05,17.457479,[ 37 113] ; [43 40],[51.50214592 98.49785408] ; [28.49785408 54.50214592],1
p9,1,0.001089,10.669768,[95 55] ; [71 14],[105.95744681  44.04255319] ; [60.04255319 24.95744681],0
r3,1,0.00749,7.151632,[123  31] ; [79  6],[130.15899582  23.84100418] ; [71.84100418 13.15899582],0
p2,1,0.010191,6.60126,[93 61] ; [66 20],[102.025  51.975] ; [56.975 29.025],0
v4,1,0.016072,5.795032,[123  31] ; [78  7],[129.51464435  24.48535565] ; [71.48535565 13.51464435],0
s6,1,0.026358,4.932376,[68 85] ; [50 34],[76.17721519 76.82278481] ; [41.82278481 42.17721519],0
p10,1,0.034043,4.49255,[88 64] ; [61 24],[95.56118143 56.43881857] ; [53.43881857 31.56118143],0
r4,1,0.034808,4.454573,[106  48] ; [70 16],[112.93333333  41.06666667] ; [63.06666667 22.93333333],0
n2,1,0.036076,4.39349,[40 27] ; [20  4],[44.17582418 22.82417582] ; [15.82417582  8.17582418],0
r2,1,0.041531,4.154197,[125  27] ; [79  7],[130.28571429  21.71428571] ; [73.71428571 12.28571429],0
a5,1,0.044516,4.036897,[91 63] ; [62 24],[98.175 55.825] ; [54.825 31.175],0
b1,1,0.053744,3.720618,[66 88] ; [26 60],[59.03333333 94.96666667] ; [32.96666667 53.03333333],0
u3,1,0.054316,3.702957,[29 34] ; [22 11],[33.46875 29.53125] ; [17.53125 15.46875],0
s2,1,0.077056,3.125933,[ 48 105] ; [36 48],[54.2278481 98.7721519] ; [29.7721519 54.2278481],0
p6,1,0.099008,2.721452,[ 17 136] ; [16 69],[ 21.21428571 131.78571429] ; [11.78571429 73.21428571],0
p8,1,0.099151,2.719152,[ 29 124] ; [24 61],[ 34.07142857 118.92857143] ; [18.92857143 66.07142857],0
a1,1,0.114897,2.485536,[  8 146] ; [ 1 85],[  5.775 148.225] ; [ 3.225 82.775],0
a8,1,0.147976,2.092993,[ 10 137] ; [10 70],[ 12.95154185 134.04845815] ; [ 7.04845815 72.95154185],0
b5,1,0.169087,1.891015,[90 64] ; [58 28],[94.96666667 59.03333333] ; [53.03333333 32.96666667],0
p3,1,0.180814,1.790917,[ 38 115] ; [28 57],[ 42.42857143 110.57142857] ; [23.57142857 61.42857143],0
a2,1,0.185356,1.754153,[ 22 132] ; [18 68],[ 25.66666667 128.33333333] ; [14.33333333 71.66666667],0
p11,1,0.205379,1.603702,[93 61] ; [59 27],[97.53333333 56.46666667] ; [54.46666667 31.53333333],0
p4,1,0.212123,1.556881,[ 52 102] ; [36 50],[56.46666667 97.53333333] ; [31.53333333 54.46666667],0
r1,1,0.237758,1.393841,[97 56] ; [61 25],[101.14644351  51.85355649] ; [56.85355649 29.14644351],0
b4,1,0.244601,1.353879,[96 58] ; [47 39],[91.75833333 62.24166667] ; [51.24166667 34.75833333],0
a6,1,0.272088,1.206192,[91 63] ; [57 29],[94.96666667 59.03333333] ; [53.03333333 32.96666667],0
n4,1,0.289614,1.121417,[97 57] ; [60 26],[100.74166667  53.25833333] ; [56.25833333 29.74166667],0
n5,1,0.362478,0.829289,[96 57] ; [59 27],[99.22594142 53.77405858] ; [55.77405858 30.22594142],0
s7,1,0.379092,0.773645,[ 44 104] ; [29 53],[ 46.97391304 101.02608696] ; [26.02608696 55.97391304],0
u1,1,0.39742,0.716119,[ 22 132] ; [ 9 77],[ 19.89166667 134.10833333] ; [11.10833333 74.89166667],0
