Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.014058,6.030842,[15  9] ; [ 8 20],[10.61538462 13.38461538] ; [12.38461538 15.61538462],0
a8,1,0.014689,5.953335,[ 7 17] ; [ 1 25],[ 3.84 20.16] ; [ 4.16 21.84],0
d5,1,0.01556,5.851935,[19  5] ; [13 15],[14.76923077  9.23076923] ; [17.23076923 10.76923077],0
r3,1,0.036324,4.38183,[18  6] ; [13 15],[14.30769231  9.69230769] ; [16.69230769 11.30769231],0
p1,1,0.069048,3.305518,[ 1 23] ; [ 6 22],[ 3.23076923 20.76923077] ; [ 3.76923077 24.23076923],0
a3,1,0.111406,2.534161,[15  8] ; [12 16],[12.17647059 10.82352941] ; [14.82352941 13.17647059],0
s4,1,0.123448,2.373016,[ 1 23] ; [ 5 23],[ 2.76923077 21.23076923] ; [ 3.23076923 24.76923077],0
b4,1,0.177227,1.820728,[18  6] ; [16 12],[15.69230769  8.30769231] ; [18.30769231  9.69230769],0
d3,1,0.181681,1.783822,[13 11] ; [10 18],[10.61538462 13.38461538] ; [12.38461538 15.61538462],0
s1,1,0.228385,1.450893,[ 3 21] ; [ 1 27],[ 1.84615385 22.15384615] ; [ 2.15384615 25.84615385],0
p8,1,0.254451,1.298701,[ 6 16] ; [ 4 24],[ 4.4 17.6] ; [ 5.6 22.4],0
p3,1,0.309749,1.031746,[ 4 20] ; [ 8 20],[ 5.53846154 18.46153846] ; [ 6.46153846 21.53846154],0
s8,1,0.31335,1.016504,[ 5 19] ; [ 3 25],[ 3.69230769 20.30769231] ; [ 4.30769231 23.69230769],0
s3,1,0.350837,0.870428,[12 12] ; [10 17],[10.35294118 13.64705882] ; [11.64705882 15.35294118],0
a4,1,0.355125,0.85506,[ 6 18] ; [10 17],[ 7.52941176 16.47058824] ; [ 8.47058824 18.52941176],0
b3,1,0.357527,0.846561,[4 8] ; [10 10],[5.25 6.75] ; [ 8.75 11.25],0
b2,1,0.357527,0.846561,[4 8] ; [10 10],[5.25 6.75] ; [ 8.75 11.25],0
a5,1,0.391691,0.733686,[14 10] ; [13 15],[12.46153846 11.53846154] ; [14.53846154 13.46153846],0
d4,1,0.403986,0.696429,[18  6] ; [18 10],[16.61538462  7.38461538] ; [19.38461538  8.61538462],0
b1,1,0.415801,0.662152,[11 13] ; [16 12],[12.46153846 11.53846154] ; [14.53846154 13.46153846],0
a2,1,0.462833,0.539035,[ 2 22] ; [ 1 27],[ 1.38461538 22.61538462] ; [ 1.61538462 26.38461538],0
p7,1,0.508459,0.437237,[ 8 16] ; [ 7 21],[ 6.92307692 17.07692308] ; [ 8.07692308 19.92307692],0
r4,1,0.508459,0.437237,[ 8 16] ; [ 7 21],[ 6.92307692 17.07692308] ; [ 8.07692308 19.92307692],0
a1,1,0.513589,0.426748,[ 3 21] ; [ 2 26],[ 2.30769231 21.69230769] ; [ 2.69230769 25.30769231],0
s2,1,0.52952,0.395312,[ 6 18] ; [ 5 23],[ 5.07692308 18.92307692] ; [ 5.92307692 22.07692308],0
p11,1,0.54789,0.361111,[10 14] ; [14 14],[11.07692308 12.92307692] ; [12.92307692 15.07692308],0
n2,1,0.551848,0.354016,[5 6] ; [4 8],[4.30434783 6.69565217] ; [4.69565217 7.30434783],0
v2,1,0.562262,0.335802,[ 8 16] ; [ 7 20],[ 7.05882353 16.94117647] ; [ 7.94117647 19.05882353],0
v3,1,0.564972,0.331169,[ 4 20] ; [ 3 24],[ 3.29411765 20.70588235] ; [ 3.70588235 23.29411765],0
p4,1,0.570866,0.321236,[ 6 18] ; [ 9 19],[ 6.92307692 17.07692308] ; [ 8.07692308 19.92307692],0
p6,1,0.601596,0.272596,[ 4 20] ; [ 3 23],[ 3.36 20.64] ; [ 3.64 22.36],0
